Время (мин),Час,Остановка,Направление,Ожидало на остановке,Высадка,Посадка,Загруженность (%)
450.00,7,1,Туда,106,0,106,88.3
459.08,7,2,Туда,248,27,41,100.0
466.23,7,3,Туда,333,34,34,100.0
473.29,7,4,Туда,338,38,38,100.0
480.74,8,5,Туда,360,66,66,100.0
495.44,8,6,Туда,462,45,45,100.0
510.44,8,7,Туда,478,49,49,100.0
522.24,8,8,Туда,511,52,52,100.0
537.34,8,9,Туда,466,56,56,100.0
552.24,9,10,Туда,538,120,120,100.0
567.24,9,10,Обратно,451,27,27,100.0
579.24,9,9,Обратно,494,31,31,100.0
592.24,9,8,Обратно,478,34,34,100.0
602.54,10,7,Обратно,394,38,38,100.0
610.76,10,6,Обратно,482,42,42,100.0
618.56,10,5,Обратно,274,69,69,100.0
628.70,10,4,Обратно,421,49,49,100.0
636.88,10,3,Обратно,461,52,52,100.0
645.33,10,2,Обратно,180,56,56,100.0
654.06,10,1,Обратно,34,120,34,28.3
662.76,11,1,Туда,9,7,9,30.0
666.78,11,2,Туда,161,9,93,100.0
675.13,11,3,Туда,339,34,34,100.0
681.74,11,4,Туда,270,38,38,100.0
688.78,11,5,Туда,6,66,6,50.0
695.88,11,6,Туда,283,22,82,100.0
705.46,11,7,Туда,217,49,49,100.0
713.51,11,8,Туда,179,52,52,100.0
722.76,12,9,Туда,6,56,6,58.3
729.77,12,10,Туда,37,70,37,30.8
738.12,12,10,Обратно,21,8,21,41.7
743.45,12,9,Обратно,40,13,40,64.2
750.15,12,8,Обратно,57,22,57,93.3
757.27,12,7,Обратно,96,35,43,100.0
765.57,12,6,Обратно,40,42,40,98.3
773.18,12,5,Обратно,13,68,13,52.5
780.44,13,4,Обратно,30,25,30,56.7
786.42,13,3,Обратно,8,29,8,39.2
791.40,13,2,Обратно,30,22,30,45.8
797.23,13,1,Обратно,12,55,12,10.0
830.88,13,1,Туда,3,2,3,10.8
834.35,13,2,Туда,3,3,3,10.8
837.78,13,3,Туда,8,3,8,15.0
841.57,14,4,Туда,16,5,16,24.2
845.76,14,5,Туда,28,15,28,35.0
851.40,14,6,Туда,9,15,9,30.0
856.87,14,7,Туда,9,14,9,25.8
861.24,14,8,Туда,29,13,29,39.2
867.36,14,9,Туда,3,22,3,23.3
872.45,14,10,Туда,25,28,25,20.8
878.10,14,10,Обратно,11,5,11,25.8
882.88,14,9,Обратно,22,8,22,37.5
888.56,14,8,Обратно,5,13,5,30.8
892.67,14,7,Обратно,26,11,26,43.3
898.75,14,6,Обратно,6,18,6,33.3
903.61,15,5,Обратно,36,23,36,44.2
909.72,15,4,Обратно,11,21,11,35.8
914.59,15,3,Обратно,24,18,24,40.8
919.82,15,2,Обратно,13,23,13,32.5
924.81,15,1,Обратно,20,39,20,16.7
990.88,16,1,Туда,50,4,50,55.0
997.22,16,2,Туда,16,17,16,54.2
1002.52,16,3,Туда,41,18,41,73.3
1009.22,16,4,Туда,28,28,28,73.3
1015.87,16,5,Туда,53,48,53,77.5
1029.02,17,6,Туда,84,35,62,100.0
1044.37,17,7,Туда,96,49,49,100.0
1056.17,17,8,Туда,165,52,52,100.0
1071.27,17,9,Туда,137,56,56,100.0
1086.17,18,10,Туда,186,120,120,100.0
1101.17,18,10,Обратно,133,27,27,100.0
1113.17,18,9,Обратно,262,31,31,100.0
1126.17,18,8,Обратно,346,34,34,100.0
1136.47,18,7,Обратно,283,38,38,100.0
1145.51,19,6,Обратно,302,42,42,100.0
1153.83,19,5,Обратно,167,69,69,100.0
1164.39,19,4,Обратно,342,49,49,100.0
1173.07,19,3,Обратно,376,52,52,100.0
1181.99,19,2,Обратно,276,56,56,100.0
1191.26,19,1,Обратно,133,120,120,100.0
1204.26,20,1,Туда,31,27,27,100.0
1209.59,20,2,Туда,176,31,31,100.0
1215.32,20,3,Туда,335,34,34,100.0
1221.38,20,4,Туда,154,38,38,100.0
1227.75,20,5,Туда,9,66,9,52.5
1234.36,20,6,Туда,151,23,80,100.0
1242.82,20,7,Туда,135,49,49,100.0
1250.38,20,8,Туда,37,52,37,87.5
1258.13,20,9,Туда,6,49,6,51.7
1263.94,21,10,Туда,11,62,11,9.2
1270.59,21,10,Обратно,9,2,9,15.0
1274.23,21,9,Обратно,1,4,1,12.5
1277.69,21,8,Обратно,12,4,12,19.2
1281.11,21,7,Обратно,2,7,2,15.0
1284.99,21,6,Обратно,10,6,10,18.3
1288.70,21,5,Обратно,9,12,9,15.8
1292.39,21,4,Обратно,2,7,2,11.7
1295.45,21,3,Обратно,1,6,1,7.5
1298.42,21,2,Обратно,5,4,5,8.3
1301.47,21,1,Обратно,4,10,4,3.3
