Время (мин),Час,Остановка,Направление,Ожидало на остановке,Высадка,Посадка,Загруженность (%)
390.00,6,1,Туда,40,0,40,33.3
394.65,6,2,Туда,126,10,90,100.0
402.24,6,3,Туда,134,34,34,100.0
408.25,6,4,Туда,170,38,38,100.0
414.70,6,5,Туда,160,66,66,100.0
425.59,7,6,Туда,297,45,45,100.0
435.19,7,7,Туда,283,49,49,100.0
443.82,7,8,Туда,322,52,52,100.0
454.20,7,9,Туда,241,56,56,100.0
464.45,7,10,Туда,512,120,120,100.0
479.45,7,10,Обратно,455,27,27,100.0
491.45,8,9,Обратно,367,31,31,100.0
504.45,8,8,Обратно,458,34,34,100.0
514.75,8,7,Обратно,452,38,38,100.0
529.05,8,6,Обратно,587,42,42,100.0
541.35,9,5,Обратно,414,69,69,100.0
555.15,9,4,Обратно,483,49,49,100.0
566.95,9,3,Обратно,516,52,52,100.0
579.05,9,2,Обратно,326,56,56,100.0
591.55,9,1,Обратно,103,120,103,85.8
603.70,10,1,Туда,17,23,17,80.8
608.88,10,2,Туда,315,25,48,100.0
615.74,10,3,Туда,460,34,34,100.0
622.31,10,4,Туда,452,38,38,100.0
629.23,10,5,Туда,227,66,66,100.0
639.31,10,6,Туда,442,45,45,100.0
648.24,10,7,Туда,276,49,49,100.0
656.31,10,8,Туда,262,52,52,100.0
665.53,11,9,Туда,71,56,56,100.0
675.06,11,10,Туда,44,120,44,36.7
686.26,11,10,Обратно,22,10,22,46.7
691.83,11,9,Обратно,71,14,71,94.2
700.13,11,8,Обратно,193,32,39,100.0
706.89,11,7,Обратно,171,38,38,100.0
714.96,11,6,Обратно,228,42,42,100.0
722.80,12,5,Обратно,13,69,13,53.3
730.10,12,4,Обратно,96,26,82,100.0
738.71,12,3,Обратно,41,52,41,90.8
746.62,12,2,Обратно,21,51,21,65.8
753.48,12,1,Обратно,8,79,8,6.7
790.88,13,1,Туда,23,1,23,25.0
795.28,13,2,Туда,5,7,5,23.3
799.06,13,3,Туда,20,8,20,33.3
803.71,13,4,Туда,7,12,7,29.2
807.81,13,5,Туда,0,19,0,13.3
812.25,13,6,Туда,14,6,14,20.0
817.59,13,7,Туда,0,9,0,12.5
821.19,13,8,Туда,5,6,5,11.7
825.78,13,9,Туда,20,6,20,23.3
831.11,13,10,Туда,8,28,8,6.7
835.91,13,10,Обратно,0,1,0,5.8
839.96,13,9,Обратно,12,1,12,15.0
844.61,14,8,Обратно,2,5,2,12.5
848.17,14,7,Обратно,22,4,22,27.5
853.75,14,6,Обратно,6,11,6,23.3
858.15,14,5,Обратно,15,16,15,22.5
862.92,14,4,Обратно,19,11,19,29.2
867.60,14,3,Обратно,14,15,14,28.3
872.21,14,2,Обратно,17,15,17,30.0
876.95,14,1,Обратно,4,36,4,3.3
950.88,15,1,Туда,0,0,0,3.3
954.01,15,2,Туда,10,1,10,10.8
957.77,15,3,Туда,0,3,0,8.3
961.03,16,4,Туда,23,3,23,25.0
966.09,16,5,Туда,50,16,50,53.3
973.71,16,6,Туда,15,24,15,45.8
980.92,16,7,Туда,12,22,12,37.5
986.32,16,8,Туда,31,19,31,47.5
993.95,16,9,Туда,7,26,7,31.7
1000.47,16,10,Туда,35,38,35,29.2
1007.12,16,10,Обратно,8,8,8,29.2
1012.75,16,9,Обратно,40,9,40,55.0
1020.14,17,8,Обратно,19,19,19,55.0
1028.94,17,7,Обратно,109,21,75,100.0
1044.24,17,6,Обратно,90,42,42,100.0
1056.54,17,5,Обратно,123,69,69,100.0
1070.34,17,4,Обратно,155,49,49,100.0
1082.14,18,3,Обратно,165,52,52,100.0
1094.24,18,2,Обратно,46,56,46,91.7
1106.24,18,1,Обратно,166,110,120,100.0
1118.74,18,1,Туда,107,27,27,100.0
1128.34,18,2,Туда,209,31,31,100.0
1138.34,18,3,Туда,342,34,34,100.0
1145.39,19,4,Туда,325,38,38,100.0
1152.91,19,5,Туда,232,66,66,100.0
1163.69,19,6,Туда,320,45,45,100.0
1173.47,19,7,Туда,273,49,49,100.0
1182.07,19,8,Туда,210,52,52,100.0
1192.15,19,9,Туда,40,56,40,86.7
1201.58,20,10,Туда,13,104,13,10.8
1210.43,20,10,Обратно,16,2,16,22.5
1214.54,20,9,Обратно,32,7,32,43.3
1219.81,20,8,Обратно,67,15,67,86.7
1226.59,20,7,Обратно,153,33,49,100.0
1233.99,20,6,Обратно,193,42,42,100.0
1241.13,20,5,Обратно,25,69,25,63.3
1248.42,20,4,Обратно,39,31,39,70.0
1254.53,20,3,Обратно,120,36,72,100.0
1262.56,21,2,Обратно,9,56,9,60.8
1268.46,21,1,Обратно,24,73,24,20.0
1369.26,22,1,Туда,4,5,4,19.2
1372.36,22,2,Туда,1,5,1,15.8
1375.25,22,3,Туда,4,5,4,15.0
1378.33,22,4,Туда,1,5,1,11.7
1381.31,23,5,Туда,2,7,2,7.5
1384.18,23,6,Туда,2,3,2,6.7
1387.16,23,7,Туда,0,3,0,4.2
1389.60,23,8,Туда,0,2,0,2.5
1392.42,23,9,Туда,0,1,0,1.7
1395.04,23,10,Туда,3,2,3,2.5
1398.29,23,10,Обратно,0,0,0,2.5
1400.88,23,9,Обратно,0,0,0,2.5
1403.55,23,8,Обратно,0,0,0,2.5
1405.83,23,7,Обратно,1,0,1,3.3
1408.65,23,6,Обратно,2,1,2,4.2
1411.20,23,5,Обратно,1,2,1,3.3
1413.59,23,4,Обратно,0,1,0,2.5
1415.87,23,3,Обратно,0,1,0,1.7
1418.20,23,2,Обратно,1,0,1,2.5
1420.52,23,1,Обратно,0,3,0,0.0
