Время (мин),Час,Остановка,Направление,Ожидало на остановке,Высадка,Посадка,Загруженность (%)
0.00,0,1,Туда,0,0,0,0.0
2.26,0,2,Туда,0,0,0,0.0
4.48,0,3,Туда,0,0,0,0.0
6.74,0,4,Туда,0,0,0,0.0
9.00,0,5,Туда,1,0,1,0.8
11.43,0,6,Туда,0,0,0,0.8
14.20,0,7,Туда,0,0,0,0.8
16.46,0,8,Туда,0,0,0,0.8
19.11,0,9,Туда,0,0,0,0.8
21.66,0,10,Туда,0,1,0,0.0
24.71,0,10,Обратно,0,0,0,0.0
27.27,0,9,Обратно,0,0,0,0.0
29.93,0,8,Обратно,0,0,0,0.0
32.19,0,7,Обратно,1,0,1,0.8
35.06,0,6,Обратно,1,0,1,1.7
37.56,0,5,Обратно,1,1,1,1.7
39.93,0,4,Обратно,2,0,2,3.3
42.31,0,3,Обратно,1,1,1,3.3
44.64,0,2,Обратно,0,1,0,2.5
46.95,0,1,Обратно,3,3,3,2.5
495.00,8,1,Туда,93,0,93,80.0
506.55,8,2,Туда,408,24,48,100.0
517.05,8,3,Туда,468,34,34,100.0
527.35,8,4,Туда,495,38,38,100.0
538.05,8,5,Туда,470,66,66,100.0
552.75,9,6,Туда,587,45,45,100.0
567.75,9,7,Туда,458,49,49,100.0
579.55,9,8,Туда,504,52,52,100.0
594.65,9,9,Туда,441,56,56,100.0
604.21,10,10,Туда,376,120,120,100.0
619.21,10,10,Обратно,131,27,27,100.0
625.79,10,9,Обратно,292,31,31,100.0
633.03,10,8,Обратно,317,34,34,100.0
639.55,10,7,Обратно,342,38,38,100.0
647.62,10,6,Обратно,408,42,42,100.0
655.45,10,5,Обратно,145,69,69,100.0
665.48,11,4,Обратно,362,49,49,100.0
673.64,11,3,Обратно,389,52,52,100.0
682.09,11,2,Обратно,46,56,46,91.7
690.35,11,1,Обратно,12,110,12,10.0
710.88,11,1,Туда,7,2,7,14.2
714.44,11,2,Туда,5,4,5,15.0
718.05,11,3,Туда,124,5,107,100.0
726.79,12,4,Туда,129,38,38,100.0
733.83,12,5,Туда,32,66,32,71.7
742.34,12,6,Туда,154,32,66,100.0
751.55,12,7,Туда,136,49,49,100.0
759.65,12,8,Туда,17,52,17,70.8
767.34,12,9,Туда,30,39,30,63.3
774.64,12,10,Туда,18,76,18,15.0
782.34,13,10,Обратно,16,4,16,25.0
787.40,13,9,Обратно,9,7,9,26.7
792.28,13,8,Обратно,9,9,9,26.7
796.41,13,7,Обратно,27,10,27,40.8
802.50,13,6,Обратно,8,17,8,33.3
807.23,13,5,Обратно,18,23,18,29.2
812.52,13,4,Обратно,19,14,19,33.3
817.42,13,3,Обратно,20,17,20,35.8
822.50,13,2,Обратно,6,20,6,24.2
827.07,13,1,Обратно,18,29,18,15.0
870.88,14,1,Туда,7,4,7,17.5
874.69,14,2,Туда,5,5,5,17.5
878.29,14,3,Туда,15,6,15,25.0
882.50,14,4,Туда,36,9,36,47.5
888.00,14,5,Туда,3,31,3,24.2
893.32,14,6,Туда,13,11,13,25.8
898.74,14,7,Туда,10,12,10,24.2
903.09,15,8,Туда,22,12,22,32.5
909.05,15,9,Туда,4,18,4,20.8
914.16,15,10,Туда,23,25,23,19.2
919.56,15,10,Обратно,11,5,11,24.2
924.26,15,9,Обратно,27,7,27,40.8
930.05,15,8,Обратно,9,14,9,36.7
934.35,15,7,Обратно,17,14,17,39.2
940.18,15,6,Обратно,15,16,15,38.3
945.20,15,5,Обратно,41,26,41,50.8
951.79,15,4,Обратно,15,25,15,42.5
957.04,15,3,Обратно,39,22,39,56.7
963.74,16,2,Обратно,29,31,29,55.0
970.58,16,1,Обратно,49,66,49,40.8
1030.88,17,1,Туда,62,11,62,83.3
1041.43,17,2,Туда,116,26,46,100.0
1051.93,17,3,Туда,71,34,34,100.0
1062.23,17,4,Туда,152,38,38,100.0
1072.93,17,5,Туда,151,66,66,100.0
1087.63,18,6,Туда,245,45,45,100.0
1102.63,18,7,Туда,238,49,49,100.0
1114.43,18,8,Туда,328,52,52,100.0
1129.53,18,9,Туда,316,56,56,100.0
1144.43,19,10,Туда,128,120,120,100.0
1159.43,19,10,Обратно,15,27,15,90.0
1166.43,19,9,Обратно,221,28,40,100.0
1174.98,19,8,Обратно,259,34,34,100.0
1182.08,19,7,Обратно,243,38,38,100.0
1191.11,19,6,Обратно,317,42,42,100.0
1199.65,19,5,Обратно,162,69,69,100.0
1209.18,20,4,Обратно,328,49,49,100.0
1216.65,20,3,Обратно,305,52,52,100.0
1224.44,20,2,Обратно,71,56,56,100.0
1232.65,20,1,Обратно,29,120,29,24.2
1279.26,21,1,Туда,14,6,14,30.8
1282.88,21,2,Туда,15,9,15,35.8
1286.67,21,3,Туда,0,12,0,25.8
1289.93,21,4,Туда,10,9,10,26.7
1293.55,21,5,Туда,7,17,7,18.3
1297.63,21,6,Туда,13,8,13,22.5
1301.97,21,7,Туда,9,11,9,20.8
1305.58,21,8,Туда,5,11,5,15.8
1309.61,21,9,Туда,9,8,9,16.7
1313.58,21,10,Туда,15,20,15,12.5
1318.33,21,10,Обратно,0,3,0,10.0
1321.61,22,9,Обратно,5,3,5,11.7
1325.24,22,8,Обратно,8,4,8,15.0
1328.51,22,7,Обратно,6,5,6,15.8
1332.49,22,6,Обратно,6,6,6,15.8
1336.03,22,5,Обратно,5,11,5,10.8
1339.45,22,4,Обратно,10,5,10,15.0
1342.88,22,3,Обратно,11,7,11,18.3
1346.37,22,2,Обратно,2,10,2,11.7
1349.55,22,1,Обратно,6,14,6,5.0
