Время (мин),Час,Остановка,Направление,Ожидало на остановке,Высадка,Посадка,Загруженность (%)
420.00,7,1,Туда,101,0,101,84.2
428.88,7,2,Туда,172,26,45,100.0
436.15,7,3,Туда,238,34,34,100.0
443.23,7,4,Туда,251,38,38,100.0
450.68,7,5,Туда,244,66,66,100.0
461.62,7,6,Туда,390,45,45,100.0
471.50,7,7,Туда,352,49,49,100.0
480.24,8,8,Туда,383,52,52,100.0
495.34,8,9,Туда,350,56,56,100.0
510.24,8,10,Туда,548,120,120,100.0
525.24,8,10,Обратно,500,27,27,100.0
537.24,8,9,Обратно,497,31,31,100.0
550.24,9,8,Обратно,525,34,34,100.0
560.54,9,7,Обратно,476,38,38,100.0
574.84,9,6,Обратно,543,42,42,100.0
587.14,9,5,Обратно,339,69,69,100.0
600.94,10,4,Обратно,454,49,49,100.0
609.07,10,3,Обратно,502,52,52,100.0
617.44,10,2,Обратно,285,56,56,100.0
626.22,10,1,Обратно,35,120,35,29.2
634.97,10,1,Туда,13,8,13,33.3
639.21,10,2,Туда,264,10,90,100.0
647.35,10,3,Туда,428,34,34,100.0
653.90,10,4,Туда,426,38,38,100.0
660.83,11,5,Туда,86,66,66,100.0
670.94,11,6,Туда,322,45,45,100.0
679.72,11,7,Туда,212,49,49,100.0
687.74,11,8,Туда,234,52,52,100.0
697.12,11,9,Туда,6,56,6,58.3
704.26,11,10,Туда,23,70,23,19.2
711.91,11,10,Обратно,12,5,12,25.0
716.63,11,9,Обратно,36,7,36,49.2
722.96,12,8,Обратно,139,17,78,100.0
730.88,12,7,Обратно,182,38,38,100.0
739.00,12,6,Обратно,186,42,42,100.0
746.75,12,5,Обратно,27,69,27,65.0
754.67,12,4,Обратно,20,31,20,55.8
760.49,12,3,Обратно,33,29,33,59.2
766.71,12,2,Обратно,17,33,17,45.8
772.44,12,1,Обратно,2,55,2,1.7
810.88,13,1,Туда,20,0,20,18.3
815.10,13,2,Туда,9,5,9,21.7
818.99,13,3,Туда,1,7,1,16.7
822.61,13,4,Туда,17,6,17,25.8
826.91,13,5,Туда,2,17,2,13.3
831.50,13,6,Туда,26,6,26,30.0
837.47,13,7,Туда,31,14,31,44.2
842.98,14,8,Туда,12,23,12,35.0
848.94,14,9,Туда,7,19,7,25.0
854.13,14,10,Туда,22,30,22,18.3
859.73,14,10,Обратно,10,5,10,22.5
864.37,14,9,Обратно,20,7,20,33.3
869.77,14,8,Обратно,12,11,12,34.2
874.18,14,7,Обратно,22,13,22,41.7
880.12,14,6,Обратно,7,17,7,33.3
884.81,14,5,Обратно,27,23,27,36.7
890.52,14,4,Обратно,15,18,15,34.2
895.35,14,3,Обратно,29,18,29,43.3
900.93,15,2,Обратно,15,24,15,35.8
906.06,15,1,Обратно,22,43,22,18.3
970.88,16,1,Туда,0,5,0,14.2
974.95,16,2,Туда,23,4,23,30.0
980.08,16,3,Туда,65,10,65,75.8
987.62,16,4,Туда,16,29,16,65.0
993.68,16,5,Туда,16,42,16,43.3
1000.93,16,6,Туда,41,19,41,61.7
1009.03,16,7,Туда,28,30,28,60.0
1015.78,16,8,Туда,41,31,41,68.3
1029.28,17,9,Туда,62,38,62,88.3
1043.58,17,10,Туда,141,106,120,100.0
1057.88,17,10,Обратно,82,27,27,100.0
1069.88,17,9,Обратно,164,31,31,100.0
1082.88,18,8,Обратно,239,34,34,100.0
1093.18,18,7,Обратно,230,38,38,100.0
1107.48,18,6,Обратно,253,42,42,100.0
1119.78,18,5,Обратно,177,69,69,100.0
1133.58,18,4,Обратно,334,49,49,100.0
1145.38,19,3,Обратно,330,52,52,100.0
1154.37,19,2,Обратно,240,56,56,100.0
1163.76,19,1,Обратно,207,120,120,100.0
1176.76,19,1,Туда,125,27,27,100.0
1183.15,19,2,Туда,224,31,31,100.0
1189.95,19,3,Туда,380,34,34,100.0
1197.02,19,4,Туда,350,38,38,100.0
1203.46,20,5,Туда,100,66,66,100.0
1212.97,20,6,Туда,246,45,45,100.0
1220.94,20,7,Туда,193,49,49,100.0
1228.50,20,8,Туда,17,52,17,70.8
1235.14,20,9,Туда,31,39,31,64.2
1241.74,20,10,Туда,40,77,40,33.3
1250.59,20,10,Обратно,13,9,13,36.7
1254.76,20,9,Обратно,28,11,28,50.8
1259.95,20,8,Обратно,17,17,17,50.8
1264.22,21,7,Обратно,67,19,67,90.8
1271.85,21,6,Обратно,2,38,2,60.8
1276.76,21,5,Обратно,13,42,13,36.7
1282.09,21,4,Обратно,18,18,18,36.7
1286.56,21,3,Обратно,25,19,25,41.7
1291.39,21,2,Обратно,14,23,14,34.2
1295.84,21,1,Обратно,13,41,13,10.8
1399.26,23,1,Туда,0,2,0,9.2
1401.61,23,2,Туда,1,2,1,8.3
1404.04,23,3,Туда,2,2,2,8.3
1406.47,23,4,Туда,1,3,1,6.7
1408.94,23,5,Туда,0,4,0,3.3
1411.57,23,6,Туда,0,1,0,2.5
1414.41,23,7,Туда,0,1,0,1.7
1416.73,23,8,Туда,1,0,1,2.5
1419.43,23,9,Туда,1,1,1,2.5
1422.07,23,10,Туда,2,3,2,1.7
1425.32,23,10,Обратно,0,0,0,1.7
1427.86,23,9,Обратно,0,0,0,1.7
1430.54,23,8,Обратно,3,0,3,4.2
1432.97,23,7,Обратно,1,1,1,4.2
1435.81,23,6,Обратно,1,1,1,4.2
1438.31,23,5,Обратно,3,2,3,5.0
