Время (мин),Час,Остановка,Направление,Ожидало на остановке,Высадка,Посадка,Загруженность (%)
240.00,4,1,Туда,2,0,2,1.7
242.38,4,2,Туда,5,0,5,5.8
244.85,4,3,Туда,2,2,2,5.8
247.31,4,4,Туда,4,2,4,7.5
249.88,4,5,Туда,4,4,4,7.5
252.67,4,6,Туда,2,3,2,6.7
255.71,4,7,Туда,0,3,0,4.2
258.13,4,8,Туда,5,2,5,6.7
261.21,4,9,Туда,3,3,3,6.7
264.13,4,10,Туда,3,8,3,2.5
267.68,4,10,Обратно,0,0,0,2.5
270.28,4,9,Обратно,0,0,0,2.5
272.89,4,8,Обратно,0,0,0,2.5
275.15,4,7,Обратно,1,0,1,3.3
277.90,4,6,Обратно,0,1,0,2.5
280.39,4,5,Обратно,1,1,1,2.5
282.77,4,4,Обратно,0,1,0,1.7
285.08,4,3,Обратно,0,0,0,1.7
287.35,4,2,Обратно,1,0,1,2.5
289.64,4,1,Обратно,0,3,0,0.0
525.00,8,1,Туда,72,0,72,60.0
535.50,8,2,Туда,379,18,66,100.0
546.60,9,3,Туда,504,34,34,100.0
556.90,9,4,Туда,436,38,38,100.0
567.60,9,5,Туда,347,66,66,100.0
582.30,9,6,Туда,512,45,45,100.0
597.30,9,7,Туда,433,49,49,100.0
605.38,10,8,Туда,414,52,52,100.0
614.83,10,9,Туда,365,56,56,100.0
624.46,10,10,Туда,115,120,115,95.8
639.21,10,10,Обратно,20,26,20,90.8
645.53,10,9,Обратно,190,28,39,100.0
653.03,10,8,Обратно,286,34,34,100.0
659.69,10,7,Обратно,247,38,38,100.0
667.77,11,6,Обратно,362,42,42,100.0
675.64,11,5,Обратно,19,69,19,58.3
683.25,11,4,Обратно,235,28,78,100.0
691.75,11,3,Обратно,277,52,52,100.0
700.18,11,2,Обратно,5,56,5,57.5
706.46,11,1,Обратно,29,69,29,24.2
750.88,12,1,Туда,31,6,31,45.0
755.86,12,2,Туда,17,14,17,47.5
760.64,12,3,Туда,0,16,0,34.2
764.62,12,4,Туда,23,13,23,42.5
769.58,12,5,Туда,28,28,28,42.5
775.93,12,6,Туда,26,19,26,48.3
782.36,13,7,Туда,0,23,0,29.2
786.73,13,8,Туда,13,15,13,27.5
792.28,13,9,Туда,8,15,8,21.7
797.48,13,10,Туда,5,26,5,4.2
802.03,13,10,Обратно,7,1,7,9.2
806.47,13,9,Обратно,13,2,13,18.3
811.32,13,8,Обратно,7,6,7,19.2
815.19,13,7,Обратно,17,7,17,27.5
820.83,13,6,Обратно,2,11,2,20.0
825.01,13,5,Обратно,14,13,14,20.8
829.57,13,4,Обратно,14,10,14,24.2
834.01,13,3,Обратно,4,12,4,17.5
837.95,13,2,Обратно,4,9,4,13.3
841.76,14,1,Обратно,3,16,3,2.5
910.88,15,1,Туда,11,0,11,11.7
914.65,15,2,Туда,21,3,21,26.7
919.11,15,3,Туда,1,9,1,20.0
922.76,15,4,Туда,25,7,25,35.0
927.59,15,5,Туда,0,23,0,15.8
932.21,15,6,Туда,20,7,20,26.7
937.78,15,7,Туда,6,13,6,20.8
941.94,15,8,Туда,20,11,20,28.3
947.57,15,9,Туда,18,15,18,30.8
953.21,15,10,Туда,11,37,11,9.2
958.61,15,10,Обратно,5,2,5,11.7
962.88,16,9,Обратно,30,3,30,34.2
969.40,16,8,Обратно,10,11,10,33.3
974.28,16,7,Обратно,38,12,38,55.0
982.20,16,6,Обратно,19,23,19,51.7
988.46,16,5,Обратно,51,35,51,65.0
996.62,16,4,Обратно,18,31,18,54.2
1002.89,16,3,Обратно,0,28,0,30.8
1008.08,16,2,Обратно,34,17,34,45.0
1014.29,16,1,Обратно,5,54,5,4.2
1060.88,17,1,Туда,66,1,66,58.3
1071.13,17,2,Туда,69,18,68,100.0
1082.33,18,3,Туда,116,34,34,100.0
1092.63,18,4,Туда,158,38,38,100.0
1103.33,18,5,Туда,213,66,66,100.0
1118.03,18,6,Туда,269,45,45,100.0
1133.03,18,7,Туда,303,49,49,100.0
1144.83,19,8,Туда,308,52,52,100.0
1154.94,19,9,Туда,243,56,56,100.0
1165.35,19,10,Туда,1,120,1,0.8
1174.40,19,10,Обратно,18,0,18,15.8
1179.98,19,9,Обратно,60,4,60,62.5
1188.36,19,8,Обратно,180,21,66,100.0
1196.51,19,7,Обратно,219,38,38,100.0
1203.77,20,6,Обратно,273,42,42,100.0
1210.81,20,5,Обратно,15,69,15,55.0
1217.63,20,4,Обратно,226,27,81,100.0
1225.69,20,3,Обратно,214,52,52,100.0
1233.51,20,2,Обратно,15,56,15,65.8
1239.67,20,1,Обратно,7,79,7,5.8
1309.26,21,1,Туда,6,1,6,10.0
1312.28,21,2,Туда,15,3,15,20.0
1315.78,21,3,Туда,3,6,3,17.5
1318.80,21,4,Туда,4,6,4,15.8
1321.92,22,5,Туда,0,10,0,7.5
1325.24,22,6,Туда,3,3,3,7.5
1328.98,22,7,Туда,0,3,0,5.0
1331.76,22,8,Туда,1,2,1,4.2
1335.20,22,9,Туда,7,2,7,8.3
1338.78,22,10,Туда,7,10,7,5.8
1342.63,22,10,Обратно,1,1,1,5.8
1345.80,22,9,Обратно,6,1,6,10.0
1349.36,22,8,Обратно,5,3,5,11.7
1352.38,22,7,Обратно,10,4,10,16.7
1356.47,22,6,Обратно,0,7,0,10.8
1359.63,22,5,Обратно,4,7,4,8.3
1362.80,22,4,Обратно,5,4,5,9.2
1365.85,22,3,Обратно,7,4,7,11.7
1368.99,22,2,Обратно,5,6,5,10.8
1372.16,22,1,Обратно,0,13,0,0.0
