ID трамвая,Всего рейсов,Обслужено пассажиров,Средняя загруженность (%),Макс загруженность (%),Всего остановок посещено
1,6,3068,48.1,100.0,120
2,6,2865,44.7,100.0,120
3,6,2519,39.6,100.0,120
4,6,3643,56.0,100.0,120
5,6,3625,56.6,100.0,120
6,6,3620,59.5,100.0,116
7,5,3468,66.2,100.0,100
8,5,3383,63.6,100.0,100
