Время (мин),Час,Остановка,Направление,Ожидало на остановке,Высадка,Посадка,Загруженность (%)
120.00,2,1,Туда,0,0,0,0.0
122.23,2,2,Туда,2,0,2,1.7
124.59,2,3,Туда,0,0,0,1.7
126.86,2,4,Туда,1,0,1,2.5
129.17,2,5,Туда,0,1,0,1.7
131.63,2,6,Туда,1,0,1,2.5
134.47,2,7,Туда,4,1,4,5.0
136.98,2,8,Туда,0,2,0,3.3
139.76,2,9,Туда,1,1,1,3.3
142.47,2,10,Туда,3,4,3,2.5
145.82,2,10,Обратно,0,0,0,2.5
148.43,2,9,Обратно,0,0,0,2.5
151.12,2,8,Обратно,0,0,0,2.5
153.35,2,7,Обратно,0,0,0,2.5
156.04,2,6,Обратно,0,1,0,1.7
158.51,2,5,Обратно,1,1,1,1.7
160.83,2,4,Обратно,0,0,0,1.7
163.11,2,3,Обратно,1,0,1,2.5
165.42,2,2,Обратно,0,1,0,1.7
167.72,2,1,Обратно,0,2,0,0.0
510.00,8,1,Туда,74,0,74,61.7
520.60,8,2,Туда,437,19,65,100.0
531.70,8,3,Туда,511,34,34,100.0
542.00,9,4,Туда,488,38,38,100.0
552.70,9,5,Туда,367,66,66,100.0
567.40,9,6,Туда,570,45,45,100.0
582.40,9,7,Туда,449,49,49,100.0
594.20,9,8,Туда,448,52,52,100.0
603.44,10,9,Туда,402,56,56,100.0
612.99,10,10,Туда,242,120,120,100.0
627.99,10,10,Обратно,3,27,3,80.0
633.41,10,9,Обратно,220,24,48,100.0
641.02,10,8,Обратно,305,34,34,100.0
647.59,10,7,Обратно,313,38,38,100.0
655.67,10,6,Обратно,382,42,42,100.0
663.48,11,5,Обратно,22,69,22,60.8
671.29,11,4,Обратно,325,29,76,100.0
679.68,11,3,Обратно,312,52,52,100.0
688.11,11,2,Обратно,17,56,17,67.5
695.00,11,1,Обратно,5,81,5,4.2
730.88,12,1,Туда,25,1,25,24.2
735.32,12,2,Туда,38,7,38,50.0
740.73,12,3,Туда,4,17,4,39.2
744.98,12,4,Туда,50,15,50,68.3
751.46,12,5,Туда,12,45,12,40.8
757.79,12,6,Туда,114,18,89,100.0
767.33,12,7,Туда,63,49,49,100.0
775.43,12,8,Туда,0,52,0,56.7
782.03,13,9,Туда,17,31,17,45.0
788.48,13,10,Туда,12,54,12,10.0
794.78,13,10,Обратно,9,2,9,15.8
799.38,13,9,Обратно,15,4,15,25.0
804.33,13,8,Обратно,20,8,20,35.0
808.89,13,7,Обратно,6,13,6,29.2
814.03,13,6,Обратно,3,12,3,21.7
818.29,13,5,Обратно,20,15,20,25.8
823.26,13,4,Обратно,3,12,3,18.3
827.25,13,3,Обратно,16,9,16,24.2
831.72,13,2,Обратно,12,13,12,23.3
836.18,13,1,Обратно,9,28,9,7.5
890.88,14,1,Туда,24,2,24,25.8
895.39,14,2,Туда,34,8,34,47.5
900.72,15,3,Туда,7,16,7,40.0
904.98,15,4,Туда,17,15,17,41.7
909.81,15,5,Туда,8,27,8,25.8
915.16,15,6,Туда,26,11,26,38.3
921.28,15,7,Туда,15,18,15,35.8
926.19,15,8,Туда,24,18,24,40.8
932.41,15,9,Туда,13,23,13,32.5
938.11,15,10,Туда,28,39,28,23.3
944.46,15,10,Обратно,5,6,5,22.5
948.86,15,9,Обратно,2,7,2,18.3
953.56,15,8,Обратно,14,6,14,25.0
957.69,15,7,Обратно,26,9,26,39.2
964.60,16,6,Обратно,30,16,30,50.8
971.20,16,5,Обратно,17,35,17,35.8
977.65,16,4,Обратно,56,17,56,68.3
985.17,16,3,Обратно,8,36,8,45.0
991.09,16,2,Обратно,27,25,27,46.7
997.53,16,1,Обратно,12,56,12,10.0
1045.88,17,1,Туда,53,2,53,52.5
1055.53,17,2,Туда,58,16,58,87.5
1066.13,17,3,Туда,97,30,45,100.0
1076.78,17,4,Туда,131,38,38,100.0
1087.48,18,5,Туда,180,66,66,100.0
1102.18,18,6,Туда,271,45,45,100.0
1117.18,18,7,Туда,272,49,49,100.0
1128.98,18,8,Туда,321,52,52,100.0
1144.08,19,9,Туда,266,56,56,100.0
1154.34,19,10,Туда,27,120,27,22.5
1164.69,19,10,Обратно,11,6,11,26.7
1170.38,19,9,Обратно,131,8,96,100.0
1180.62,19,8,Обратно,240,34,34,100.0
1187.83,19,7,Обратно,224,38,38,100.0
1196.73,19,6,Обратно,293,42,42,100.0
1203.80,20,5,Обратно,34,69,34,70.8
1211.64,20,4,Обратно,280,34,69,100.0
1219.40,20,3,Обратно,253,52,52,100.0
1227.21,20,2,Обратно,17,56,17,67.5
1233.51,20,1,Обратно,1,81,1,0.8
1249.26,20,1,Туда,3,0,3,3.3
1252.07,20,2,Туда,16,1,16,15.8
1255.49,20,3,Туда,50,5,50,53.3
1260.84,21,4,Туда,11,20,11,45.8
1264.98,21,5,Туда,23,30,23,40.0
1270.47,21,6,Туда,33,18,33,52.5
1276.41,21,7,Туда,8,25,8,38.3
1280.65,21,8,Туда,1,20,1,22.5
1284.93,21,9,Туда,15,12,15,25.0
1289.34,21,10,Туда,4,30,4,3.3
1294.04,21,10,Обратно,1,0,1,4.2
1297.28,21,9,Обратно,9,1,9,10.8
1301.11,21,8,Обратно,13,3,13,19.2
1304.53,21,7,Обратно,4,7,4,16.7
1308.55,21,6,Обратно,10,7,10,19.2
1312.27,21,5,Обратно,19,13,19,24.2
1316.52,21,4,Обратно,9,11,9,22.5
1320.15,22,3,Обратно,1,11,1,14.2
1323.40,22,2,Обратно,0,7,0,8.3
1326.34,22,1,Обратно,0,10,0,0.0
