Время (мин),Час,Остановка,Направление,Ожидало на остановке,Высадка,Посадка,Загруженность (%)
360.00,6,1,Туда,101,0,101,84.2
367.62,6,2,Туда,130,26,45,100.0
373.77,6,3,Туда,125,34,34,100.0
379.74,6,4,Туда,156,38,38,100.0
386.13,6,5,Туда,178,66,66,100.0
395.66,6,6,Туда,227,45,45,100.0
403.61,6,7,Туда,208,49,49,100.0
411.09,6,8,Туда,237,52,52,100.0
419.56,6,9,Туда,212,56,56,100.0
429.80,7,10,Туда,540,120,120,100.0
444.80,7,10,Обратно,475,27,27,100.0
452.19,7,9,Обратно,271,31,31,100.0
460.23,7,8,Обратно,333,34,34,100.0
467.36,7,7,Обратно,371,38,38,100.0
476.52,7,6,Обратно,409,42,42,100.0
488.82,8,5,Обратно,339,69,69,100.0
502.62,8,4,Обратно,459,49,49,100.0
514.42,8,3,Обратно,508,52,52,100.0
526.52,8,2,Обратно,403,56,56,100.0
539.02,8,1,Обратно,55,120,55,45.8
548.77,9,1,Туда,12,12,12,45.8
556.87,9,2,Туда,361,14,79,100.0
568.42,9,3,Туда,466,34,34,100.0
578.72,9,4,Туда,453,38,38,100.0
589.42,9,5,Туда,276,66,66,100.0
604.12,10,6,Туда,511,45,45,100.0
612.98,10,7,Туда,377,49,49,100.0
621.05,10,8,Туда,385,52,52,100.0
630.29,10,9,Туда,269,56,56,100.0
639.83,10,10,Туда,1,120,1,0.8
648.88,10,10,Обратно,18,0,18,15.8
653.66,10,9,Обратно,159,4,105,100.0
663.34,11,8,Обратно,221,34,34,100.0
669.88,11,7,Обратно,229,38,38,100.0
678.01,11,6,Обратно,293,42,42,100.0
685.69,11,5,Обратно,18,69,18,57.5
693.16,11,4,Обратно,173,28,79,100.0
701.71,11,3,Обратно,145,52,52,100.0
710.16,11,2,Обратно,18,56,18,68.3
717.01,11,1,Обратно,9,82,9,7.5
770.88,12,1,Туда,33,2,33,33.3
775.83,12,2,Туда,17,10,17,39.2
780.29,13,3,Туда,39,13,39,60.8
786.00,13,4,Туда,5,23,5,45.8
790.53,13,5,Туда,32,30,32,47.5
797.26,13,6,Туда,20,21,20,46.7
803.63,13,7,Туда,10,22,10,36.7
808.42,13,8,Туда,6,19,6,25.8
813.74,13,9,Туда,14,14,14,25.8
819.16,13,10,Туда,26,31,26,21.7
825.01,13,10,Обратно,8,5,8,24.2
829.52,13,9,Обратно,5,7,5,22.5
834.27,13,8,Обратно,9,7,9,24.2
838.19,13,7,Обратно,0,9,0,16.7
843.06,14,6,Обратно,22,7,22,29.2
848.02,14,5,Обратно,6,20,6,17.5
852.56,14,4,Обратно,22,8,22,29.2
857.24,14,3,Обратно,36,15,36,46.7
862.93,14,2,Обратно,13,26,13,35.8
868.07,14,1,Обратно,20,43,20,16.7
930.88,15,1,Туда,12,4,12,23.3
934.84,15,2,Туда,30,7,30,42.5
939.80,15,3,Туда,0,14,0,30.8
943.73,15,4,Туда,24,11,24,41.7
948.62,15,5,Туда,7,27,7,25.0
953.85,15,6,Туда,13,11,13,26.7
959.48,15,7,Туда,5,13,5,20.0
964.11,16,8,Туда,22,10,22,30.0
970.61,16,9,Туда,12,16,12,26.7
976.70,16,10,Туда,29,32,29,24.2
982.75,16,10,Обратно,13,6,13,30.0
988.53,16,9,Обратно,40,9,40,55.8
995.92,16,8,Обратно,22,19,22,58.3
1001.66,16,7,Обратно,39,22,39,72.5
1009.99,16,6,Обратно,25,30,25,68.3
1017.08,16,5,Обратно,2,47,2,30.8
1026.43,17,4,Обратно,61,15,61,69.2
1037.13,17,3,Обратно,62,36,62,90.8
1048.93,17,2,Обратно,101,51,62,100.0
1061.48,17,1,Обратно,1,120,1,0.8
1075.88,17,1,Туда,64,0,64,54.2
1085.98,18,2,Туда,80,16,71,100.0
1097.23,18,3,Туда,166,34,34,100.0
1107.53,18,4,Туда,206,38,38,100.0
1118.23,18,5,Туда,234,66,66,100.0
1132.93,18,6,Туда,308,45,45,100.0
1147.93,19,7,Туда,272,49,49,100.0
1156.64,19,8,Туда,258,52,52,100.0
1166.89,19,9,Туда,181,56,56,100.0
1177.26,19,10,Туда,13,120,13,10.8
1186.91,19,10,Обратно,22,2,22,27.5
1192.78,19,9,Обратно,2,8,2,22.5
1198.31,19,8,Обратно,137,7,100,100.0
1206.25,20,7,Обратно,204,38,38,100.0
1213.39,20,6,Обратно,201,42,42,100.0
1220.47,20,5,Обратно,12,69,12,52.5
1227.18,20,4,Обратно,123,25,82,100.0
1235.13,20,3,Обратно,142,52,52,100.0
1242.94,20,2,Обратно,7,56,7,59.2
1248.70,20,1,Обратно,10,71,10,8.3
1339.26,22,1,Туда,0,2,0,6.7
1341.99,22,2,Туда,8,2,8,11.7
1345.14,22,3,Туда,2,4,2,10.0
1348.06,22,4,Туда,4,3,4,10.8
1350.99,22,5,Туда,3,7,3,7.5
1354.36,22,6,Туда,4,3,4,8.3
1358.05,22,7,Туда,2,4,2,6.7
1361.02,22,8,Туда,4,3,4,7.5
1364.60,22,9,Туда,8,4,8,10.8
1368.34,22,10,Туда,12,13,12,10.0
1372.59,22,10,Обратно,0,2,0,8.3
1375.85,22,9,Обратно,0,2,0,6.7
1379.23,22,8,Обратно,5,2,5,9.2
1381.83,23,7,Обратно,2,3,2,8.3
1384.81,23,6,Обратно,0,3,0,5.8
1387.34,23,5,Обратно,0,4,0,2.5
1389.76,23,4,Обратно,2,1,2,3.3
1392.18,23,3,Обратно,0,1,0,2.5
1394.45,23,2,Обратно,1,1,1,2.5
1396.80,23,1,Обратно,3,3,3,2.5
