Время (мин),Час,Остановка,Направление,Ожидало на остановке,Высадка,Посадка,Загруженность (%)
480.00,8,1,Туда,139,0,120,100.0
492.90,8,2,Туда,368,31,31,100.0
502.90,8,3,Туда,502,34,34,100.0
513.20,8,4,Туда,462,38,38,100.0
523.90,8,5,Туда,461,66,66,100.0
538.60,8,6,Туда,607,45,45,100.0
553.60,9,7,Туда,511,49,49,100.0
565.40,9,8,Туда,523,52,52,100.0
580.50,9,9,Туда,465,56,56,100.0
595.40,9,10,Туда,482,120,120,100.0
610.40,10,10,Обратно,265,27,27,100.0
617.14,10,9,Обратно,313,31,31,100.0
624.30,10,8,Обратно,339,34,34,100.0
630.85,10,7,Обратно,368,38,38,100.0
638.98,10,6,Обратно,484,42,42,100.0
646.65,10,5,Обратно,201,69,69,100.0
656.80,10,4,Обратно,392,49,49,100.0
664.81,11,3,Обратно,426,52,52,100.0
673.23,11,2,Обратно,81,56,56,100.0
682.08,11,1,Обратно,36,120,36,30.0
690.88,11,1,Туда,1,8,1,24.2
694.49,11,2,Туда,11,7,11,27.5
698.62,11,3,Туда,237,9,96,100.0
707.09,11,4,Туда,120,38,38,100.0
714.12,11,5,Туда,42,66,42,80.0
723.10,12,6,Туда,202,36,60,100.0
732.17,12,7,Туда,148,49,49,100.0
740.25,12,8,Туда,96,52,52,100.0
749.65,12,9,Туда,13,56,13,64.2
756.93,12,10,Туда,32,77,32,26.7
765.38,12,10,Обратно,18,7,18,35.8
770.55,12,9,Обратно,3,11,3,29.2
775.28,12,8,Обратно,37,10,37,51.7
780.83,13,7,Обратно,46,19,46,74.2
788.45,13,6,Обратно,22,31,22,66.7
794.57,13,5,Обратно,7,46,7,34.2
800.33,13,4,Обратно,16,16,16,34.2
805.07,13,3,Обратно,15,18,15,31.7
809.94,13,2,Обратно,23,17,23,36.7
815.14,13,1,Обратно,7,44,7,5.8
850.88,14,1,Туда,17,1,17,19.2
854.97,14,2,Туда,28,5,28,38.3
859.82,14,3,Туда,4,13,4,30.8
863.82,14,4,Туда,0,11,0,21.7
867.52,14,5,Туда,8,14,8,16.7
872.16,14,6,Туда,28,7,28,34.2
878.19,14,7,Туда,11,16,11,30.0
882.70,14,8,Туда,16,15,16,30.8
888.49,14,9,Туда,9,17,9,24.2
893.81,14,10,Туда,27,29,27,22.5
899.61,14,10,Обратно,8,6,8,24.2
904.28,15,9,Обратно,29,7,29,42.5
910.29,15,8,Обратно,10,14,10,39.2
914.66,15,7,Обратно,35,15,35,55.8
921.48,15,6,Обратно,15,23,15,49.2
926.99,15,5,Обратно,37,34,37,51.7
933.69,15,4,Обратно,20,25,20,47.5
939.15,15,3,Обратно,29,25,29,50.8
945.12,15,2,Обратно,12,28,12,37.5
950.31,15,1,Обратно,26,45,26,21.7
1010.88,16,1,Туда,23,5,23,36.7
1015.98,16,2,Туда,23,11,23,46.7
1021.43,17,3,Туда,83,16,80,100.0
1033.13,17,4,Туда,25,38,25,89.2
1043.18,17,5,Туда,126,58,71,100.0
1057.73,17,6,Туда,126,45,45,100.0
1072.73,17,7,Туда,154,49,49,100.0
1084.53,18,8,Туда,213,52,52,100.0
1099.63,18,9,Туда,234,56,56,100.0
1114.53,18,10,Туда,167,120,120,100.0
1129.53,18,10,Обратно,120,27,27,100.0
1141.53,19,9,Обратно,292,31,31,100.0
1149.60,19,8,Обратно,269,34,34,100.0
1156.84,19,7,Обратно,259,38,38,100.0
1165.73,19,6,Обратно,281,42,42,100.0
1174.08,19,5,Обратно,160,69,69,100.0
1184.70,19,4,Обратно,353,49,49,100.0
1193.39,19,3,Обратно,358,52,52,100.0
1202.33,20,2,Обратно,225,56,56,100.0
1210.53,20,1,Обратно,14,120,14,11.7
1219.26,20,1,Туда,12,3,12,19.2
1222.60,20,2,Туда,172,5,102,100.0
1230.62,20,3,Туда,170,34,34,100.0
1236.61,20,4,Туда,59,38,38,100.0
1243.07,20,5,Туда,3,66,3,47.5
1249.40,20,6,Туда,95,21,84,100.0
1258.01,20,7,Туда,113,49,49,100.0
1265.50,21,8,Туда,7,52,7,62.5
1271.66,21,9,Туда,12,35,12,43.3
1277.18,21,10,Туда,6,52,6,5.0
1283.08,21,10,Обратно,7,1,7,10.0
1286.56,21,9,Обратно,3,3,3,10.0
1290.11,21,8,Обратно,16,3,16,20.8
1293.66,21,7,Обратно,12,8,12,24.2
1297.95,21,6,Обратно,0,10,0,15.8
1301.30,21,5,Обратно,10,11,10,15.0
1304.99,21,4,Обратно,9,7,9,16.7
1308.45,21,3,Обратно,18,8,18,25.0
1312.35,21,2,Обратно,0,14,0,13.3
1315.73,21,1,Обратно,3,16,3,2.5
