Время (мин),Час,Остановка,Направление,Ожидало на остановке,Высадка,Посадка,Загруженность (%)
468.00,7,1,Туда,33,0,33,27.5
474.08,7,2,Туда,196,8,95,100.0
489.13,8,3,Туда,466,34,34,100.0
499.43,8,4,Туда,472,38,38,100.0
512.53,8,5,Туда,409,66,66,100.0
526.63,8,6,Туда,440,45,45,100.0
540.43,9,7,Туда,428,49,49,100.0
552.83,9,8,Туда,334,52,52,100.0
568.53,9,9,Туда,815,56,56,100.0
584.63,9,10,Туда,395,120,120,100.0
599.63,9,10,Обратно,293,27,27,100.0
606.74,10,9,Обратно,722,31,31,100.0
614.10,10,8,Обратно,234,34,34,100.0
620.84,10,7,Обратно,317,38,38,100.0
628.46,10,6,Обратно,299,42,42,100.0
636.09,10,5,Обратно,65,69,65,96.7
646.69,10,4,Обратно,240,47,51,100.0
654.86,10,3,Обратно,0,52,0,56.7
661.67,11,2,Обратно,11,31,11,40.0
667.54,11,1,Обратно,9,48,9,7.5
676.10,11,1,Туда,8,2,8,12.5
680.30,11,2,Туда,23,3,23,29.2
685.80,11,3,Туда,7,10,7,26.7
689.77,11,4,Туда,28,10,28,41.7
695.65,11,5,Туда,19,27,19,35.0
701.30,11,6,Туда,7,15,7,28.3
706.44,11,7,Туда,5,13,5,21.7
710.70,11,8,Туда,3,11,3,15.0
715.85,11,9,Туда,4,8,4,11.7
720.68,12,10,Туда,2,14,2,1.7
724.48,12,10,Обратно,0,0,0,1.7
728.86,12,9,Обратно,3,0,3,4.2
733.41,12,8,Обратно,0,1,0,3.3
736.78,12,7,Обратно,4,1,4,5.8
741.05,12,6,Обратно,4,2,4,7.5
744.70,12,5,Обратно,0,5,0,3.3
748.80,12,4,Обратно,0,1,0,2.5
752.04,12,3,Обратно,0,1,0,1.7
756.10,12,2,Обратно,7,0,7,7.5
760.16,12,1,Обратно,0,9,0,0.0
792.84,13,1,Туда,16,0,16,13.3
797.30,13,2,Туда,21,4,21,27.5
802.55,13,3,Туда,15,9,15,32.5
806.91,13,4,Туда,25,12,25,43.3
812.69,13,5,Туда,13,28,13,30.8
818.12,13,6,Туда,4,14,4,22.5
822.90,13,7,Туда,19,11,19,29.2
827.82,13,8,Туда,4,15,4,20.0
833.22,13,9,Туда,0,11,0,10.8
838.16,13,10,Туда,9,13,9,7.5
842.26,14,10,Обратно,5,2,5,10.0
846.79,14,9,Обратно,2,3,2,9.2
851.41,14,8,Обратно,11,3,11,15.8
855.57,14,7,Обратно,3,6,3,13.3
860.03,14,6,Обратно,0,5,0,9.2
863.64,14,5,Обратно,15,6,15,16.7
868.59,14,4,Обратно,3,8,3,12.5
872.25,14,3,Обратно,12,6,12,17.5
877.39,14,2,Обратно,5,9,5,14.2
881.75,14,1,Обратно,5,17,5,4.2
912.84,15,1,Туда,3,1,3,5.8
916.85,15,2,Туда,11,1,11,14.2
921.53,15,3,Туда,12,4,12,20.8
925.51,15,4,Туда,0,8,0,14.2
929.84,15,5,Туда,9,9,9,14.2
934.19,15,6,Туда,7,6,7,15.0
938.90,15,7,Туда,11,7,11,18.3
