Время (мин),Час,Остановка,Направление,Ожидало на остановке,Высадка,Посадка,Загруженность (%)
414.00,6,1,Туда,29,0,29,24.2
418.52,6,2,Туда,319,7,98,100.0
428.93,7,3,Туда,376,34,34,100.0
436.05,7,4,Туда,399,38,38,100.0
444.67,7,5,Туда,414,66,66,100.0
455.40,7,6,Туда,431,45,45,100.0
464.76,7,7,Туда,456,49,49,100.0
473.65,7,8,Туда,414,52,52,100.0
484.23,8,9,Туда,872,56,56,100.0
500.33,8,10,Туда,694,120,120,100.0
515.33,8,10,Обратно,615,27,27,100.0
528.53,8,9,Обратно,854,31,31,100.0
542.13,9,8,Обратно,352,34,34,100.0
553.03,9,7,Обратно,396,38,38,100.0
566.13,9,6,Обратно,380,42,42,100.0
577.83,9,5,Обратно,323,69,69,100.0
594.03,9,4,Обратно,461,49,49,100.0
605.83,10,3,Обратно,409,52,52,100.0
615.13,10,2,Обратно,25,56,25,74.2
622.86,10,1,Обратно,3,89,3,2.5
628.46,10,1,Туда,4,0,4,5.8
632.33,10,2,Туда,13,1,13,15.8
637.25,10,3,Туда,138,5,106,100.0
645.97,10,4,Туда,278,38,38,100.0
653.74,10,5,Туда,19,66,19,60.8
661.31,11,6,Туда,134,27,74,100.0
670.36,11,7,Туда,157,49,49,100.0
678.69,11,8,Туда,73,52,52,100.0
688.11,11,9,Туда,427,56,56,100.0
698.10,11,10,Туда,3,120,3,2.5
707.25,11,10,Обратно,6,0,6,7.5
711.77,11,9,Обратно,106,2,106,94.2
721.61,12,8,Обратно,14,32,14,79.2
727.23,12,7,Обратно,10,30,10,62.5
733.06,12,6,Обратно,13,26,13,51.7
738.44,12,5,Обратно,28,35,28,45.8
745.43,12,4,Обратно,20,22,20,44.2
750.75,12,3,Обратно,8,23,8,31.7
756.49,12,2,Обратно,0,17,0,17.5
761.18,12,1,Обратно,0,21,0,0.0
822.84,13,1,Туда,15,0,15,12.5
827.25,13,2,Туда,3,3,3,12.5
831.58,13,3,Туда,5,4,5,13.3
835.30,13,4,Туда,22,5,22,27.5
840.71,14,5,Туда,9,18,9,20.0
845.50,14,6,Туда,17,9,17,26.7
850.79,14,7,Туда,13,13,13,26.7
855.47,14,8,Туда,2,14,2,16.7
860.69,14,9,Туда,2,9,2,10.8
865.67,14,10,Туда,6,13,6,5.0
869.62,14,10,Обратно,4,1,4,7.5
874.13,14,9,Обратно,0,2,0,5.8
878.66,14,8,Обратно,10,2,10,12.5
882.61,14,7,Обратно,6,4,6,14.2
887.12,14,6,Обратно,12,5,12,20.0
891.29,14,5,Обратно,10,13,10,17.5
896.40,14,4,Обратно,2,8,2,12.5
900.05,15,3,Обратно,9,6,9,15.0
904.94,15,2,Обратно,5,8,5,12.5
909.30,15,1,Обратно,9,15,9,7.5
942.84,15,1,Туда,5,2,5,10.0
946.93,15,2,Туда,9,3,9,15.0
951.67,15,3,Туда,7,5,7,16.7
955.38,15,4,Туда,19,6,19,27.5
960.55,16,5,Туда,4,18,4,15.8
965.54,16,6,Туда,7,7,7,15.8
971.08,16,7,Туда,16,7,16,23.3
976.35,16,8,Туда,5,12,5,17.5
982.41,16,9,Туда,5,9,5,14.2
988.33,16,10,Туда,30,17,30,25.0
993.68,16,10,Обратно,6,6,6,25.0
999.50,16,9,Обратно,13,7,13,30.0
1005.84,16,8,Обратно,17,10,17,35.8
1011.08,16,7,Обратно,8,13,8,31.7
1016.97,16,6,Обратно,26,13,26,42.5
1022.84,17,5,Обратно,36,29,36,48.3
1035.39,17,4,Обратно,56,23,56,75.8
1046.24,17,3,Обратно,42,40,42,77.5
1060.24,17,2,Обратно,25,43,25,62.5
1072.34,17,1,Обратно,84,75,84,70.0
1081.29,18,1,Туда,35,19,35,83.3
1092.69,18,2,Туда,129,26,46,100.0
1106.19,18,3,Туда,82,34,34,100.0
1116.49,18,4,Туда,89,38,38,100.0
1129.59,18,5,Туда,137,66,66,100.0
1143.69,19,6,Туда,111,45,45,100.0
1153.07,19,7,Туда,41,49,41,93.3
1161.46,19,8,Туда,17,49,17,66.7
1170.20,19,9,Туда,21,37,21,53.3
1178.45,19,10,Туда,44,64,44,36.7
1186.85,19,10,Обратно,8,10,8,35.0
1192.92,19,9,Обратно,28,10,28,50.0
1200.22,20,8,Обратно,17,17,17,50.0
1204.66,20,7,Обратно,0,19,0,34.2
1208.71,20,6,Обратно,10,14,10,30.8
1212.61,20,5,Обратно,0,21,0,13.3
1216.73,20,4,Обратно,2,6,2,10.0
1219.77,20,3,Обратно,12,5,12,15.8
1223.83,20,2,Обратно,14,8,14,20.8
1228.00,20,1,Обратно,1,25,1,0.8
1265.60,21,1,Туда,1,0,1,1.7
1268.67,21,2,Туда,1,0,1,2.5
1272.06,21,3,Туда,6,0,6,7.5
1275.03,21,4,Туда,11,2,11,15.0
1278.76,21,5,Туда,19,9,19,23.3
1282.94,21,6,Туда,0,10,0,15.0
1286.58,21,7,Туда,8,7,8,15.8
1290.12,21,8,Туда,0,8,0,9.2
1293.93,21,9,Туда,8,5,8,11.7
1297.89,21,10,Туда,4,14,4,3.3
1301.79,21,10,Обратно,3,0,3,5.8
1305.32,21,9,Обратно,4,1,4,8.3
1308.91,21,8,Обратно,12,2,12,16.7
1312.38,21,7,Обратно,5,6,5,15.8
1316.03,21,6,Обратно,14,6,14,22.5
1319.80,21,5,Обратно,0,15,0,10.0
1323.75,22,4,Обратно,1,4,1,7.5
1326.67,22,3,Обратно,0,3,0,5.0
1330.08,22,2,Обратно,0,2,0,3.3
1333.14,22,1,Обратно,1,4,1,0.8
