ID трамвая,Всего рейсов,Обслужено пассажиров,Средняя загруженность (%),Макс загруженность (%),Всего остановок посещено
1,7,3262,45.1,100.0,140
2,7,2921,39.8,100.0,140
3,7,2875,38.3,100.0,140
4,6,2734,43.3,100.0,120
5,7,2487,33.3,100.0,140
6,7,2012,27.0,100.0,140
7,7,1968,29.0,100.0,130
8,6,2206,35.8,100.0,120
