Время (мин),Час,Остановка,Направление,Ожидало на остановке,Высадка,Посадка,Загруженность (%)
486.00,8,1,Туда,54,0,54,45.0
497.40,8,2,Туда,166,14,80,100.0
512.00,8,3,Туда,497,34,34,100.0
522.30,8,4,Туда,465,38,38,100.0
535.40,8,5,Туда,372,66,66,100.0
549.50,9,6,Туда,397,45,45,100.0
563.30,9,7,Туда,373,49,49,100.0
575.70,9,8,Туда,278,52,52,100.0
591.40,9,9,Туда,756,56,56,100.0
607.50,10,10,Туда,270,120,120,100.0
622.50,10,10,Обратно,166,27,27,100.0
629.49,10,9,Обратно,711,31,31,100.0
636.99,10,8,Обратно,167,34,34,100.0
643.83,10,7,Обратно,260,38,38,100.0
651.59,10,6,Обратно,167,42,42,100.0
659.25,10,5,Обратно,5,69,5,46.7
666.81,11,4,Обратно,136,22,86,100.0
675.33,11,3,Обратно,8,52,8,63.3
682.59,11,2,Обратно,1,35,1,35.0
688.04,11,1,Обратно,9,42,9,7.5
691.59,11,1,Туда,2,2,2,7.5
695.48,11,2,Туда,13,2,13,16.7
700.29,11,3,Туда,21,5,21,30.0
704.84,11,4,Туда,14,11,14,32.5
710.04,11,5,Туда,5,21,5,19.2
714.65,11,6,Туда,10,8,10,20.8
719.46,11,7,Туда,13,10,13,23.3
724.00,12,8,Туда,1,12,1,14.2
728.98,12,9,Туда,0,7,0,8.3
733.55,12,10,Туда,9,10,9,7.5
737.50,12,10,Обратно,5,2,5,10.0
742.28,12,9,Обратно,19,3,19,23.3
747.66,12,8,Обратно,14,8,14,28.3
752.05,12,7,Обратно,18,10,18,35.0
757.36,12,6,Обратно,4,14,4,26.7
761.68,12,5,Обратно,26,18,26,33.3
767.79,12,4,Обратно,13,16,13,30.8
772.39,12,3,Обратно,0,16,0,17.5
777.37,12,2,Обратно,3,9,3,12.5
781.66,13,1,Обратно,3,15,3,2.5
837.84,13,1,Туда,4,0,4,5.8
841.83,14,2,Туда,11,1,11,14.2
846.55,14,3,Туда,2,4,2,12.5
850.12,14,4,Туда,16,4,16,22.5
855.01,14,5,Туда,0,14,0,10.8
859.02,14,6,Туда,18,4,18,22.5
864.03,14,7,Туда,11,11,11,22.5
868.55,14,8,Туда,6,11,6,18.3
873.86,14,9,Туда,10,10,10,18.3
879.05,14,10,Туда,10,22,10,8.3
883.65,14,10,Обратно,4,2,4,10.0
888.24,14,9,Обратно,14,3,14,19.2
893.51,14,8,Обратно,8,6,8,20.8
897.58,14,7,Обратно,3,8,3,16.7
902.04,15,6,Обратно,8,7,8,17.5
906.11,15,5,Обратно,7,12,7,13.3
911.07,15,4,Обратно,0,6,0,8.3
914.60,15,3,Обратно,9,4,9,12.5
919.40,15,2,Обратно,3,7,3,9.2
923.58,15,1,Обратно,11,11,11,9.2
957.84,15,1,Туда,2,2,2,9.2
961.82,16,2,Туда,15,2,15,20.0
967.74,16,3,Туда,6,6,6,20.0
972.09,16,4,Туда,19,7,19,30.0
978.26,16,5,Туда,19,19,19,30.0
984.23,16,6,Туда,3,13,3,21.7
989.73,16,7,Туда,23,10,23,32.5
995.34,16,8,Туда,13,17,13,29.2
1002.08,16,9,Туда,7,16,7,21.7
1008.56,16,10,Туда,19,26,19,15.8
1013.81,16,10,Обратно,7,4,7,18.3
1019.47,16,9,Обратно,1,5,1,15.0
1030.27,17,8,Обратно,56,5,56,57.5
1040.82,17,7,Обратно,32,22,32,65.8
1052.82,17,6,Обратно,45,27,45,80.8
1063.92,17,5,Обратно,32,56,32,60.8
1077.62,17,4,Обратно,18,29,18,51.7
1086.87,18,3,Обратно,91,27,85,100.0
1102.37,18,2,Обратно,123,56,56,100.0
1116.67,18,1,Обратно,107,120,107,89.2
1129.02,18,1,Туда,40,24,37,100.0
1140.77,19,2,Туда,147,31,31,100.0
1148.91,19,3,Туда,114,34,34,100.0
1156.02,19,4,Туда,72,38,38,100.0
1164.44,19,5,Туда,9,66,9,52.5
1172.12,19,6,Туда,20,23,20,50.0
1179.11,19,7,Туда,25,24,25,50.8
1185.46,19,8,Туда,31,26,31,55.0
1193.59,19,9,Туда,2,31,2,30.8
1200.47,20,10,Туда,18,37,18,15.0
1206.22,20,10,Обратно,2,4,2,13.3
1209.88,20,9,Обратно,18,4,18,25.0
1214.43,20,8,Обратно,3,8,3,20.8
1217.67,20,7,Обратно,2,8,2,15.8
1221.25,20,6,Обратно,10,6,10,19.2
1224.80,20,5,Обратно,10,13,10,16.7
1229.04,20,4,Обратно,9,8,9,17.5
1232.51,20,3,Обратно,14,9,14,21.7
1236.95,20,2,Обратно,5,12,5,15.8
1240.74,20,1,Обратно,17,19,17,14.2
1285.60,21,1,Туда,5,3,5,15.8
1289.04,21,2,Туда,12,4,12,22.5
1293.01,21,3,Туда,2,7,2,18.3
1296.10,21,4,Туда,3,7,3,15.0
1299.77,21,5,Туда,0,9,0,7.5
1302.97,21,6,Туда,7,3,7,10.8
1306.57,21,7,Туда,9,5,9,14.2
1310.03,21,8,Туда,1,7,1,9.2
1313.74,21,9,Туда,8,5,8,11.7
1317.84,21,10,Туда,10,14,10,8.3
1322.04,22,10,Обратно,0,2,0,6.7
1325.51,22,9,Обратно,2,2,2,6.7
1329.05,22,8,Обратно,3,2,3,7.5
1332.04,22,7,Обратно,0,2,0,5.8
1335.31,22,6,Обратно,7,2,7,10.0
1338.51,22,5,Обратно,4,6,4,8.3
1342.19,22,4,Обратно,2,4,2,6.7
1345.08,22,3,Обратно,0,3,0,4.2
1348.41,22,2,Обратно,6,2,6,7.5
1351.77,22,1,Обратно,2,9,2,1.7
