Время (мин),Час,Остановка,Направление,Ожидало на остановке,Высадка,Посадка,Загруженность (%)
360.00,6,1,Туда,331,0,120,100.0
368.96,6,2,Туда,366,31,31,100.0
375.30,6,3,Туда,389,34,34,100.0
381.33,6,4,Туда,412,38,38,100.0
388.33,6,5,Туда,464,66,66,100.0
397.66,6,6,Туда,425,45,45,100.0
405.34,6,7,Туда,443,49,49,100.0
413.04,6,8,Туда,433,52,52,100.0
421.68,7,9,Туда,960,56,56,100.0
432.68,7,10,Туда,947,120,120,100.0
447.68,7,10,Обратно,871,27,27,100.0
455.53,7,9,Обратно,920,31,31,100.0
463.81,7,8,Обратно,429,34,34,100.0
471.22,7,7,Обратно,421,38,38,100.0
479.70,7,6,Обратно,420,42,42,100.0
491.40,8,5,Обратно,403,69,69,100.0
507.60,8,4,Обратно,464,49,49,100.0
519.40,8,3,Обратно,480,52,52,100.0
534.50,8,2,Обратно,207,56,56,100.0
548.80,9,1,Обратно,90,120,90,75.0
560.30,9,1,Туда,20,20,20,75.0
571.00,9,2,Туда,160,23,53,100.0
584.70,9,3,Туда,421,34,34,100.0
595.00,9,4,Туда,415,38,38,100.0
608.10,10,5,Туда,229,66,66,100.0
618.04,10,6,Туда,327,45,45,100.0
626.49,10,7,Туда,284,49,49,100.0
634.73,10,8,Туда,219,52,52,100.0
644.37,10,9,Туда,696,56,56,100.0
654.33,10,10,Туда,157,120,120,100.0
669.33,11,10,Обратно,52,27,27,100.0
676.30,11,9,Обратно,556,31,31,100.0
683.60,11,8,Обратно,28,34,28,95.0
690.05,11,7,Обратно,78,36,42,100.0
697.84,11,6,Обратно,19,42,19,80.8
704.23,11,5,Обратно,6,56,6,39.2
711.37,11,4,Обратно,10,19,10,31.7
716.04,11,3,Обратно,18,16,18,33.3
721.77,12,2,Обратно,24,18,24,38.3
727.59,12,1,Обратно,39,46,39,32.5
732.84,12,1,Туда,0,8,0,25.8
737.10,12,2,Туда,8,8,8,25.8
742.14,12,3,Туда,15,8,15,31.7
746.40,12,4,Туда,1,12,1,22.5
750.94,12,5,Туда,5,14,5,15.0
755.23,12,6,Туда,22,6,22,28.3
760.52,12,7,Туда,10,13,10,25.8
764.96,12,8,Туда,13,13,13,25.8
770.51,12,9,Туда,21,14,21,31.7
776.56,12,10,Туда,37,38,37,30.8
783.31,13,10,Обратно,6,8,6,29.2
788.20,13,9,Обратно,4,9,4,25.0
793.23,13,8,Обратно,16,8,16,31.7
797.75,13,7,Обратно,5,12,5,25.8
802.61,13,6,Обратно,0,10,0,17.5
806.55,13,5,Обратно,10,12,10,15.8
811.60,13,4,Обратно,7,7,7,15.8
815.49,13,3,Обратно,16,8,16,22.5
820.78,13,2,Обратно,2,12,2,14.2
825.33,13,1,Обратно,2,17,2,1.7
852.84,14,1,Туда,21,0,21,19.2
857.54,14,2,Туда,8,5,8,21.7
862.39,14,3,Туда,3,7,3,18.3
866.02,14,4,Туда,6,7,6,17.5
870.63,14,5,Туда,10,11,10,16.7
875.02,14,6,Туда,4,7,4,14.2
879.55,14,7,Туда,16,6,16,22.5
883.99,14,8,Туда,8,11,8,20.0
889.34,14,9,Туда,0,11,0,10.8
894.14,14,10,Туда,3,13,3,2.5
897.94,14,10,Обратно,3,0,3,5.0
902.27,15,9,Обратно,15,1,15,16.7
907.45,15,8,Обратно,14,5,14,24.2
911.86,15,7,Обратно,1,9,1,17.5
916.35,15,6,Обратно,9,7,9,19.2
920.45,15,5,Обратно,7,13,7,14.2
925.39,15,4,Обратно,20,6,20,25.8
929.80,15,3,Обратно,15,13,15,27.5
935.31,15,2,Обратно,6,15,6,20.0
940.09,15,1,Обратно,3,24,3,2.5
972.84,16,1,Туда,16,0,16,15.8
978.10,16,2,Туда,12,4,12,22.5
983.75,16,3,Туда,7,7,7,22.5
988.14,16,4,Туда,29,8,29,40.0
994.78,16,5,Туда,4,26,4,21.7
1000.20,16,6,Туда,5,9,5,18.3
1005.65,16,7,Туда,24,9,24,30.8
1011.39,16,8,Туда,10,16,10,25.8
1018.12,16,9,Туда,19,14,19,30.0
1030.27,17,10,Туда,30,36,30,25.0
1036.57,17,10,Обратно,13,6,13,30.8
1048.02,17,9,Обратно,74,9,74,85.0
1062.67,17,8,Обратно,77,29,47,100.0
1073.97,17,7,Обратно,54,38,38,100.0
1087.07,18,6,Обратно,75,42,42,100.0
1098.77,18,5,Обратно,62,69,62,94.2
1114.62,18,4,Обратно,134,46,53,100.0
1126.47,18,3,Обратно,130,52,52,100.0
1141.57,19,2,Обратно,116,56,56,100.0
1151.75,19,1,Обратно,45,120,45,37.5
1161.00,19,1,Туда,8,10,8,35.8
1166.52,19,2,Туда,46,11,46,65.0
1174.37,19,3,Туда,79,22,64,100.0
1182.53,19,4,Туда,7,38,7,74.2
1189.67,19,5,Туда,22,48,22,52.5
1197.30,19,6,Туда,51,23,51,75.8
1204.09,20,7,Туда,27,37,27,67.5
1210.08,20,8,Туда,13,35,13,49.2
1215.81,20,9,Туда,8,27,8,33.3
1220.95,20,10,Туда,12,40,12,10.0
1226.55,20,10,Обратно,1,2,1,9.2
1230.09,20,9,Обратно,2,2,2,9.2
1233.61,20,8,Обратно,2,3,2,8.3
1236.62,20,7,Обратно,5,3,5,10.0
1240.15,20,6,Обратно,17,4,17,20.8
1243.93,20,5,Обратно,7,14,7,15.0
1248.14,20,4,Обратно,12,7,12,19.2
1251.72,20,3,Обратно,15,10,15,23.3
1256.26,20,2,Обратно,3,13,3,15.0
1260.01,21,1,Обратно,8,18,8,6.7
1325.60,22,1,Туда,4,1,4,9.2
1328.84,22,2,Туда,9,2,9,15.0
1332.61,22,3,Туда,1,5,1,11.7
1335.57,22,4,Туда,5,4,5,12.5
1339.10,22,5,Туда,0,8,0,5.8
1342.25,22,6,Туда,0,2,0,4.2
1345.43,22,7,Туда,2,2,2,4.2
1348.40,22,8,Туда,7,2,7,8.3
1352.29,22,9,Туда,0,4,0,5.0
1355.79,22,10,Туда,4,6,4,3.3
1359.29,22,10,Обратно,0,0,0,3.3
1362.74,22,9,Обратно,1,1,1,3.3
