Время (мин),Час,Остановка,Направление,Ожидало на остановке,Высадка,Посадка,Загруженность (%)
432.00,7,1,Туда,40,0,40,33.3
438.57,7,2,Туда,278,10,90,100.0
448.47,7,3,Туда,399,34,34,100.0
455.56,7,4,Туда,404,38,38,100.0
463.98,7,5,Туда,415,66,66,100.0
474.60,7,6,Туда,446,45,45,100.0
488.40,8,7,Туда,439,49,49,100.0
500.80,8,8,Туда,401,52,52,100.0
516.50,8,9,Туда,873,56,56,100.0
532.60,8,10,Туда,632,120,120,100.0
547.60,9,10,Обратно,530,27,27,100.0
560.80,9,9,Обратно,833,31,31,100.0
574.40,9,8,Обратно,312,34,34,100.0
585.30,9,7,Обратно,362,38,38,100.0
598.40,9,6,Обратно,391,42,42,100.0
606.07,10,5,Обратно,294,69,69,100.0
616.92,10,4,Обратно,400,49,49,100.0
625.04,10,3,Обратно,238,52,52,100.0
634.31,10,2,Обратно,2,56,2,55.0
641.05,10,1,Обратно,15,66,15,12.5
646.10,10,1,Туда,8,3,8,16.7
650.35,10,2,Туда,2,5,2,14.2
654.76,10,3,Туда,53,4,53,55.0
660.88,11,4,Туда,204,21,75,100.0
669.66,11,5,Туда,15,66,15,57.5
677.00,11,6,Туда,85,26,77,100.0
686.15,11,7,Туда,124,49,49,100.0
694.50,11,8,Туда,12,52,12,66.7
701.94,11,9,Туда,275,37,77,100.0
712.07,11,10,Туда,4,120,4,3.3
721.27,12,10,Обратно,0,0,0,3.3
725.56,12,9,Обратно,14,1,14,14.2
730.67,12,8,Обратно,8,4,8,17.5
734.57,12,7,Обратно,8,6,8,19.2
739.30,12,6,Обратно,9,8,9,20.0
743.59,12,5,Обратно,5,13,5,13.3
748.42,12,4,Обратно,2,6,2,10.0
752.03,12,3,Обратно,0,5,0,5.8
756.46,12,2,Обратно,0,3,0,3.3
760.39,12,1,Обратно,0,4,0,0.0
777.84,12,1,Туда,20,0,20,16.7
782.67,13,2,Туда,3,5,3,15.0
787.21,13,3,Туда,18,5,18,25.8
791.51,13,4,Туда,16,9,16,31.7
796.71,13,5,Туда,20,20,20,31.7
