Время (мин),Час,Остановка,Направление,Ожидало на остановке,Высадка,Посадка,Загруженность (%)
378.00,6,1,Туда,230,0,120,100.0
387.04,6,2,Туда,350,31,31,100.0
393.43,6,3,Туда,373,34,34,100.0
399.50,6,4,Туда,403,38,38,100.0
406.44,6,5,Туда,422,66,66,100.0
415.75,6,6,Туда,409,45,45,100.0
424.93,7,7,Туда,441,49,49,100.0
433.75,7,8,Туда,435,52,52,100.0
444.13,7,9,Туда,953,56,56,100.0
455.05,7,10,Туда,865,120,120,100.0
470.05,7,10,Обратно,775,27,27,100.0
477.96,7,9,Обратно,884,31,31,100.0
491.56,8,8,Обратно,408,34,34,100.0
502.46,8,7,Обратно,445,38,38,100.0
515.56,8,6,Обратно,448,42,42,100.0
527.26,8,5,Обратно,412,69,69,100.0
543.46,9,4,Обратно,466,49,49,100.0
555.26,9,3,Обратно,479,52,52,100.0
570.36,9,2,Обратно,214,56,56,100.0
584.66,9,1,Обратно,42,120,42,35.0
593.76,9,1,Туда,9,9,9,35.0
603.36,10,2,Туда,99,10,88,100.0
612.35,10,3,Туда,363,34,34,100.0
618.93,10,4,Туда,351,38,38,100.0
626.69,10,5,Туда,116,66,66,100.0
636.76,10,6,Туда,271,45,45,100.0
645.09,10,7,Туда,223,49,49,100.0
653.35,10,8,Туда,152,52,52,100.0
662.91,11,9,Туда,659,56,56,100.0
672.69,11,10,Туда,28,120,28,23.3
683.09,11,10,Обратно,0,6,0,18.3
687.84,11,9,Обратно,530,5,103,100.0
697.48,11,8,Обратно,0,34,0,71.7
702.58,11,7,Обратно,11,27,11,58.3
708.43,11,6,Обратно,6,24,6,43.3
713.29,11,5,Обратно,4,30,4,21.7
718.87,11,4,Обратно,7,10,7,19.2
722.94,12,3,Обратно,11,10,11,20.0
728.03,12,2,Обратно,9,11,9,18.3
732.78,12,1,Обратно,3,22,3,2.5
747.84,12,1,Туда,3,0,3,5.0
751.72,12,2,Туда,14,1,14,15.8
756.70,12,3,Туда,6,5,6,16.7
760.50,12,4,Туда,11,6,11,20.8
765.37,12,5,Туда,1,13,1,10.8
769.36,12,6,Туда,14,4,14,19.2
774.20,12,7,Туда,19,9,19,27.5
779.04,12,8,Туда,10,14,10,24.2
784.47,13,9,Туда,10,13,10,21.7
789.98,13,10,Туда,11,26,11,9.2
794.83,13,10,Обратно,5,2,5,11.7
799.41,13,9,Обратно,8,3,8,15.8
804.33,13,8,Обратно,3,5,3,14.2
808.10,13,7,Обратно,0,5,0,10.0
812.36,13,6,Обратно,10,4,10,15.0
816.44,13,5,Обратно,6,10,6,11.7
821.12,13,4,Обратно,15,5,15,20.0
825.38,13,3,Обратно,10,10,10,20.0
830.50,13,2,Обратно,4,11,4,14.2
834.94,13,1,Обратно,9,17,9,7.5
867.84,14,1,Туда,15,2,15,18.3
872.50,14,2,Туда,7,5,7,20.0
877.28,14,3,Туда,7,6,7,20.8
881.18,14,4,Туда,3,8,3,16.7
885.73,14,5,Туда,12,11,12,17.5
890.23,14,6,Туда,0,7,0,11.7
894.61,14,7,Туда,8,5,8,14.2
898.67,14,8,Туда,6,7,6,13.3
903.59,15,9,Туда,0,7,0,7.5
908.37,15,10,Туда,14,9,14,11.7
912.52,15,10,Обратно,9,3,9,16.7
917.31,15,9,Обратно,15,5,15,25.0
922.74,15,8,Обратно,11,8,11,27.5
927.14,15,7,Обратно,0,10,0,19.2
931.57,15,6,Обратно,9,8,9,20.0
935.77,15,5,Обратно,8,13,8,15.8
940.78,15,4,Обратно,21,7,21,27.5
945.34,15,3,Обратно,11,14,11,25.0
950.83,15,2,Обратно,8,14,8,20.0
955.79,15,1,Обратно,12,24,12,10.0
987.84,16,1,Туда,20,2,20,25.0
993.40,16,2,Туда,20,7,20,35.8
999.75,16,3,Туда,24,12,24,45.8
1005.37,16,4,Туда,22,17,22,50.0
1012.13,16,5,Туда,21,33,21,40.0
1018.95,16,6,Туда,4,18,4,28.3
1029.35,17,7,Туда,39,13,39,50.0
1039.45,17,8,Туда,21,26,21,45.8
1052.30,17,9,Туда,14,25,14,36.7
1064.75,17,10,Туда,63,44,63,52.5
1073.10,17,10,Обратно,21,14,21,58.3
1085.35,18,9,Обратно,19,18,19,59.2
1097.70,18,8,Обратно,78,20,69,100.0
1109.65,18,7,Обратно,17,38,17,82.5
1121.70,18,6,Обратно,128,34,55,100.0
1133.65,18,5,Обратно,83,69,69,100.0
1145.43,19,4,Обратно,102,49,49,100.0
1154.03,19,3,Обратно,90,52,52,100.0
1164.16,19,2,Обратно,101,56,56,100.0
1174.34,19,1,Обратно,21,120,21,17.5
1182.39,19,1,Туда,15,4,15,26.7
1187.86,19,2,Туда,42,8,42,55.0
1195.20,19,3,Туда,12,19,12,49.2
1200.40,20,4,Туда,16,18,16,47.5
1205.23,20,5,Туда,28,31,28,45.0
1210.93,20,6,Туда,0,20,0,28.3
1215.06,20,7,Туда,11,13,11,26.7
1218.99,20,8,Туда,1,14,1,15.8
1223.04,20,9,Туда,10,8,10,17.5
1227.40,20,10,Туда,1,21,1,0.8
1231.50,20,10,Обратно,1,0,1,1.7
1234.91,20,9,Обратно,0,0,0,1.7
1238.23,20,8,Обратно,4,0,4,5.0
1241.13,20,7,Обратно,7,1,7,10.0
1244.68,20,6,Обратно,1,4,1,7.5
1247.65,20,5,Обратно,1,5,1,4.2
1251.03,20,4,Обратно,5,2,5,6.7
1254.04,20,3,Обратно,0,3,0,4.2
1257.43,20,2,Обратно,1,2,1,3.3
1260.64,21,1,Обратно,0,4,0,0.0
1305.60,21,1,Туда,2,0,2,1.7
1308.74,21,2,Туда,12,0,12,11.7
1312.60,21,3,Туда,3,4,3,10.8
1315.53,21,4,Туда,12,4,12,17.5
1319.53,21,5,Туда,14,11,14,20.0
1323.57,22,6,Туда,2,9,2,14.2
1327.32,22,7,Туда,2,6,2,10.8
1330.51,22,8,Туда,0,5,0,6.7
1334.17,22,9,Туда,2,3,2,5.8
1337.79,22,10,Туда,6,7,6,5.0
1341.44,22,10,Обратно,1,1,1,5.0
1344.82,22,9,Обратно,2,1,2,5.8
1348.44,22,8,Обратно,0,2,0,4.2
1351.35,22,7,Обратно,1,1,1,4.2
1354.54,22,6,Обратно,0,1,0,3.3
1357.31,22,5,Обратно,6,2,6,6.7
1360.79,22,4,Обратно,1,3,1,5.0
1363.66,22,3,Обратно,5,2,5,7.5
1367.20,22,2,Обратно,3,4,3,6.7
1370.50,22,1,Обратно,0,8,0,0.0
