Время (мин),Час,Остановка,Направление,Ожидало на остановке,Высадка,Посадка,Загруженность (%)
450.00,7,1,Туда,46,0,46,38.3
456.89,7,2,Туда,233,11,85,100.0
466.59,7,3,Туда,410,34,34,100.0
473.68,7,4,Туда,416,38,38,100.0
482.08,8,5,Туда,418,66,66,100.0
496.18,8,6,Туда,429,45,45,100.0
509.98,8,7,Туда,432,49,49,100.0
522.38,8,8,Туда,382,52,52,100.0
538.08,8,9,Туда,858,56,56,100.0
554.18,9,10,Туда,508,120,120,100.0
569.18,9,10,Обратно,404,27,27,100.0
582.38,9,9,Обратно,771,31,31,100.0
595.98,9,8,Обратно,251,34,34,100.0
602.80,10,7,Обратно,346,38,38,100.0
610.49,10,6,Обратно,357,42,42,100.0
618.13,10,5,Обратно,182,69,69,100.0
628.89,10,4,Обратно,330,49,49,100.0
636.94,10,3,Обратно,190,52,52,100.0
646.19,10,2,Обратно,11,56,11,62.5
653.28,10,1,Обратно,8,75,8,6.7
661.10,11,1,Туда,7,1,7,11.7
665.19,11,2,Туда,7,3,7,15.0
669.91,11,3,Туда,17,5,17,25.0
674.15,11,4,Туда,54,9,54,62.5
681.16,11,5,Туда,14,41,14,40.0
687.29,11,6,Туда,18,18,18,40.0
693.09,11,7,Туда,38,19,38,55.8
699.32,11,8,Туда,1,29,1,32.5
705.20,11,9,Туда,198,18,99,100.0
715.37,11,10,Туда,1,120,1,0.8
724.42,12,10,Обратно,1,0,1,1.7
728.91,12,9,Обратно,0,0,0,1.7
733.24,12,8,Обратно,8,0,8,8.3
737.02,12,7,Обратно,0,3,0,5.8
741.17,12,6,Обратно,0,2,0,4.2
744.58,12,5,Обратно,1,2,1,3.3
748.76,12,4,Обратно,0,1,0,2.5
751.98,12,3,Обратно,1,1,1,2.5
756.30,12,2,Обратно,0,1,0,1.7
760.08,12,1,Обратно,9,2,9,7.5
807.84,13,1,Туда,15,2,15,18.3
812.38,13,2,Туда,19,5,19,30.0
817.72,13,3,Туда,0,10,0,21.7
821.36,13,4,Туда,0,8,0,15.0
825.67,13,5,Туда,10,9,10,15.8
830.01,13,6,Туда,9,7,9,17.5
834.67,13,7,Туда,8,8,8,17.5
838.94,13,8,Туда,1,9,1,10.8
843.64,14,9,Туда,8,6,8,12.5
848.69,14,10,Туда,6,15,6,5.0
852.74,14,10,Обратно,4,1,4,7.5
857.22,14,9,Обратно,9,2,9,13.3
862.00,14,8,Обратно,10,4,10,18.3
866.00,14,7,Обратно,1,7,1,13.3
870.34,14,6,Обратно,12,5,12,19.2
874.59,14,5,Обратно,7,13,7,14.2
879.46,14,4,Обратно,17,6,17,23.3
883.77,14,3,Обратно,9,12,9,20.8
888.92,14,2,Обратно,3,11,3,14.2
893.40,14,1,Обратно,9,17,9,7.5
927.84,15,1,Туда,6,2,6,10.8
931.89,15,2,Туда,18,3,18,23.3
937.10,15,3,Туда,6,8,6,21.7
941.06,15,4,Туда,0,8,0,15.0
945.50,15,5,Туда,12,9,12,17.5
949.96,15,6,Туда,2,7,2,13.3
954.39,15,7,Туда,10,6,10,16.7
958.54,15,8,Туда,5,8,5,14.2
964.50,16,9,Туда,0,7,0,8.3
970.05,16,10,Туда,14,10,14,11.7
974.25,16,10,Обратно,5,3,5,13.3
979.96,16,9,Обратно,24,4,24,30.0
986.79,16,8,Обратно,13,10,13,32.5
992.07,16,7,Обратно,0,12,0,22.5
997.28,16,6,Обратно,22,9,22,33.3
1002.84,16,5,Обратно,22,23,22,32.5
1009.87,16,4,Обратно,3,15,3,22.5
1014.43,16,3,Обратно,1,11,1,14.2
1020.08,17,2,Обратно,34,7,34,36.7
1030.83,17,1,Обратно,40,44,40,33.3
1040.84,17,1,Туда,21,9,21,43.3
1051.04,17,2,Туда,20,13,20,49.2
1062.59,17,3,Туда,24,17,24,55.0
1071.54,17,4,Туда,24,21,24,57.5
1083.09,18,5,Туда,25,37,25,47.5
1093.69,18,6,Туда,19,21,19,45.8
1104.99,18,7,Туда,16,22,16,40.8
1114.39,18,8,Туда,9,21,9,30.8
1126.39,18,9,Туда,20,17,20,33.3
1138.74,18,10,Туда,5,40,5,4.2
1143.99,19,10,Обратно,0,1,0,3.3
1149.14,19,9,Обратно,0,1,0,2.5
1154.31,19,8,Обратно,5,0,5,6.7
1158.68,19,7,Обратно,10,2,10,13.3
1164.12,19,6,Обратно,73,5,73,70.0
1171.98,19,5,Обратно,17,48,17,44.2
1180.11,19,4,Обратно,3,21,3,29.2
1185.01,19,3,Обратно,1,15,1,17.5
1190.87,19,2,Обратно,0,9,0,10.0
1195.90,19,1,Обратно,2,12,2,1.7
1197.60,19,1,Туда,1,0,1,2.5
1202.27,20,2,Туда,5,0,5,6.7
1205.76,20,3,Туда,5,2,5,9.2
1208.74,20,4,Туда,12,3,12,16.7
1212.58,20,5,Туда,8,11,8,14.2
1216.29,20,6,Туда,7,6,7,15.0
1220.02,20,7,Туда,0,7,0,9.2
1223.11,20,8,Туда,5,4,5,10.0
1226.90,20,9,Туда,1,5,1,6.7
1230.64,20,10,Туда,0,8,0,0.0
1234.04,20,10,Обратно,2,0,2,1.7
1237.47,20,9,Обратно,2,0,2,3.3
1241.01,20,8,Обратно,2,1,2,4.2
1243.89,20,7,Обратно,3,1,3,5.8
1247.25,20,6,Обратно,4,2,4,7.5
1250.32,20,5,Обратно,2,5,2,5.0
1253.74,20,4,Обратно,2,2,2,5.0
1256.52,20,3,Обратно,0,2,0,3.3
1259.80,20,2,Обратно,4,1,4,5.8
1263.11,21,1,Обратно,2,7,2,1.7
1345.60,22,1,Туда,5,0,5,5.8
1348.92,22,2,Туда,0,1,0,5.0
1352.22,22,3,Туда,2,1,2,5.8
1354.95,22,4,Туда,5,2,5,8.3
1358.48,22,5,Туда,1,5,1,5.0
