Время (мин),Час,Остановка,Направление,Ожидало на остановке,Высадка,Посадка,Загруженность (%)
396.00,6,1,Туда,124,0,120,100.0
405.04,6,2,Туда,332,31,31,100.0
411.45,6,3,Туда,359,34,34,100.0
417.44,6,4,Туда,389,38,38,100.0
425.92,7,5,Туда,426,66,66,100.0
436.45,7,6,Туда,422,45,45,100.0
445.56,7,7,Туда,440,49,49,100.0
454.52,7,8,Туда,449,52,52,100.0
465.04,7,9,Туда,913,56,56,100.0
475.86,7,10,Туда,762,120,120,100.0
490.86,8,10,Обратно,692,27,27,100.0
504.06,8,9,Обратно,866,31,31,100.0
517.66,8,8,Обратно,405,34,34,100.0
528.56,8,7,Обратно,450,38,38,100.0
541.66,9,6,Обратно,428,42,42,100.0
553.36,9,5,Обратно,347,69,69,100.0
569.56,9,4,Обратно,470,49,49,100.0
581.36,9,3,Обратно,468,52,52,100.0
596.46,9,2,Обратно,144,56,56,100.0
605.86,10,1,Обратно,10,120,10,8.3
613.36,10,1,Туда,11,2,11,15.8
617.81,10,2,Туда,5,4,5,16.7
622.36,10,3,Туда,339,5,105,100.0
631.14,10,4,Туда,284,38,38,100.0
638.79,10,5,Туда,6,66,6,50.0
645.85,10,6,Туда,242,22,82,100.0
655.01,10,7,Туда,189,49,49,100.0
663.19,11,8,Туда,113,52,52,100.0
672.71,11,9,Туда,608,56,56,100.0
682.77,11,10,Туда,6,120,6,5.0
692.07,11,10,Обратно,9,1,9,11.7
696.81,11,9,Обратно,377,3,109,100.0
706.86,11,8,Обратно,7,34,7,77.5
712.32,11,7,Обратно,5,29,5,57.5
717.94,11,6,Обратно,6,24,6,42.5
722.78,12,5,Обратно,11,29,11,27.5
728.69,12,4,Обратно,16,13,16,30.0
733.34,12,3,Обратно,17,15,17,31.7
739.16,12,2,Обратно,0,17,0,17.5
743.68,12,1,Обратно,12,21,12,10.0
762.84,12,1,Туда,2,2,2,10.0
766.79,12,2,Туда,14,3,14,19.2
771.74,12,3,Туда,25,6,25,35.0
776.42,12,4,Туда,12,13,12,34.2
781.61,13,5,Туда,27,22,27,38.3
787.51,13,6,Туда,15,17,15,36.7
793.08,13,7,Туда,21,18,21,39.2
798.36,13,8,Туда,3,20,3,25.0
803.96,13,9,Туда,5,14,5,17.5
809.12,13,10,Туда,12,21,12,10.0
813.77,13,10,Обратно,6,2,6,13.3
818.60,13,9,Обратно,1,4,1,10.8
823.15,13,8,Обратно,14,3,14,20.0
827.42,13,7,Обратно,6,7,6,19.2
831.95,13,6,Обратно,3,8,3,15.0
835.88,13,5,Обратно,12,10,12,16.7
840.84,14,4,Обратно,9,8,9,17.5
844.81,14,3,Обратно,16,9,16,23.3
850.16,14,2,Обратно,8,13,8,19.2
855.03,14,1,Обратно,1,23,1,0.8
882.84,14,1,Туда,0,0,0,0.8
886.61,14,2,Туда,10,0,10,9.2
891.31,14,3,Туда,11,3,11,15.8
895.23,14,4,Туда,20,6,20,27.5
900.53,15,5,Туда,17,18,17,26.7
905.58,15,6,Туда,7,12,7,22.5
910.49,15,7,Туда,18,11,18,28.3
915.36,15,8,Туда,11,14,11,25.8
921.06,15,9,Туда,5,14,5,18.3
926.27,15,10,Туда,13,22,13,10.8
931.02,15,10,Обратно,4,2,4,12.5
935.51,15,9,Обратно,0,3,0,10.0
940.09,15,8,Обратно,9,3,9,15.0
944.16,15,7,Обратно,2,5,2,12.5
948.43,15,6,Обратно,23,5,23,27.5
953.28,15,5,Обратно,10,19,10,20.0
958.60,15,4,Обратно,2,9,2,14.2
962.93,16,3,Обратно,11,7,11,17.5
968.71,16,2,Обратно,13,9,13,20.8
974.22,16,1,Обратно,3,25,3,2.5
1002.84,16,1,Туда,19,0,19,18.3
1008.19,16,2,Туда,3,5,3,16.7
1013.73,16,3,Туда,23,5,23,31.7
1018.96,16,4,Туда,18,12,18,36.7
1029.76,17,5,Туда,26,24,26,38.3
1039.76,17,6,Туда,69,17,69,81.7
1053.36,17,7,Туда,33,40,33,75.8
1064.51,17,8,Туда,33,40,33,70.0
1078.66,17,9,Туда,65,39,65,91.7
1094.36,18,10,Туда,57,110,57,47.5
1105.71,18,10,Обратно,39,13,39,69.2
1118.81,18,9,Обратно,43,21,43,87.5
1132.51,18,8,Обратно,68,30,45,100.0
1143.76,19,7,Обратно,58,38,38,100.0
1152.37,19,6,Обратно,85,42,42,100.0
1160.69,19,5,Обратно,72,69,69,100.0
1172.23,19,4,Обратно,62,49,49,100.0
1180.89,19,3,Обратно,30,52,30,81.7
1189.88,19,2,Обратно,8,46,8,50.0
1196.96,19,1,Обратно,4,60,4,3.3
1225.60,20,1,Туда,12,0,12,13.3
1229.24,20,2,Туда,7,4,7,15.8
1233.13,20,3,Туда,1,5,1,12.5
1236.02,20,4,Туда,7,4,7,15.0
1239.69,20,5,Туда,19,9,19,23.3
1243.83,20,6,Туда,8,10,8,21.7
1247.89,20,7,Туда,6,10,6,18.3
1251.47,20,8,Туда,2,9,2,12.5
1255.49,20,9,Туда,10,7,10,15.0
1259.76,20,10,Туда,16,18,16,13.3
1264.46,21,10,Обратно,1,3,1,11.7
1268.00,21,9,Обратно,9,3,9,16.7
1271.89,21,8,Обратно,2,5,2,14.2
1275.05,21,7,Обратно,6,5,6,15.0
1278.70,21,6,Обратно,9,6,9,17.5
1282.16,21,5,Обратно,1,12,1,8.3
1285.90,21,4,Обратно,2,4,2,6.7
1288.83,21,3,Обратно,10,3,10,12.5
1292.68,21,2,Обратно,0,7,0,6.7
1296.05,21,1,Обратно,1,8,1,0.8
1385.60,23,1,Туда,0,0,0,0.8
1388.06,23,2,Туда,0,0,0,0.8
1390.72,23,3,Туда,1,0,1,1.7
1393.04,23,4,Туда,2,0,2,3.3
1395.75,23,5,Туда,0,2,0,1.7
1398.15,23,6,Туда,0,0,0,1.7
1400.77,23,7,Туда,1,0,1,2.5
1403.11,23,8,Туда,0,1,0,1.7
1405.93,23,9,Туда,1,0,1,2.5
1408.77,23,10,Туда,0,3,0,0.0
1411.92,23,10,Обратно,0,0,0,0.0
1414.67,23,9,Обратно,0,0,0,0.0
1417.39,23,8,Обратно,0,0,0,0.0
1419.70,23,7,Обратно,1,0,1,0.8
1422.32,23,6,Обратно,1,0,1,1.7
1424.70,23,5,Обратно,2,1,2,2.5
1427.48,23,4,Обратно,0,1,0,1.7
1429.81,23,3,Обратно,1,0,1,2.5
1432.53,23,2,Обратно,0,1,0,1.7
1435.05,23,1,Обратно,1,2,1,0.8
