Время (мин),Час,Остановка,Направление,Ожидало на остановке,Высадка,Посадка,Загруженность (%)
360.00,6,1,Туда,104,0,104,86.7
367.87,6,2,Туда,127,27,43,100.0
374.00,6,3,Туда,113,34,34,100.0
380.07,6,4,Туда,149,38,38,100.0
386.54,6,5,Туда,193,66,66,100.0
396.08,6,6,Туда,203,45,45,100.0
403.94,6,7,Туда,192,49,49,100.0
411.42,6,8,Туда,200,52,52,100.0
419.90,6,9,Туда,217,56,56,100.0
430.34,7,10,Туда,559,120,120,100.0
445.34,7,10,Обратно,490,27,27,100.0
452.68,7,9,Обратно,273,31,31,100.0
460.92,7,8,Обратно,293,34,34,100.0
468.08,7,7,Обратно,337,38,38,100.0
477.05,7,6,Обратно,408,42,42,100.0
489.35,8,5,Обратно,367,69,69,100.0
503.15,8,4,Обратно,506,49,49,100.0
514.95,8,3,Обратно,482,52,52,100.0
527.05,8,2,Обратно,363,56,56,100.0
539.55,8,1,Обратно,59,120,59,49.2
549.50,9,1,Туда,20,13,20,55.0
558.05,9,2,Туда,318,17,71,100.0
569.35,9,3,Туда,436,34,34,100.0
579.65,9,4,Туда,519,38,38,100.0
590.35,9,5,Туда,287,66,66,100.0
605.05,10,6,Туда,531,45,45,100.0
613.88,10,7,Туда,352,49,49,100.0
621.97,10,8,Туда,359,52,52,100.0
631.32,10,9,Туда,277,56,56,100.0
640.96,10,10,Туда,2,120,2,1.7
650.06,10,10,Обратно,9,0,9,9.2
654.39,10,9,Обратно,180,2,111,100.0
664.05,11,8,Обратно,201,34,34,100.0
670.67,11,7,Обратно,211,38,38,100.0
678.79,11,6,Обратно,332,42,42,100.0
686.59,11,5,Обратно,26,69,26,64.2
694.57,11,4,Обратно,259,31,74,100.0
703.04,11,3,Обратно,99,52,52,100.0
711.36,11,2,Обратно,28,56,28,76.7
718.74,11,1,Обратно,17,92,17,14.2
769.36,12,1,Туда,33,3,33,39.2
774.42,12,2,Туда,9,12,9,36.7
778.64,12,3,Туда,28,12,28,50.0
783.87,13,4,Туда,7,19,7,40.0
788.38,13,5,Туда,34,26,34,46.7
795.04,13,6,Туда,14,21,14,40.8
801.20,13,7,Туда,18,20,18,39.2
806.32,13,8,Туда,2,20,2,24.2
811.67,13,9,Туда,5,13,5,17.5
816.61,13,10,Туда,23,21,23,19.2
821.81,13,10,Обратно,10,5,10,23.3
826.52,13,9,Обратно,25,7,25,38.3
832.13,13,8,Обратно,20,13,20,44.2
836.89,13,7,Обратно,27,16,27,53.3
843.37,14,6,Обратно,14,22,14,46.7
848.79,14,5,Обратно,5,32,5,24.2
853.84,14,4,Обратно,19,11,19,30.8
858.59,14,3,Обратно,3,16,3,20.0
862.82,14,2,Обратно,18,11,18,25.8
867.45,14,1,Обратно,29,31,29,24.2
929.36,15,1,Туда,6,6,6,24.2
933.17,15,2,Туда,22,7,22,36.7
937.77,15,3,Туда,5,12,5,30.8
941.74,15,4,Туда,16,11,16,35.0
946.37,15,5,Туда,3,23,3,18.3
951.17,15,6,Туда,29,8,29,35.8
957.46,15,7,Туда,7,17,7,27.5
961.86,16,8,Туда,27,14,27,38.3
968.95,16,9,Туда,23,21,23,40.0
975.79,16,10,Туда,33,48,33,27.5
982.84,16,10,Обратно,15,7,15,34.2
988.60,16,9,Обратно,42,10,42,60.8
996.17,16,8,Обратно,19,21,19,59.2
1001.96,16,7,Обратно,43,22,43,76.7
1010.45,16,6,Обратно,21,32,21,67.5
1017.23,16,5,Обратно,12,46,12,39.2
1027.03,17,4,Обратно,108,19,92,100.0
1039.48,17,3,Обратно,87,52,52,100.0
1051.58,17,2,Обратно,87,56,56,100.0
1064.08,17,1,Обратно,8,120,8,6.7
1074.36,17,1,Туда,42,1,42,40.8
1083.41,18,2,Туда,58,12,58,79.2
1093.81,18,3,Туда,202,27,52,100.0
1104.66,18,4,Туда,260,38,38,100.0
1115.36,18,5,Туда,179,66,66,100.0
1130.06,18,6,Туда,319,45,45,100.0
1145.06,19,7,Туда,282,49,49,100.0
1153.62,19,8,Туда,178,52,52,100.0
1163.81,19,9,Туда,127,56,56,100.0
1174.12,19,10,Туда,2,120,2,1.7
1183.22,19,10,Обратно,21,0,21,19.2
1188.91,19,9,Обратно,34,5,34,43.3
1195.94,19,8,Обратно,59,15,59,80.0
1202.28,20,7,Обратно,182,30,54,100.0
1209.91,20,6,Обратно,234,42,42,100.0
1217.00,20,5,Обратно,11,69,11,51.7
1223.68,20,4,Обратно,164,25,83,100.0
1231.76,20,3,Обратно,12,52,12,66.7
1237.54,20,2,Обратно,11,37,11,45.0
1242.54,20,1,Обратно,11,54,11,9.2
1337.67,22,1,Туда,3,2,3,10.0
1340.50,22,2,Туда,14,3,14,19.2
1343.94,22,3,Туда,1,6,1,15.0
1346.91,22,4,Туда,7,5,7,16.7
1350.10,22,5,Туда,4,11,4,10.8
1353.75,22,6,Туда,8,4,8,14.2
1357.76,22,7,Туда,2,6,2,10.8
1360.81,22,8,Туда,0,5,0,6.7
1364.37,22,9,Туда,8,3,8,10.8
1368.06,22,10,Туда,8,13,8,6.7
1372.11,22,10,Обратно,1,1,1,6.7
1375.39,22,9,Обратно,5,2,5,9.2
1378.94,22,8,Обратно,7,3,7,12.5
1381.68,23,7,Обратно,0,4,0,9.2
1384.59,23,6,Обратно,0,3,0,6.7
1387.12,23,5,Обратно,1,4,1,4.2
1389.63,23,4,Обратно,2,2,2,4.2
1392.10,23,3,Обратно,0,2,0,2.5
1394.48,23,2,Обратно,2,1,2,3.3
1396.91,23,1,Обратно,3,4,3,2.5
