Время (мин),Час,Остановка,Направление,Ожидало на остановке,Высадка,Посадка,Загруженность (%)
240.00,4,1,Туда,2,0,2,1.7
242.32,4,2,Туда,2,0,2,3.3
244.70,4,3,Туда,6,1,6,7.5
247.34,4,4,Туда,6,2,6,10.8
249.96,4,5,Туда,4,7,4,8.3
252.89,4,6,Туда,3,3,3,8.3
255.91,4,7,Туда,0,4,0,5.0
258.34,4,8,Туда,5,2,5,7.5
261.36,4,9,Туда,1,4,1,5.0
264.21,4,10,Туда,2,6,2,1.7
267.61,4,10,Обратно,0,0,0,1.7
270.15,4,9,Обратно,0,0,0,1.7
272.78,4,8,Обратно,0,0,0,1.7
275.06,4,7,Обратно,0,0,0,1.7
277.81,4,6,Обратно,0,0,0,1.7
280.22,4,5,Обратно,0,1,0,0.8
282.52,4,4,Обратно,1,0,1,1.7
284.86,4,3,Обратно,1,0,1,2.5
287.15,4,2,Обратно,0,1,0,1.7
289.44,4,1,Обратно,2,2,2,1.7
525.00,8,1,Туда,62,0,62,53.3
535.00,8,2,Туда,350,16,72,100.0
546.30,9,3,Туда,469,34,34,100.0
556.60,9,4,Туда,498,38,38,100.0
567.30,9,5,Туда,360,66,66,100.0
582.00,9,6,Туда,537,45,45,100.0
597.00,9,7,Туда,417,49,49,100.0
605.15,10,8,Туда,382,52,52,100.0
614.50,10,9,Туда,373,56,56,100.0
623.94,10,10,Туда,129,120,120,100.0
638.94,10,10,Обратно,18,27,18,92.5
645.01,10,9,Обратно,204,28,37,100.0
652.41,10,8,Обратно,269,34,34,100.0
659.08,10,7,Обратно,226,38,38,100.0
667.17,11,6,Обратно,402,42,42,100.0
675.02,11,5,Обратно,27,69,27,65.0
683.01,11,4,Обратно,311,31,73,100.0
691.34,11,3,Обратно,231,52,52,100.0
699.80,11,2,Обратно,15,56,15,65.8
706.55,11,1,Обратно,15,79,15,12.5
749.36,12,1,Туда,35,3,35,39.2
754.45,12,2,Туда,22,12,22,47.5
759.39,12,3,Туда,53,16,53,78.3
765.95,12,4,Туда,22,30,22,71.7
771.68,12,5,Туда,2,47,2,34.2
777.77,12,6,Туда,38,15,38,53.3
784.71,13,7,Туда,7,26,7,37.5
789.58,13,8,Туда,6,19,6,26.7
795.10,13,9,Туда,16,15,16,27.5
800.62,13,10,Туда,4,33,4,3.3
805.47,13,10,Обратно,7,0,7,9.2
809.69,13,9,Обратно,26,2,26,29.2
815.16,13,8,Обратно,15,10,15,33.3
819.56,13,7,Обратно,1,12,1,24.2
824.61,13,6,Обратно,12,10,12,25.8
829.27,13,5,Обратно,3,17,3,14.2
833.45,13,4,Обратно,14,6,14,20.8
837.66,13,3,Обратно,4,11,4,15.0
841.53,14,2,Обратно,10,8,10,16.7
845.60,14,1,Обратно,7,20,7,5.8
909.36,15,1,Туда,7,1,7,10.8
912.98,15,2,Туда,24,3,24,28.3
917.56,15,3,Туда,2,9,2,22.5
921.33,15,4,Туда,21,8,21,33.3
926.03,15,5,Туда,1,22,1,15.8
930.65,15,6,Туда,18,7,18,25.0
936.18,15,7,Туда,10,12,10,23.3
940.48,15,8,Туда,15,12,15,25.8
946.01,15,9,Туда,1,14,1,15.0
950.75,15,10,Туда,28,18,28,23.3
956.05,15,10,Обратно,5,6,5,22.5
960.44,16,9,Обратно,47,7,47,55.8
968.09,16,8,Обратно,13,19,13,50.8
973.35,16,7,Обратно,33,19,33,62.5
981.26,16,6,Обратно,18,26,18,55.8
987.77,16,5,Обратно,59,38,59,73.3
996.28,16,4,Обратно,16,36,16,56.7
1002.67,16,3,Обратно,7,29,7,38.3
1008.21,16,2,Обратно,30,21,30,45.8
1014.56,16,1,Обратно,10,55,10,8.3
1059.36,17,1,Туда,55,2,55,52.5
1069.11,17,2,Туда,62,16,62,90.8
1079.91,17,3,Туда,145,31,42,100.0
1090.46,18,4,Туда,205,38,38,100.0
1101.16,18,5,Туда,146,66,66,100.0
1115.86,18,6,Туда,274,45,45,100.0
1130.86,18,7,Туда,280,49,49,100.0
1142.66,19,8,Туда,235,52,52,100.0
1153.01,19,9,Туда,216,56,56,100.0
1163.32,19,10,Туда,21,120,21,17.5
1173.37,19,10,Обратно,29,4,29,38.3
1179.75,19,9,Обратно,19,11,19,45.0
1186.13,19,8,Обратно,161,15,81,100.0
1194.75,19,7,Обратно,207,38,38,100.0
1203.76,20,6,Обратно,266,42,42,100.0
1210.90,20,5,Обратно,5,69,5,46.7
1217.20,20,4,Обратно,271,22,86,100.0
1225.24,20,3,Обратно,7,52,7,62.5
1230.77,20,2,Обратно,9,35,9,40.8
1235.56,20,1,Обратно,6,49,6,5.0
1307.67,21,1,Туда,2,1,2,5.8
1310.45,21,2,Туда,4,1,4,8.3
1313.28,21,3,Туда,19,2,19,22.5
1316.96,21,4,Туда,11,8,11,25.0
1320.56,22,5,Туда,9,16,9,19.2
1324.67,22,6,Туда,4,8,4,15.8
1328.63,22,7,Туда,1,7,1,10.8
1331.71,22,8,Туда,7,5,7,12.5
1335.63,22,9,Туда,2,7,2,8.3
1339.18,22,10,Туда,12,10,12,10.0
1343.28,22,10,Обратно,1,2,1,9.2
1346.56,22,9,Обратно,3,2,3,10.0
1350.06,22,8,Обратно,5,3,5,11.7
1353.05,22,7,Обратно,9,4,9,15.8
1357.14,22,6,Обратно,1,6,1,11.7
1360.38,22,5,Обратно,4,8,4,8.3
1363.57,22,4,Обратно,10,4,10,13.3
1366.88,22,3,Обратно,12,7,12,17.5
1370.41,22,2,Обратно,13,9,13,20.8
1374.13,22,1,Обратно,1,25,1,0.8
