Время (мин),Час,Остановка,Направление,Ожидало на остановке,Высадка,Посадка,Загруженность (%)
420.00,7,1,Туда,102,0,102,85.0
428.84,7,2,Туда,161,26,44,100.0
436.15,7,3,Туда,239,34,34,100.0
443.31,7,4,Туда,275,38,38,100.0
450.95,7,5,Туда,275,66,66,100.0
461.84,7,6,Туда,390,45,45,100.0
471.47,7,7,Туда,314,49,49,100.0
480.18,8,8,Туда,345,52,52,100.0
495.28,8,9,Туда,342,56,56,100.0
510.18,8,10,Туда,586,120,120,100.0
525.18,8,10,Обратно,525,27,27,100.0
537.18,8,9,Обратно,482,31,31,100.0
550.18,9,8,Обратно,479,34,34,100.0
560.48,9,7,Обратно,465,38,38,100.0
574.78,9,6,Обратно,566,42,42,100.0
587.08,9,5,Обратно,344,69,69,100.0
600.88,10,4,Обратно,528,49,49,100.0
608.94,10,3,Обратно,470,52,52,100.0
617.33,10,2,Обратно,256,56,56,100.0
626.15,10,1,Обратно,34,120,34,28.3
634.85,10,1,Туда,11,7,11,31.7
639.01,10,2,Туда,229,9,91,100.0
647.14,10,3,Туда,385,34,34,100.0
653.65,10,4,Туда,496,38,38,100.0
660.61,11,5,Туда,94,66,66,100.0
670.76,11,6,Туда,364,45,45,100.0
679.66,11,7,Туда,191,49,49,100.0
687.81,11,8,Туда,215,52,52,100.0
697.01,11,9,Туда,9,56,9,60.8
704.10,11,10,Туда,45,73,45,37.5
713.00,11,10,Обратно,13,10,13,40.0
718.09,11,9,Обратно,30,12,30,55.0
724.24,12,8,Обратно,116,19,73,100.0
732.11,12,7,Обратно,123,38,38,100.0
740.11,12,6,Обратно,131,42,42,100.0
747.88,12,5,Обратно,41,69,41,76.7
756.65,12,4,Обратно,49,37,49,86.7
764.13,12,3,Обратно,5,45,5,53.3
769.85,12,2,Обратно,24,30,24,48.3
775.72,12,1,Обратно,7,58,7,5.8
809.36,13,1,Туда,27,1,27,27.5
813.98,13,2,Туда,12,8,12,30.8
818.22,13,3,Туда,14,10,14,34.2
822.65,13,4,Туда,34,13,34,51.7
828.21,13,5,Туда,11,34,11,32.5
834.09,13,6,Туда,9,14,9,28.3
839.43,13,7,Туда,4,13,4,20.8
843.48,14,8,Туда,14,11,14,23.3
848.84,14,9,Туда,6,13,6,17.5
853.81,14,10,Туда,25,21,25,20.8
859.11,14,10,Обратно,8,5,8,23.3
863.73,14,9,Обратно,19,7,19,33.3
869.16,14,8,Обратно,6,11,6,29.2
873.18,14,7,Обратно,23,11,23,39.2
879.21,14,6,Обратно,15,16,15,38.3
884.29,14,5,Обратно,29,26,29,40.8
890.30,14,4,Обратно,21,20,21,41.7
895.54,14,3,Обратно,14,22,14,35.0
900.46,15,2,Обратно,11,19,11,28.3
905.17,15,1,Обратно,31,34,31,25.8
969.36,16,1,Туда,9,7,9,27.5
974.02,16,2,Туда,33,8,33,48.3
979.92,16,3,Туда,64,16,64,88.3
987.73,16,4,Туда,37,33,37,91.7
994.94,16,5,Туда,17,60,17,55.8
1003.00,16,6,Туда,51,25,51,77.5
1012.12,16,7,Туда,27,38,27,68.3
1019.13,16,8,Туда,39,36,39,70.8
1032.78,17,9,Туда,49,39,49,79.2
1046.48,17,10,Туда,105,95,105,87.5
1059.48,17,10,Обратно,42,24,39,100.0
1071.93,17,9,Обратно,108,31,31,100.0
1084.93,18,8,Обратно,130,34,34,100.0
1095.23,18,7,Обратно,268,38,38,100.0
1109.53,18,6,Обратно,286,42,42,100.0
1121.83,18,5,Обратно,149,69,69,100.0
1135.63,18,4,Обратно,414,49,49,100.0
1144.29,19,3,Обратно,254,52,52,100.0
1153.15,19,2,Обратно,142,56,56,100.0
1162.41,19,1,Обратно,229,120,120,100.0
1175.41,19,1,Туда,135,27,27,100.0
1181.95,19,2,Туда,110,31,31,100.0
1188.72,19,3,Туда,255,34,34,100.0
1195.83,19,4,Туда,413,38,38,100.0
1202.30,20,5,Туда,40,66,40,78.3
1210.44,20,6,Туда,192,35,61,100.0
1218.61,20,7,Туда,145,49,49,100.0
1226.08,20,8,Туда,45,52,45,94.2
1234.15,20,9,Туда,18,53,18,65.0
1240.77,20,10,Туда,33,78,33,27.5
1249.32,20,10,Обратно,8,7,8,28.3
1253.18,20,9,Обратно,24,8,24,41.7
1258.02,20,8,Обратно,12,14,12,40.0
1261.98,21,7,Обратно,11,15,11,36.7
1266.68,21,6,Обратно,17,15,17,38.3
1271.20,21,5,Обратно,11,26,11,25.8
1275.69,21,4,Обратно,20,12,20,32.5
1279.87,21,3,Обратно,19,17,19,34.2
1284.25,21,2,Обратно,3,19,3,20.8
1287.98,21,1,Обратно,9,25,9,7.5
1397.67,23,1,Туда,0,2,0,5.8
1400.03,23,2,Туда,0,1,0,5.0
1402.33,23,3,Туда,0,1,0,4.2
1404.63,23,4,Туда,2,1,2,5.0
1407.07,23,5,Туда,2,3,2,4.2
1409.76,23,6,Туда,0,1,0,3.3
1412.61,23,7,Туда,1,1,1,3.3
1414.94,23,8,Туда,0,1,0,2.5
1417.64,23,9,Туда,0,1,0,1.7
1420.30,23,10,Туда,2,2,2,1.7
1423.50,23,10,Обратно,0,0,0,1.7
1426.08,23,9,Обратно,1,0,1,2.5
1428.77,23,8,Обратно,2,0,2,4.2
1431.10,23,7,Обратно,0,1,0,3.3
1433.92,23,6,Обратно,2,1,2,4.2
1436.52,23,5,Обратно,0,2,0,2.5
1438.91,23,4,Обратно,3,1,3,4.2
