Время (мин),Час,Остановка,Направление,Ожидало на остановке,Высадка,Посадка,Загруженность (%)
390.00,6,1,Туда,42,0,42,35.0
394.70,6,2,Туда,125,10,88,100.0
402.28,6,3,Туда,126,34,34,100.0
408.29,6,4,Туда,162,38,38,100.0
414.73,6,5,Туда,184,66,66,100.0
425.63,7,6,Туда,288,45,45,100.0
435.22,7,7,Туда,258,49,49,100.0
443.82,7,8,Туда,273,52,52,100.0
454.01,7,9,Туда,248,56,56,100.0
464.49,7,10,Туда,549,120,120,100.0
479.49,7,10,Обратно,480,27,27,100.0
491.49,8,9,Обратно,360,31,31,100.0
504.49,8,8,Обратно,407,34,34,100.0
514.79,8,7,Обратно,444,38,38,100.0
529.09,8,6,Обратно,595,42,42,100.0
541.39,9,5,Обратно,420,69,69,100.0
555.19,9,4,Обратно,541,49,49,100.0
566.99,9,3,Обратно,483,52,52,100.0
579.09,9,2,Обратно,284,56,56,100.0
591.59,9,1,Обратно,100,120,100,83.3
603.59,10,1,Туда,17,23,17,78.3
608.77,10,2,Туда,291,24,50,100.0
615.65,10,3,Туда,424,34,34,100.0
622.23,10,4,Туда,518,38,38,100.0
629.17,10,5,Туда,233,66,66,100.0
639.28,10,6,Туда,470,45,45,100.0
648.03,10,7,Туда,290,49,49,100.0
656.17,10,8,Туда,240,52,52,100.0
665.41,11,9,Туда,84,56,56,100.0
674.97,11,10,Туда,35,120,35,29.2
685.72,11,10,Обратно,22,8,22,40.8
691.09,11,9,Обратно,71,12,71,90.0
699.50,11,8,Обратно,175,31,43,100.0
706.43,11,7,Обратно,154,38,38,100.0
714.55,11,6,Обратно,255,42,42,100.0
722.35,12,5,Обратно,19,69,19,58.3
729.89,12,4,Обратно,153,28,78,100.0
738.32,12,3,Обратно,49,52,49,97.5
746.57,12,2,Обратно,18,54,18,67.5
753.37,12,1,Обратно,4,81,4,3.3
789.36,13,1,Туда,23,0,23,22.5
793.68,13,2,Туда,4,7,4,20.0
797.37,13,3,Туда,29,6,29,39.2
802.38,13,4,Туда,15,15,15,39.2
807.12,13,5,Туда,10,25,10,26.7
812.49,13,6,Туда,34,12,34,45.0
819.00,13,7,Туда,19,22,19,42.5
824.24,13,8,Туда,16,22,16,37.5
830.26,13,9,Туда,9,21,9,27.5
835.66,13,10,Туда,21,33,21,17.5
841.36,14,10,Обратно,9,4,9,21.7
845.93,14,9,Обратно,21,6,21,34.2
851.32,14,8,Обратно,10,11,10,33.3
855.53,14,7,Обратно,20,12,20,40.0
861.54,14,6,Обратно,15,16,15,39.2
866.73,14,5,Обратно,0,27,0,16.7
871.34,14,4,Обратно,21,8,21,27.5
876.03,14,3,Обратно,27,14,27,38.3
881.20,14,2,Обратно,10,21,10,29.2
885.93,14,1,Обратно,26,35,26,21.7
949.36,15,1,Туда,8,5,8,24.2
953.24,15,2,Туда,27,7,27,40.8
958.09,15,3,Туда,6,14,6,34.2
962.88,16,4,Туда,31,13,31,49.2
968.95,16,5,Туда,3,32,3,25.0
974.97,16,6,Туда,42,11,42,50.8
982.79,16,7,Туда,21,25,21,47.5
988.89,16,8,Туда,48,25,48,66.7
997.42,16,9,Туда,17,37,17,50.0
1004.75,16,10,Туда,54,60,54,45.0
1013.45,16,10,Обратно,15,12,15,47.5
1019.58,16,9,Обратно,54,14,54,80.8
1032.88,17,8,Обратно,68,28,51,100.0
1043.73,17,7,Обратно,93,38,38,100.0
1058.03,17,6,Обратно,123,42,42,100.0
1070.33,17,5,Обратно,189,69,69,100.0
1084.13,18,4,Обратно,204,49,49,100.0
1095.93,18,3,Обратно,157,52,52,100.0
1108.03,18,2,Обратно,106,56,56,100.0
1120.53,18,1,Обратно,212,120,120,100.0
1133.53,18,1,Туда,160,27,27,100.0
1143.13,19,2,Туда,136,31,31,100.0
1149.95,19,3,Туда,226,34,34,100.0
1157.15,19,4,Туда,422,38,38,100.0
1164.69,19,5,Туда,140,66,66,100.0
1175.61,19,6,Туда,335,45,45,100.0
1185.48,19,7,Туда,272,49,49,100.0
1194.11,19,8,Туда,104,52,52,100.0
1202.58,20,9,Туда,26,56,26,75.0
1209.77,20,10,Туда,33,90,33,27.5
1218.92,20,10,Обратно,14,7,14,33.3
1223.11,20,9,Обратно,28,10,28,48.3
1228.29,20,8,Обратно,4,16,4,38.3
1231.94,20,7,Обратно,117,14,88,100.0
1240.51,20,6,Обратно,99,42,42,100.0
1247.65,20,5,Обратно,19,69,19,58.3
1254.73,20,4,Обратно,93,28,78,100.0
1262.65,21,3,Обратно,9,52,9,64.2
1268.28,21,2,Обратно,10,36,10,42.5
1273.23,21,1,Обратно,19,51,19,15.8
1367.67,22,1,Туда,8,4,8,19.2
1370.85,22,2,Туда,0,5,0,15.0
1373.78,22,3,Туда,3,5,3,13.3
1376.79,22,4,Туда,5,5,5,13.3
1379.92,22,5,Туда,8,8,8,13.3
1383.12,23,6,Туда,2,6,2,10.0
1386.33,23,7,Туда,0,4,0,6.7
1388.75,23,8,Туда,0,3,0,4.2
1391.55,23,9,Туда,2,2,2,4.2
1394.33,23,10,Туда,4,5,4,3.3
1397.78,23,10,Обратно,0,0,0,3.3
1400.31,23,9,Обратно,1,1,1,3.3
1403.05,23,8,Обратно,1,1,1,3.3
1405.40,23,7,Обратно,0,1,0,2.5
1408.19,23,6,Обратно,3,1,3,4.2
1410.79,23,5,Обратно,0,2,0,2.5
1413.14,23,4,Обратно,0,1,0,1.7
1415.42,23,3,Обратно,3,0,3,4.2
1417.79,23,2,Обратно,0,2,0,2.5
1420.15,23,1,Обратно,1,3,1,0.8
