Время (мин),Час,Остановка,Направление,Ожидало на остановке,Высадка,Посадка,Загруженность (%)
0.00,0,1,Туда,0,0,0,0.0
2.23,0,2,Туда,0,0,0,0.0
4.46,0,3,Туда,0,0,0,0.0
6.74,0,4,Туда,0,0,0,0.0
8.99,0,5,Туда,0,0,0,0.0
11.38,0,6,Туда,0,0,0,0.0
14.17,0,7,Туда,0,0,0,0.0
16.40,0,8,Туда,0,0,0,0.0
19.02,0,9,Туда,0,0,0,0.0
21.61,0,10,Туда,0,0,0,0.0
24.61,0,10,Обратно,0,0,0,0.0
27.16,0,9,Обратно,0,0,0,0.0
29.81,0,8,Обратно,0,0,0,0.0
32.07,0,7,Обратно,0,0,0,0.0
34.78,0,6,Обратно,1,0,1,0.8
37.25,0,5,Обратно,0,0,0,0.8
39.51,0,4,Обратно,0,0,0,0.8
41.75,0,3,Обратно,1,0,1,1.7
44.04,0,2,Обратно,1,0,1,2.5
46.35,0,1,Обратно,1,3,1,0.8
495.00,8,1,Туда,70,0,70,59.2
505.40,8,2,Туда,374,18,67,100.0
516.55,8,3,Туда,436,34,34,100.0
526.85,8,4,Туда,542,38,38,100.0
537.55,8,5,Туда,475,66,66,100.0
552.25,9,6,Туда,599,45,45,100.0
567.25,9,7,Туда,439,49,49,100.0
579.05,9,8,Туда,465,52,52,100.0
594.15,9,9,Туда,454,56,56,100.0
603.59,10,10,Туда,389,120,120,100.0
618.59,10,10,Обратно,151,27,27,100.0
625.19,10,9,Обратно,298,31,31,100.0
632.35,10,8,Обратно,296,34,34,100.0
638.96,10,7,Обратно,311,38,38,100.0
647.17,10,6,Обратно,443,42,42,100.0
654.97,10,5,Обратно,151,69,69,100.0
664.98,11,4,Обратно,421,49,49,100.0
673.04,11,3,Обратно,339,52,52,100.0
681.40,11,2,Обратно,18,56,18,68.3
688.34,11,1,Обратно,11,82,11,9.2
709.36,11,1,Туда,4,2,4,10.8
712.82,11,2,Туда,1,3,1,9.2
716.24,11,3,Туда,81,3,81,74.2
723.61,12,4,Туда,201,28,59,100.0
731.18,12,5,Туда,11,66,11,54.2
738.65,12,6,Туда,205,24,79,100.0
748.07,12,7,Туда,125,49,49,100.0
756.12,12,8,Туда,15,52,15,69.2
763.71,12,9,Туда,27,39,27,59.2
771.01,12,10,Туда,16,71,16,13.3
778.36,12,10,Обратно,6,3,6,15.8
782.84,13,9,Обратно,0,4,0,12.5
787.19,13,8,Обратно,20,4,20,25.8
791.52,13,7,Обратно,6,9,6,23.3
796.67,13,6,Обратно,5,9,5,20.0
800.99,13,5,Обратно,24,13,24,29.2
805.96,13,4,Обратно,5,14,5,21.7
810.07,13,3,Обратно,19,11,19,28.3
814.77,13,2,Обратно,1,15,1,16.7
818.69,13,1,Обратно,14,20,14,11.7
869.36,14,1,Туда,3,3,3,11.7
872.82,14,2,Туда,18,3,18,24.2
877.04,14,3,Туда,1,8,1,18.3
880.63,14,4,Туда,11,7,11,21.7
884.73,14,5,Туда,2,14,2,11.7
889.11,14,6,Туда,20,5,20,24.2
894.71,14,7,Туда,33,11,33,42.5
900.07,15,8,Туда,17,22,17,38.3
906.18,15,9,Туда,5,21,5,25.0
911.33,15,10,Туда,25,30,25,20.8
917.08,15,10,Обратно,8,5,8,23.3
921.76,15,9,Обратно,20,7,20,34.2
927.28,15,8,Обратно,8,11,8,31.7
931.39,15,7,Обратно,23,12,23,40.8
937.48,15,6,Обратно,12,17,12,36.7
942.47,15,5,Обратно,40,25,40,49.2
948.88,15,4,Обратно,13,24,13,40.0
953.98,15,3,Обратно,26,21,26,44.2
959.54,15,2,Обратно,9,24,9,31.7
964.85,16,1,Обратно,32,38,32,26.7
1029.36,17,1,Туда,56,7,56,67.5
1039.41,17,2,Туда,91,21,60,100.0
1050.36,17,3,Туда,86,34,34,100.0
1060.66,17,4,Туда,137,38,38,100.0
1071.36,17,5,Туда,120,66,66,100.0
1086.06,18,6,Туда,246,45,45,100.0
1101.06,18,7,Туда,261,49,49,100.0
1112.86,18,8,Туда,241,52,52,100.0
1127.96,18,9,Туда,289,56,56,100.0
1142.86,19,10,Туда,103,120,103,85.8
1157.01,19,10,Обратно,6,23,6,71.7
1163.06,19,9,Обратно,182,22,56,100.0
1171.86,19,8,Обратно,196,34,34,100.0
1178.94,19,7,Обратно,290,38,38,100.0
1187.98,19,6,Обратно,315,42,42,100.0
1196.33,19,5,Обратно,95,69,69,100.0
1205.81,20,4,Обратно,393,49,49,100.0
1213.28,20,3,Обратно,208,52,52,100.0
1221.09,20,2,Обратно,73,56,56,100.0
1229.31,20,1,Обратно,17,120,17,14.2
1277.67,21,1,Туда,1,3,1,12.5
1280.50,21,2,Туда,15,3,15,22.5
1283.97,21,3,Туда,4,7,4,20.0
1287.15,21,4,Туда,9,7,9,21.7
1290.55,21,5,Туда,0,14,0,10.0
1294.18,21,6,Туда,0,4,0,6.7
1297.70,21,7,Туда,0,3,0,4.2
1300.53,21,8,Туда,7,2,7,8.3
1304.16,21,9,Туда,10,4,10,13.3
1307.99,21,10,Туда,14,16,14,11.7
1312.49,21,10,Обратно,1,3,1,10.0
1315.83,21,9,Обратно,10,3,10,15.8
1319.76,21,8,Обратно,26,5,26,33.3
1323.90,22,7,Обратно,5,12,5,27.5
1328.12,22,6,Обратно,1,11,1,19.2
1331.59,22,5,Обратно,5,13,5,12.5
1335.07,22,4,Обратно,10,6,10,15.8
1338.45,22,3,Обратно,5,8,5,13.3
1341.76,22,2,Обратно,0,7,0,7.5
1344.71,22,1,Обратно,3,9,3,2.5
