Время (мин),Час,Остановка,Направление,Ожидало на остановке,Высадка,Посадка,Загруженность (%)
120.00,2,1,Туда,0,0,0,0.0
122.28,2,2,Туда,3,0,3,2.5
124.70,2,3,Туда,1,0,1,3.3
126.98,2,4,Туда,0,1,0,2.5
129.28,2,5,Туда,2,1,2,3.3
131.86,2,6,Туда,4,1,4,5.8
134.82,2,7,Туда,1,2,1,5.0
137.25,2,8,Туда,2,2,2,5.0
140.08,2,9,Туда,3,2,3,5.8
142.89,2,10,Туда,1,7,1,0.8
146.29,2,10,Обратно,0,0,0,0.8
148.82,2,9,Обратно,0,0,0,0.8
151.48,2,8,Обратно,0,0,0,0.8
153.70,2,7,Обратно,0,0,0,0.8
156.43,2,6,Обратно,0,0,0,0.8
158.86,2,5,Обратно,0,0,0,0.8
161.08,2,4,Обратно,0,0,0,0.8
163.35,2,3,Обратно,1,0,1,1.7
165.61,2,2,Обратно,0,0,0,1.7
167.87,2,1,Обратно,0,2,0,0.0
510.00,8,1,Туда,83,0,83,69.2
521.05,8,2,Туда,391,21,58,100.0
531.90,8,3,Туда,476,34,34,100.0
542.20,9,4,Туда,544,38,38,100.0
552.90,9,5,Туда,383,66,66,100.0
567.60,9,6,Туда,589,45,45,100.0
582.60,9,7,Туда,432,49,49,100.0
594.40,9,8,Туда,419,52,52,100.0
603.81,10,9,Туда,416,56,56,100.0
613.36,10,10,Туда,262,120,120,100.0
628.36,10,10,Обратно,15,27,15,90.0
634.29,10,9,Обратно,228,28,40,100.0
641.70,10,8,Обратно,281,34,34,100.0
648.29,10,7,Обратно,241,38,38,100.0
656.32,10,6,Обратно,423,42,42,100.0
664.07,11,5,Обратно,36,69,36,72.5
672.43,11,4,Обратно,387,35,68,100.0
680.82,11,3,Обратно,264,52,52,100.0
689.20,11,2,Обратно,12,56,12,63.3
695.78,11,1,Обратно,14,76,14,11.7
729.36,12,1,Туда,18,3,18,24.2
733.64,12,2,Туда,36,7,36,48.3
738.96,12,3,Туда,1,16,1,35.8
743.02,12,4,Туда,108,13,90,100.0
751.38,12,5,Туда,6,66,6,50.0
758.51,12,6,Туда,125,22,82,100.0
767.91,12,7,Туда,52,49,49,100.0
775.93,12,8,Туда,2,52,2,58.3
782.66,13,9,Туда,21,32,21,49.2
789.25,13,10,Туда,15,59,15,12.5
795.95,13,10,Обратно,5,3,5,14.2
800.27,13,9,Обратно,7,4,7,16.7
805.07,13,8,Обратно,32,5,32,39.2
810.16,13,7,Обратно,20,15,20,43.3
816.35,13,6,Обратно,0,18,0,28.3
820.88,13,5,Обратно,22,19,22,30.8
826.08,13,4,Обратно,9,15,9,25.8
830.39,13,3,Обратно,22,13,22,33.3
835.30,13,2,Обратно,6,18,6,23.3
839.70,13,1,Обратно,15,28,15,12.5
889.36,14,1,Туда,5,3,5,14.2
893.03,14,2,Туда,21,4,21,28.3
897.47,14,3,Туда,2,9,2,22.5
901.26,15,4,Туда,26,8,26,37.5
906.08,15,5,Туда,25,24,25,38.3
912.14,15,6,Туда,12,17,12,34.2
917.88,15,7,Туда,11,16,11,30.0
922.50,15,8,Туда,29,15,29,41.7
928.83,15,9,Туда,8,23,8,29.2
934.23,15,10,Туда,25,35,25,20.8
940.23,15,10,Обратно,7,5,7,22.5
944.69,15,9,Обратно,25,7,25,37.5
950.37,15,8,Обратно,8,13,8,33.3
954.58,15,7,Обратно,20,12,20,40.0
960.58,16,6,Обратно,21,16,21,44.2
966.63,16,5,Обратно,52,30,52,62.5
974.43,16,4,Обратно,34,30,34,65.8
981.34,16,3,Обратно,1,34,1,38.3
986.81,16,2,Обратно,30,21,30,45.8
993.04,16,1,Обратно,6,55,6,5.0
1044.36,17,1,Туда,74,1,74,65.8
1055.01,17,2,Туда,53,20,53,93.3
1065.56,17,3,Туда,114,32,40,100.0
1076.06,17,4,Туда,185,38,38,100.0
1086.76,18,5,Туда,146,66,66,100.0
1101.46,18,6,Туда,289,45,45,100.0
1116.46,18,7,Туда,292,49,49,100.0
1128.26,18,8,Туда,248,52,52,100.0
1143.36,19,9,Туда,252,56,56,100.0
1153.76,19,10,Туда,34,120,34,28.3
1164.46,19,10,Обратно,7,7,7,28.3
1169.94,19,9,Обратно,81,8,81,89.2
1179.23,19,8,Обратно,186,31,44,100.0
1186.82,19,7,Обратно,228,38,38,100.0
1195.83,19,6,Обратно,294,42,42,100.0
1202.92,20,5,Обратно,0,69,0,42.5
1208.99,20,4,Обратно,349,20,89,100.0
1217.04,20,3,Обратно,130,52,52,100.0
1224.83,20,2,Обратно,5,56,5,57.5
1230.45,20,1,Обратно,0,69,0,0.0
1247.67,20,1,Туда,3,0,3,2.5
1250.44,20,2,Туда,16,0,16,15.8
1253.88,20,3,Туда,32,5,32,38.3
1258.32,20,4,Туда,20,14,20,43.3
1262.67,21,5,Туда,12,28,12,30.0
1267.48,21,6,Туда,1,13,1,20.0
1271.59,21,7,Туда,2,9,2,14.2
1274.76,21,8,Туда,16,7,16,21.7
1279.14,21,9,Туда,0,12,0,11.7
1282.89,21,10,Туда,4,14,4,3.3
1286.79,21,10,Обратно,0,0,0,3.3
1289.88,21,9,Обратно,12,1,12,12.5
1293.76,21,8,Обратно,13,4,13,20.0
1297.27,21,7,Обратно,16,7,16,27.5
1301.75,21,6,Обратно,5,11,5,22.5
1305.39,21,5,Обратно,17,15,17,24.2
1309.60,21,4,Обратно,16,11,16,28.3
1313.62,21,3,Обратно,0,14,0,16.7
1316.99,21,2,Обратно,7,9,7,15.0
1320.46,22,1,Обратно,5,18,5,4.2
