Время (мин),Час,Остановка,Направление,Ожидало на остановке,Высадка,Посадка,Загруженность (%)
480.00,8,1,Туда,131,0,120,100.0
492.90,8,2,Туда,348,31,31,100.0
502.90,8,3,Туда,470,34,34,100.0
513.20,8,4,Туда,513,38,38,100.0
523.90,8,5,Туда,481,66,66,100.0
538.60,8,6,Туда,610,45,45,100.0
553.60,9,7,Туда,498,49,49,100.0
565.40,9,8,Туда,487,52,52,100.0
580.50,9,9,Туда,471,56,56,100.0
595.40,9,10,Туда,498,120,120,100.0
610.40,10,10,Обратно,283,27,27,100.0
617.02,10,9,Обратно,321,31,31,100.0
624.25,10,8,Обратно,309,34,34,100.0
630.87,10,7,Обратно,329,38,38,100.0
639.05,10,6,Обратно,512,42,42,100.0
646.73,10,5,Обратно,204,69,69,100.0
656.78,10,4,Обратно,460,49,49,100.0
664.94,11,3,Обратно,382,52,52,100.0
673.35,11,2,Обратно,42,56,42,88.3
681.41,11,1,Обратно,33,106,33,27.5
689.36,11,1,Туда,4,7,4,25.0
693.18,11,2,Туда,2,7,2,20.8
696.85,11,3,Туда,193,7,102,100.0
705.56,11,4,Туда,199,38,38,100.0
712.50,11,5,Туда,42,66,42,80.0
721.40,12,6,Туда,229,36,60,100.0
730.55,12,7,Туда,170,49,49,100.0
738.62,12,8,Туда,74,52,52,100.0
748.03,12,9,Туда,14,56,14,65.0
755.38,12,10,Туда,19,78,19,15.8
763.23,12,10,Обратно,14,4,14,24.2
768.17,12,9,Обратно,8,7,8,25.0
773.17,12,8,Обратно,40,8,40,51.7
778.67,12,7,Обратно,21,19,21,53.3
785.11,13,6,Обратно,11,22,11,44.2
790.33,13,5,Обратно,5,30,5,23.3
795.21,13,4,Обратно,26,11,26,35.8
800.28,13,3,Обратно,6,18,6,25.8
804.61,13,2,Обратно,22,14,22,32.5
809.57,13,1,Обратно,0,39,0,0.0
849.36,14,1,Туда,6,0,6,5.0
852.93,14,2,Туда,11,1,11,13.3
856.76,14,3,Туда,27,4,27,32.5
861.45,14,4,Туда,10,12,10,30.8
865.78,14,5,Туда,26,20,26,35.8
871.62,14,6,Туда,28,16,28,45.8
878.00,14,7,Туда,6,22,6,32.5
882.58,14,8,Туда,15,17,15,30.8
888.26,14,9,Туда,0,17,0,16.7
893.05,14,10,Туда,14,20,14,11.7
897.75,14,10,Обратно,5,3,5,13.3
902.02,15,9,Обратно,20,4,20,26.7
907.45,15,8,Обратно,16,9,16,32.5
911.88,15,7,Обратно,21,12,21,40.0
917.74,15,6,Обратно,13,16,13,37.5
922.83,15,5,Обратно,42,26,42,50.8
929.34,15,4,Обратно,6,25,6,35.0
934.10,15,3,Обратно,32,18,32,46.7
939.86,15,2,Обратно,8,26,8,31.7
944.68,15,1,Обратно,27,38,27,22.5
1009.36,16,1,Туда,35,6,35,46.7
1015.10,16,2,Туда,8,14,8,41.7
1019.90,16,3,Туда,36,14,36,60.0
1029.30,17,4,Туда,27,23,27,63.3
1038.70,17,5,Туда,108,41,85,100.0
1053.10,17,6,Туда,147,45,45,100.0
1068.10,17,7,Туда,155,49,49,100.0
1079.90,17,8,Туда,152,52,52,100.0
1095.00,18,9,Туда,202,56,56,100.0
1109.90,18,10,Туда,110,120,110,91.7
1124.40,18,10,Обратно,75,25,35,100.0
1136.70,18,9,Обратно,261,31,31,100.0
1144.92,19,8,Обратно,192,34,34,100.0
1152.02,19,7,Обратно,250,38,38,100.0
1161.02,19,6,Обратно,328,42,42,100.0
1169.46,19,5,Обратно,88,69,69,100.0
1180.06,19,4,Обратно,411,49,49,100.0
1188.76,19,3,Обратно,221,52,52,100.0
1197.73,19,2,Обратно,126,56,56,100.0
1205.92,20,1,Обратно,29,120,29,24.2
1217.67,20,1,Туда,11,6,11,28.3
1221.10,20,2,Туда,17,8,17,35.8
1224.95,20,3,Туда,95,12,89,100.0
1232.66,20,4,Туда,94,38,38,100.0
1239.09,20,5,Туда,22,66,22,63.3
1246.34,20,6,Туда,68,28,68,96.7
1254.45,20,7,Туда,21,47,21,75.0
1260.45,21,8,Туда,0,39,0,42.5
1265.70,21,9,Туда,6,23,6,28.3
1270.24,21,10,Туда,2,34,2,1.7
1275.04,21,10,Обратно,3,0,3,4.2
1278.34,21,9,Обратно,6,1,6,8.3
1282.00,21,8,Обратно,3,2,3,9.2
1284.89,21,7,Обратно,8,3,8,13.3
1288.85,21,6,Обратно,5,5,5,13.3
1292.17,21,5,Обратно,1,9,1,6.7
1295.28,21,4,Обратно,6,3,6,9.2
1298.41,21,3,Обратно,0,4,0,5.8
1301.26,21,2,Обратно,4,3,4,6.7
1304.19,21,1,Обратно,1,8,1,0.8
