ID трамвая,Всего рейсов,Обслужено пассажиров,Средняя загруженность (%),Макс загруженность (%),Всего остановок посещено
1,8,1460,24.3,100.0,160
2,8,1242,20.7,100.0,160
3,8,1035,16.4,100.0,160
4,8,956,15.7,100.0,160
5,8,1006,16.9,100.0,160
6,8,938,16.5,100.0,152
7,7,923,17.0,100.0,140
8,7,779,14.7,73.3,140
