Время (мин),Час,Остановка,Направление,Ожидало на остановке,Высадка,Посадка,Загруженность (%)
432.00,7,1,Туда,13,0,13,14.4
437.51,7,2,Туда,27,3,27,41.1
443.57,7,3,Туда,38,10,38,72.2
450.89,7,4,Туда,120,20,45,100.0
458.79,7,5,Туда,82,49,49,100.0
468.83,7,6,Туда,123,34,34,100.0
476.17,7,7,Туда,49,36,36,100.0
486.07,8,8,Туда,14,39,14,72.2
495.02,8,9,Туда,31,30,31,73.3
507.37,8,10,Туда,25,66,25,27.8
514.92,8,10,Обратно,8,5,8,31.1
524.87,8,9,Обратно,9,7,9,33.3
531.97,8,8,Обратно,0,8,0,24.4
538.67,8,7,Обратно,12,7,12,30.0
547.12,9,6,Обратно,5,9,5,25.6
557.72,9,5,Обратно,2,13,2,13.3
567.77,9,4,Обратно,27,4,27,38.9
578.62,9,3,Обратно,1,15,1,23.3
588.12,9,2,Обратно,2,9,2,15.6
598.57,9,1,Обратно,17,14,17,18.9
601.12,10,1,Туда,0,3,0,15.6
605.36,10,2,Туда,17,3,17,31.1
610.07,10,3,Туда,2,8,2,24.4
614.62,10,4,Туда,3,7,3,20.0
619.11,10,5,Туда,4,9,4,14.4
623.91,10,6,Туда,3,4,3,13.3
627.63,10,7,Туда,2,4,2,11.1
630.91,10,8,Туда,2,4,2,8.9
634.27,10,9,Туда,0,3,0,5.6
638.38,10,10,Туда,0,5,0,0.0
641.63,10,10,Обратно,1,0,1,1.1
645.70,10,9,Обратно,1,0,1,2.2
648.78,10,8,Обратно,4,0,4,6.7
651.98,10,7,Обратно,2,1,2,7.8
655.54,10,6,Обратно,3,2,3,8.9
659.88,10,5,Обратно,2,4,2,6.7
664.15,11,4,Обратно,0,2,0,4.4
668.25,11,3,Обратно,0,1,0,3.3
672.16,11,2,Обратно,3,1,3,5.6
676.45,11,1,Обратно,0,5,0,0.0
717.02,11,1,Туда,0,0,0,0.0
721.24,12,2,Туда,3,0,3,3.3
725.04,12,3,Туда,0,0,0,3.3
729.09,12,4,Туда,9,0,9,13.3
733.54,12,5,Туда,3,6,3,10.0
738.10,12,6,Туда,11,3,11,18.9
742.09,12,7,Туда,4,6,4,16.7
745.66,12,8,Туда,5,6,5,15.6
749.28,12,9,Туда,2,6,2,11.1
753.53,12,10,Туда,7,10,7,7.8
757.38,12,10,Обратно,2,1,2,8.9
761.51,12,9,Обратно,5,2,5,12.2
764.80,12,8,Обратно,5,3,5,14.4
768.15,12,7,Обратно,5,4,5,15.6
772.07,12,6,Обратно,3,4,3,14.4
776.47,12,5,Обратно,9,7,9,16.7
781.12,13,4,Обратно,2,6,2,12.2
785.39,13,3,Обратно,0,4,0,7.8
789.26,13,2,Обратно,7,3,7,12.2
793.77,13,1,Обратно,0,11,0,0.0
837.02,13,1,Туда,7,0,7,7.8
841.58,14,2,Туда,2,1,2,8.9
845.41,14,3,Туда,2,2,2,8.9
849.48,14,4,Туда,5,2,5,12.2
853.88,14,5,Туда,0,6,0,5.6
858.39,14,6,Туда,8,1,8,13.3
862.27,14,7,Туда,1,4,1,10.0
865.49,14,8,Туда,5,3,5,12.2
868.95,14,9,Туда,0,5,0,6.7
873.10,14,10,Туда,3,6,3,3.3
876.55,14,10,Обратно,1,0,1,4.4
880.48,14,9,Обратно,4,1,4,7.8
883.67,14,8,Обратно,0,2,0,5.6
886.73,14,7,Обратно,3,1,3,7.8
890.28,14,6,Обратно,0,2,0,5.6
894.49,14,5,Обратно,2,2,2,5.6
898.60,14,4,Обратно,1,2,1,4.4
902.60,15,3,Обратно,5,1,5,8.9
906.67,15,2,Обратно,0,3,0,5.6
911.00,15,1,Обратно,5,5,5,5.6
957.02,15,1,Туда,1,1,1,5.6
961.36,16,2,Туда,2,1,2,6.7
965.98,16,3,Туда,7,1,7,13.3
971.02,16,4,Туда,9,3,9,20.0
976.25,16,5,Туда,3,9,3,13.3
981.86,16,6,Туда,14,4,14,24.4
986.85,16,7,Туда,6,9,6,21.1
991.14,16,8,Туда,2,8,2,14.4
995.13,16,9,Туда,3,6,3,11.1
1000.21,16,10,Туда,4,10,4,4.4
1003.91,16,10,Обратно,1,0,1,5.6
1008.58,16,9,Обратно,12,1,12,17.8
1012.73,16,8,Обратно,4,4,4,17.8
1016.59,16,7,Обратно,11,5,11,24.4
1021.35,17,6,Обратно,8,7,8,25.6
1032.00,17,5,Обратно,16,13,16,28.9
1042.75,17,4,Обратно,1,10,1,18.9
1052.60,17,3,Обратно,1,7,1,12.2
1061.70,17,2,Обратно,3,5,3,10.0
1072.00,17,1,Обратно,46,9,46,51.1
1075.75,17,1,Туда,4,10,4,44.4
1086.35,18,2,Туда,39,10,39,76.7
1097.50,18,3,Туда,24,20,24,81.1
1109.00,18,4,Туда,52,23,40,100.0
1121.45,18,5,Туда,2,49,2,47.8
1133.90,18,6,Туда,30,16,30,63.3
1143.70,19,7,Туда,9,23,9,47.8
1148.85,19,8,Туда,4,18,4,32.2
1153.44,19,9,Туда,6,13,6,24.4
1159.05,19,10,Туда,11,22,11,12.2
1163.70,19,10,Обратно,4,2,4,14.4
1168.72,19,9,Обратно,7,3,7,18.9
1172.81,19,8,Обратно,2,4,2,16.7
1176.68,19,7,Обратно,11,4,11,24.4
1181.51,19,6,Обратно,1,7,1,17.8
1186.81,19,5,Обратно,7,9,7,15.6
1192.51,19,4,Обратно,12,5,12,23.3
1198.07,19,3,Обратно,2,9,2,15.6
1203.15,20,2,Обратно,1,6,1,10.0
1206.71,20,1,Обратно,2,9,2,2.2
1221.73,20,1,Туда,1,0,1,3.3
1225.07,20,2,Туда,5,0,5,8.9
1228.26,20,3,Туда,0,2,0,6.7
1231.53,20,4,Туда,1,1,1,6.7
1234.73,20,5,Туда,1,3,1,4.4
1238.24,20,6,Туда,3,1,3,6.7
1241.14,20,7,Туда,4,2,4,8.9
1243.91,20,8,Туда,4,3,4,10.0
1246.77,20,9,Туда,5,4,5,11.1
1250.40,20,10,Туда,7,10,7,7.8
1254.25,20,10,Обратно,2,1,2,8.9
1257.57,20,9,Обратно,3,2,3,10.0
1260.31,21,8,Обратно,5,2,5,13.3
1263.12,21,7,Обратно,0,3,0,10.0
1265.98,21,6,Обратно,6,3,6,13.3
1269.72,21,5,Обратно,4,6,4,11.1
1273.30,21,4,Обратно,0,4,0,6.7
1276.57,21,3,Обратно,1,2,1,5.6
1279.77,21,2,Обратно,2,2,2,5.6
1283.14,21,1,Обратно,0,5,0,0.0
1381.73,23,1,Туда,0,0,0,0.0
1384.39,23,2,Туда,0,0,0,0.0
1386.91,23,3,Туда,0,0,0,0.0
1389.51,23,4,Туда,0,0,0,0.0
1392.07,23,5,Туда,0,0,0,0.0
1394.71,23,6,Туда,0,0,0,0.0
1397.07,23,7,Туда,0,0,0,0.0
1399.25,23,8,Туда,0,0,0,0.0
1401.39,23,9,Туда,0,0,0,0.0
1403.93,23,10,Туда,0,0,0,0.0
1406.93,23,10,Обратно,0,0,0,0.0
1409.49,23,9,Обратно,0,0,0,0.0
1411.68,23,8,Обратно,0,0,0,0.0
1413.82,23,7,Обратно,0,0,0,0.0
1416.15,23,6,Обратно,0,0,0,0.0
1418.79,23,5,Обратно,0,0,0,0.0
1421.36,23,4,Обратно,0,0,0,0.0
1423.94,23,3,Обратно,0,0,0,0.0
1426.40,23,2,Обратно,0,0,0,0.0
1429.03,23,1,Обратно,0,0,0,0.0
