Время (мин),Час,Остановка,Направление,Ожидало на остановке,Высадка,Посадка,Загруженность (%)
396.00,6,1,Туда,5,0,5,5.6
399.46,6,2,Туда,115,1,86,100.0
406.77,6,3,Туда,89,26,26,100.0
412.55,6,4,Туда,132,28,28,100.0
418.41,6,5,Туда,126,49,49,100.0
428.19,7,6,Туда,167,34,34,100.0
435.51,7,7,Туда,132,36,36,100.0
442.59,7,8,Туда,139,39,39,100.0
449.89,7,9,Туда,94,42,42,100.0
458.93,7,10,Туда,1,90,1,1.1
466.48,7,10,Обратно,6,0,6,7.8
471.49,7,9,Обратно,44,1,44,55.6
477.33,7,8,Обратно,57,14,54,100.0
487.03,8,7,Обратно,24,28,24,95.6
497.13,8,6,Обратно,39,30,34,100.0
510.23,8,5,Обратно,13,52,13,56.7
522.78,8,4,Обратно,7,20,7,42.2
533.43,8,3,Обратно,3,16,3,27.8
543.08,9,2,Обратно,8,11,8,24.4
553.93,9,1,Обратно,7,22,7,7.8
556.38,9,1,Туда,1,1,1,7.8
566.38,9,2,Туда,5,1,5,12.2
575.38,9,3,Туда,9,3,9,18.9
585.28,9,4,Туда,12,5,12,26.7
595.43,9,5,Туда,10,13,10,23.3
606.48,10,6,Туда,1,7,1,16.7
610.16,10,7,Туда,7,6,7,17.8
613.86,10,8,Туда,2,7,2,12.2
617.30,10,9,Туда,4,5,4,11.1
621.77,10,10,Туда,1,10,1,1.1
625.32,10,10,Обратно,0,0,0,1.1
629.19,10,9,Обратно,0,0,0,1.1
632.16,10,8,Обратно,0,0,0,1.1
635.14,10,7,Обратно,4,0,4,5.6
638.64,10,6,Обратно,4,1,4,8.9
643.13,10,5,Обратно,8,4,8,13.3
647.64,10,4,Обратно,4,4,4,13.3
652.09,10,3,Обратно,3,5,3,11.1
656.32,10,2,Обратно,5,4,5,12.2
660.94,11,1,Обратно,1,11,1,1.1
687.02,11,1,Туда,1,0,1,2.2
691.15,11,2,Туда,5,0,5,7.8
695.13,11,3,Туда,0,2,0,5.6
699.27,11,4,Туда,4,1,4,8.9
703.35,11,5,Туда,5,4,5,10.0
707.88,11,6,Туда,10,3,10,17.8
711.83,11,7,Туда,3,6,3,14.4
715.24,11,8,Туда,6,5,6,15.6
718.80,11,9,Туда,0,6,0,8.9
722.94,12,10,Туда,0,8,0,0.0
726.34,12,10,Обратно,3,0,3,3.3
730.42,12,9,Обратно,7,0,7,11.1
733.71,12,8,Обратно,1,2,1,10.0
736.80,12,7,Обратно,4,2,4,12.2
740.45,12,6,Обратно,0,3,0,8.9
744.85,12,5,Обратно,6,4,6,11.1
749.21,12,4,Обратно,2,4,2,8.9
753.47,12,3,Обратно,12,3,12,18.9
757.90,12,2,Обратно,3,7,3,14.4
762.61,12,1,Обратно,0,13,0,0.0
807.02,13,1,Туда,6,0,6,6.7
811.41,13,2,Туда,4,1,4,10.0
815.51,13,3,Туда,1,2,1,8.9
819.54,13,4,Туда,8,2,8,15.6
824.05,13,5,Туда,1,7,1,8.9
828.60,13,6,Туда,6,3,6,12.2
832.41,13,7,Туда,1,4,1,8.9
835.69,13,8,Туда,2,3,2,7.8
838.89,13,9,Туда,1,3,1,5.6
842.93,14,10,Туда,4,5,4,4.4
846.38,14,10,Обратно,0,0,0,4.4
850.29,14,9,Обратно,8,1,8,12.2
853.73,14,8,Обратно,1,3,1,10.0
856.95,14,7,Обратно,5,2,5,13.3
860.65,14,6,Обратно,0,4,0,8.9
865.08,14,5,Обратно,4,4,4,8.9
869.43,14,4,Обратно,3,3,3,8.9
873.78,14,3,Обратно,8,3,8,14.4
878.19,14,2,Обратно,3,6,3,11.1
882.66,14,1,Обратно,0,10,0,0.0
927.02,15,1,Туда,1,0,1,1.1
931.22,15,2,Туда,7,0,7,8.9
935.33,15,3,Туда,0,2,0,6.7
939.34,15,4,Туда,5,1,5,11.1
943.67,15,5,Туда,3,5,3,8.9
948.24,15,6,Туда,8,3,8,14.4
952.19,15,7,Туда,2,5,2,11.1
955.49,15,8,Туда,3,4,3,10.0
958.79,15,9,Туда,3,4,3,8.9
963.78,16,10,Туда,7,8,7,7.8
967.53,16,10,Обратно,3,1,3,10.0
972.36,16,9,Обратно,3,2,3,11.1
976.11,16,8,Обратно,0,2,0,8.9
979.75,16,7,Обратно,9,2,9,16.7
984.33,16,6,Обратно,3,5,3,14.4
989.84,16,5,Обратно,17,7,17,25.6
995.70,16,4,Обратно,7,9,7,23.3
1001.35,16,3,Обратно,2,9,2,15.6
1006.30,16,2,Обратно,7,6,7,16.7
1012.11,16,1,Обратно,10,15,10,11.1
1040.02,17,1,Туда,3,2,3,12.2
1050.17,17,2,Туда,7,2,7,17.8
1059.32,17,3,Туда,7,4,7,21.1
1069.17,17,4,Туда,8,6,8,23.3
1079.17,17,5,Туда,8,11,8,20.0
1090.02,18,6,Туда,2,6,2,15.6
1097.92,18,7,Туда,5,5,5,15.6
1104.72,18,8,Туда,1,6,1,10.0
1111.37,18,9,Туда,27,4,27,35.6
1122.22,18,10,Туда,0,32,0,0.0
1126.82,18,10,Обратно,1,0,1,1.1
1136.17,18,9,Обратно,13,0,13,15.6
1143.12,19,8,Обратно,0,4,0,11.1
