Время (мин),Час,Остановка,Направление,Ожидало на остановке,Высадка,Посадка,Загруженность (%)
414.00,6,1,Туда,9,0,9,10.0
417.78,6,2,Туда,38,2,38,50.0
424.25,7,3,Туда,75,13,58,100.0
432.55,7,4,Туда,126,28,28,100.0
440.25,7,5,Туда,107,49,49,100.0
450.24,7,6,Туда,163,34,34,100.0
457.75,7,7,Туда,93,36,36,100.0
464.91,7,8,Туда,76,39,39,100.0
472.32,7,9,Туда,0,42,0,53.3
479.03,7,10,Туда,17,48,17,18.9
485.28,8,10,Обратно,9,3,9,25.6
495.18,8,9,Обратно,0,5,0,20.0
501.73,8,8,Обратно,13,5,13,28.9
508.93,8,7,Обратно,12,8,12,33.3
517.43,8,6,Обратно,11,10,11,34.4
528.38,8,5,Обратно,26,17,26,44.4
539.83,8,4,Обратно,32,16,32,62.2
551.53,9,3,Обратно,8,24,8,44.4
561.83,9,2,Обратно,8,18,8,33.3
573.03,9,1,Обратно,10,30,10,11.1
576.03,9,1,Туда,2,2,2,11.1
586.13,9,2,Туда,18,2,18,28.9
595.83,9,3,Туда,10,7,10,32.2
605.98,10,4,Туда,5,9,5,27.8
610.61,10,5,Туда,0,13,0,13.3
615.48,10,6,Туда,6,4,6,15.6
619.31,10,7,Туда,9,5,9,20.0
623.08,10,8,Туда,0,7,0,12.2
626.44,10,9,Туда,3,5,3,10.0
630.86,10,10,Туда,3,9,3,3.3
634.46,10,10,Обратно,1,0,1,4.4
638.49,10,9,Обратно,1,1,1,4.4
641.56,10,8,Обратно,0,1,0,3.3
644.67,10,7,Обратно,2,0,2,5.6
648.24,10,6,Обратно,8,1,8,13.3
652.79,10,5,Обратно,0,6,0,6.7
657.08,10,4,Обратно,2,2,2,6.7
661.31,11,3,Обратно,5,2,5,10.0
665.34,11,2,Обратно,1,4,1,6.7
669.82,11,1,Обратно,6,6,6,6.7
702.02,11,1,Туда,6,1,6,12.2
706.63,11,2,Туда,8,2,8,18.9
710.92,11,3,Туда,1,4,1,15.6
715.07,11,4,Туда,7,4,7,18.9
719.49,11,5,Туда,1,9,1,10.0
724.10,12,6,Туда,8,3,8,15.6
728.05,12,7,Туда,2,5,2,12.2
731.37,12,8,Туда,5,4,5,13.3
734.81,12,9,Туда,4,5,4,12.2
