Время (мин),Час,Остановка,Направление,Ожидало на остановке,Высадка,Посадка,Загруженность (%)
360.00,6,1,Туда,140,0,90,100.0
367.78,6,2,Туда,164,23,23,100.0
373.03,6,3,Туда,132,26,26,100.0
378.74,6,4,Туда,175,28,28,100.0
384.67,6,5,Туда,206,49,49,100.0
392.88,6,6,Туда,209,34,34,100.0
399.07,6,7,Туда,174,36,36,100.0
405.18,6,8,Туда,194,39,39,100.0
411.63,6,9,Туда,158,42,42,100.0
418.90,6,10,Туда,181,90,90,100.0
430.90,7,10,Обратно,99,20,20,100.0
437.65,7,9,Обратно,104,23,23,100.0
443.36,7,8,Обратно,101,26,26,100.0
449.45,7,7,Обратно,111,28,28,100.0
456.22,7,6,Обратно,139,31,31,100.0
464.24,7,5,Обратно,42,52,42,88.9
473.72,7,4,Обратно,42,32,42,100.0
482.31,8,3,Обратно,4,39,4,61.1
493.16,8,2,Обратно,22,25,22,57.8
505.41,8,1,Обратно,17,52,17,18.9
509.86,8,1,Туда,1,3,1,16.7
519.96,8,2,Туда,26,3,26,42.2
530.11,8,3,Туда,23,11,23,55.6
541.11,9,4,Туда,0,16,0,37.8
551.21,9,5,Туда,21,18,21,41.1
563.06,9,6,Туда,16,14,16,43.3
572.06,9,7,Туда,1,15,1,27.8
579.16,9,8,Туда,1,11,1,16.7
586.06,9,9,Туда,14,7,14,24.4
596.41,9,10,Туда,13,22,13,14.4
601.16,10,10,Обратно,0,2,0,12.2
605.28,10,9,Обратно,9,2,9,20.0
608.91,10,8,Обратно,1,5,1,15.6
612.18,10,7,Обратно,2,4,2,13.3
615.77,10,6,Обратно,0,4,0,8.9
620.12,10,5,Обратно,0,4,0,4.4
624.24,10,4,Обратно,0,1,0,3.3
628.31,10,3,Обратно,6,1,6,8.9
632.49,10,2,Обратно,0,3,0,5.6
636.78,10,1,Обратно,5,5,5,5.6
657.02,10,1,Туда,2,1,2,6.7
661.21,11,2,Туда,1,1,1,6.7
665.07,11,3,Туда,1,1,1,6.7
669.07,11,4,Туда,2,1,2,7.8
673.22,11,5,Туда,7,3,7,12.2
677.75,11,6,Туда,6,4,6,14.4
681.62,11,7,Туда,5,5,5,14.4
685.19,11,8,Туда,9,5,9,18.9
688.87,11,9,Туда,4,7,4,15.6
693.39,11,10,Туда,3,14,3,3.3
697.24,11,10,Обратно,0,0,0,3.3
