Время (мин),Час,Остановка,Направление,Ожидало на остановке,Высадка,Посадка,Загруженность (%)
486.00,8,1,Туда,29,0,29,32.2
497.35,8,2,Туда,2,7,2,26.7
506.50,8,3,Туда,41,6,41,65.6
518.15,8,4,Туда,18,18,18,65.6
529.25,8,5,Туда,1,32,1,31.1
540.80,9,6,Туда,7,10,7,27.8
549.15,9,7,Туда,7,10,7,24.4
556.30,9,8,Туда,16,9,16,32.2
563.85,9,9,Туда,9,13,9,27.8
574.25,9,10,Туда,7,25,7,7.8
578.85,9,10,Обратно,8,1,8,15.6
588.60,9,9,Обратно,0,3,0,12.2
595.05,9,8,Обратно,7,3,7,16.7
601.85,10,7,Обратно,3,4,3,15.6
605.59,10,6,Обратно,9,4,9,21.1
610.26,10,5,Обратно,4,11,4,13.3
614.89,10,4,Обратно,0,4,0,8.9
618.98,10,3,Обратно,3,3,3,8.9
622.96,10,2,Обратно,0,3,0,5.6
627.35,10,1,Обратно,0,5,0,0.0
642.02,10,1,Туда,1,0,1,1.1
646.17,10,2,Туда,0,0,0,1.1
649.82,10,3,Туда,4,0,4,5.6
653.95,10,4,Туда,2,1,2,6.7
658.03,10,5,Туда,2,3,2,5.6
662.45,11,6,Туда,4,1,4,8.9
666.01,11,7,Туда,3,3,3,8.9
669.24,11,8,Туда,6,3,6,12.2
672.75,11,9,Туда,1,5,1,7.8
677.00,11,10,Туда,4,7,4,4.4
680.55,11,10,Обратно,1,0,1,5.6
684.45,11,9,Обратно,5,1,5,10.0
687.76,11,8,Обратно,0,2,0,7.8
690.88,11,7,Обратно,5,2,5,11.1
694.56,11,6,Обратно,0,3,0,7.8
698.96,11,5,Обратно,10,4,10,14.4
703.61,11,4,Обратно,2,5,2,11.1
708.02,11,3,Обратно,9,4,9,16.7
712.50,11,2,Обратно,3,7,3,12.2
717.01,11,1,Обратно,4,11,4,4.4
762.02,12,1,Туда,8,0,8,13.3
766.54,12,2,Туда,6,3,6,16.7
770.65,12,3,Туда,7,4,7,20.0
775.14,12,4,Туда,3,5,3,17.8
779.60,12,5,Туда,2,8,2,11.1
784.20,13,6,Туда,6,3,6,14.4
788.10,13,7,Туда,1,5,1,10.0
791.39,13,8,Туда,2,3,2,8.9
794.68,13,9,Туда,4,3,4,10.0
798.95,13,10,Туда,5,9,5,5.6
802.65,13,10,Обратно,0,1,0,4.4
806.53,13,9,Обратно,7,1,7,11.1
809.93,13,8,Обратно,0,2,0,8.9
813.01,13,7,Обратно,5,2,5,12.2
816.80,13,6,Обратно,4,3,4,13.3
821.31,13,5,Обратно,9,6,9,16.7
825.90,13,4,Обратно,5,6,5,15.6
830.43,13,3,Обратно,0,6,0,8.9
834.55,13,2,Обратно,4,3,4,10.0
839.12,13,1,Обратно,0,9,0,0.0
882.02,14,1,Туда,8,0,8,8.9
886.59,14,2,Туда,4,2,4,11.1
890.62,14,3,Туда,0,2,0,8.9
894.72,14,4,Туда,6,2,6,13.3
899.03,14,5,Туда,2,6,2,8.9
903.56,15,6,Туда,6,3,6,12.2
907.29,15,7,Туда,3,4,3,11.1
910.59,15,8,Туда,6,4,6,13.3
914.08,15,9,Туда,0,5,0,7.8
918.29,15,10,Туда,2,7,2,2.2
921.74,15,10,Обратно,1,0,1,3.3
925.70,15,9,Обратно,3,0,3,6.7
928.81,15,8,Обратно,1,1,1,6.7
931.85,15,7,Обратно,3,1,3,8.9
935.38,15,6,Обратно,1,2,1,7.8
939.63,15,5,Обратно,10,4,10,14.4
944.28,15,4,Обратно,2,5,2,11.1
948.57,15,3,Обратно,7,4,7,14.4
952.85,15,2,Обратно,3,6,3,11.1
957.45,15,1,Обратно,0,10,0,0.0
1002.02,16,1,Туда,5,0,5,5.6
1007.19,16,2,Туда,0,1,0,4.4
1011.82,16,3,Туда,12,1,12,16.7
1017.14,16,4,Туда,2,4,2,14.4
1022.35,17,5,Туда,15,7,15,23.3
1033.35,17,6,Туда,17,7,17,34.4
1042.05,17,7,Туда,31,12,31,55.6
1050.50,17,8,Туда,20,22,20,53.3
1058.90,17,9,Туда,0,22,0,28.9
1069.30,17,10,Туда,20,26,20,22.2
1074.60,17,10,Обратно,4,4,4,22.2
1084.30,18,9,Обратно,37,5,37,57.8
1092.70,18,8,Обратно,20,15,20,63.3
1100.75,18,7,Обратно,2,18,2,45.6
1109.25,18,6,Обратно,17,14,17,48.9
1120.70,18,5,Обратно,32,25,32,56.7
1132.85,18,4,Обратно,35,20,35,73.3
1144.90,19,3,Обратно,15,29,15,57.8
1151.59,19,2,Обратно,6,24,6,37.8
1157.99,19,1,Обратно,8,34,8,8.9
1161.09,19,1,Туда,2,1,2,10.0
1166.16,19,2,Туда,9,2,9,17.8
1171.10,19,3,Туда,2,4,2,15.6
1176.11,19,4,Туда,1,4,1,12.2
1181.17,19,5,Туда,9,6,9,15.6
1187.06,19,6,Туда,2,5,2,12.2
1191.49,19,7,Туда,2,4,2,10.0
1195.35,19,8,Туда,4,3,4,11.1
1199.11,19,9,Туда,2,4,2,8.9
1202.59,20,10,Туда,0,8,0,0.0
1205.99,20,10,Обратно,0,0,0,0.0
1209.20,20,9,Обратно,0,0,0,0.0
1211.70,20,8,Обратно,0,0,0,0.0
1214.20,20,7,Обратно,2,0,2,2.2
1217.03,20,6,Обратно,1,0,1,3.3
1220.29,20,5,Обратно,1,1,1,3.3
1223.45,20,4,Обратно,6,1,6,8.9
1227.00,20,3,Обратно,2,3,2,7.8
1230.18,20,2,Обратно,0,3,0,4.4
1233.60,20,1,Обратно,0,4,0,0.0
1281.73,21,1,Туда,5,0,5,5.6
1285.29,21,2,Туда,0,1,0,4.4
1288.27,21,3,Туда,2,1,2,5.6
1291.55,21,4,Туда,3,1,3,7.8
1294.84,21,5,Туда,3,3,3,7.8
1298.39,21,6,Туда,6,2,6,12.2
1301.58,21,7,Туда,6,4,6,14.4
1304.55,21,8,Туда,2,5,2,11.1
1307.41,21,9,Туда,5,4,5,12.2
1310.99,21,10,Туда,9,11,9,10.0
1314.99,21,10,Обратно,2,2,2,10.0
1318.30,21,9,Обратно,2,2,2,10.0
1321.02,22,8,Обратно,1,2,1,8.9
1323.64,22,7,Обратно,0,2,0,6.7
1326.52,22,6,Обратно,0,2,0,4.4
1329.83,22,5,Обратно,2,2,2,4.4
