Время (мин),Час,Остановка,Направление,Ожидало на остановке,Высадка,Посадка,Загруженность (%)
378.00,6,1,Туда,62,0,62,68.9
384.32,6,2,Туда,152,16,44,100.0
390.29,6,3,Туда,110,26,26,100.0
396.02,6,4,Туда,155,28,28,100.0
401.98,6,5,Туда,166,49,49,100.0
410.07,6,6,Туда,182,34,34,100.0
416.25,6,7,Туда,139,36,36,100.0
423.42,7,8,Туда,165,39,39,100.0
430.83,7,9,Туда,140,42,42,100.0
439.90,7,10,Туда,83,90,83,92.2
451.55,7,10,Обратно,12,19,12,84.4
457.71,7,9,Обратно,63,19,33,100.0
463.84,7,8,Обратно,100,26,26,100.0
469.95,7,7,Обратно,68,28,28,100.0
476.85,7,6,Обратно,93,31,31,100.0
489.85,8,5,Обратно,21,52,21,65.6
502.80,8,4,Обратно,17,24,17,57.8
514.15,8,3,Обратно,13,22,13,47.8
524.60,8,2,Обратно,11,20,11,37.8
536.05,8,1,Обратно,43,34,43,47.8
540.90,9,1,Туда,3,9,3,41.1
551.40,9,2,Туда,3,9,3,34.4
560.70,9,3,Туда,5,8,5,31.1
570.65,9,4,Туда,0,8,0,22.2
580.35,9,5,Туда,17,11,17,28.9
591.65,9,6,Туда,3,9,3,22.2
599.75,9,7,Туда,9,8,9,23.3
603.55,10,8,Туда,4,9,4,17.8
607.24,10,9,Туда,0,7,0,10.0
611.60,10,10,Туда,2,9,2,2.2
615.15,10,10,Обратно,0,0,0,2.2
619.19,10,9,Обратно,0,0,0,2.2
622.20,10,8,Обратно,4,0,4,6.7
625.41,10,7,Обратно,3,1,3,8.9
629.08,10,6,Обратно,3,2,3,10.0
633.35,10,5,Обратно,5,5,5,10.0
637.79,10,4,Обратно,0,3,0,6.7
641.99,10,3,Обратно,5,2,5,10.0
646.10,10,2,Обратно,13,4,13,20.0
651.16,10,1,Обратно,3,18,3,3.3
672.02,11,1,Туда,2,0,2,5.6
676.31,11,2,Туда,0,1,0,4.4
680.09,11,3,Туда,0,1,0,3.3
684.08,11,4,Туда,7,0,7,11.1
688.32,11,5,Туда,1,5,1,6.7
692.63,11,6,Туда,8,2,8,13.3
696.50,11,7,Туда,4,4,4,13.3
