Время (мин),Час,Остановка,Направление,Ожидало на остановке,Высадка,Посадка,Загруженность (%)
450.00,7,1,Туда,23,0,23,25.6
456.11,7,2,Туда,25,5,25,47.8
462.22,7,3,Туда,19,12,19,55.6
468.63,7,4,Туда,93,16,56,100.0
477.02,7,5,Туда,22,49,22,70.0
490.47,8,6,Туда,83,23,50,100.0
501.62,8,7,Туда,28,36,28,91.1
511.12,8,8,Туда,12,36,12,64.4
519.82,8,9,Туда,38,27,38,76.7
532.37,8,10,Туда,19,69,19,21.1
539.77,8,10,Обратно,13,4,13,31.1
549.92,9,9,Обратно,7,7,7,31.1
556.92,9,8,Обратно,0,8,0,22.2
563.62,9,7,Обратно,9,6,9,25.6
571.87,9,6,Обратно,5,8,5,22.2
582.42,9,5,Обратно,2,11,2,12.2
592.37,9,4,Обратно,3,4,3,11.1
602.02,10,3,Обратно,4,4,4,11.1
606.21,10,2,Обратно,0,4,0,6.7
610.52,10,1,Обратно,4,6,4,4.4
612.02,10,1,Туда,0,0,0,4.4
616.11,10,2,Туда,0,1,0,3.3
619.92,10,3,Туда,1,0,1,4.4
623.88,10,4,Туда,4,1,4,7.8
628.16,10,5,Туда,7,3,7,12.2
632.79,10,6,Туда,1,4,1,8.9
636.38,10,7,Туда,0,3,0,5.6
639.51,10,8,Туда,1,2,1,4.4
642.73,10,9,Туда,1,1,1,4.4
646.72,10,10,Туда,1,4,1,1.1
649.97,10,10,Обратно,4,0,4,5.6
654.05,10,9,Обратно,2,1,2,6.7
657.22,10,8,Обратно,2,1,2,7.8
660.44,11,7,Обратно,2,2,2,7.8
664.09,11,6,Обратно,2,2,2,7.8
668.36,11,5,Обратно,5,4,5,8.9
672.69,11,4,Обратно,1,3,1,6.7
676.88,11,3,Обратно,2,2,2,6.7
680.82,11,2,Обратно,0,2,0,4.4
684.92,11,1,Обратно,7,4,7,7.8
732.02,12,1,Туда,8,1,8,15.6
736.68,12,2,Туда,0,3,0,12.2
740.60,12,3,Туда,2,3,2,11.1
744.83,12,4,Туда,7,3,7,15.6
749.39,12,5,Туда,4,7,4,12.2
754.14,12,6,Туда,5,4,5,13.3
757.95,12,7,Туда,6,4,6,15.6
761.44,12,8,Туда,8,6,8,17.8
765.14,12,9,Туда,0,7,0,10.0
769.50,12,10,Туда,2,9,2,2.2
773.05,12,10,Обратно,0,0,0,2.2
776.89,12,9,Обратно,6,0,6,8.9
780.20,13,8,Обратно,3,2,3,10.0
783.51,13,7,Обратно,2,2,2,10.0
787.11,13,6,Обратно,2,3,2,8.9
791.55,13,5,Обратно,8,4,8,13.3
796.12,13,4,Обратно,4,4,4,13.3
800.38,13,3,Обратно,0,5,0,7.8
804.35,13,2,Обратно,6,3,6,11.1
808.89,13,1,Обратно,1,10,1,1.1
852.02,14,1,Туда,0,0,0,1.1
856.10,14,2,Туда,1,0,1,2.2
859.83,14,3,Туда,0,0,0,2.2
863.84,14,4,Туда,7,0,7,10.0
868.12,14,5,Туда,2,4,2,7.8
872.46,14,6,Туда,8,2,8,14.4
876.42,14,7,Туда,3,5,3,12.2
879.87,14,8,Туда,4,4,4,12.2
883.33,14,9,Туда,0,5,0,6.7
887.45,14,10,Туда,2,6,2,2.2
890.85,14,10,Обратно,1,0,1,3.3
894.78,14,9,Обратно,4,0,4,7.8
897.97,14,8,Обратно,0,2,0,5.6
901.01,15,7,Обратно,2,1,2,6.7
904.49,15,6,Обратно,0,2,0,4.4
908.62,15,5,Обратно,6,2,6,8.9
912.84,15,4,Обратно,2,3,2,7.8
916.95,15,3,Обратно,4,3,4,8.9
921.12,15,2,Обратно,0,3,0,5.6
925.52,15,1,Обратно,4,5,4,4.4
972.02,16,1,Туда,6,0,6,11.1
977.32,16,2,Туда,3,2,3,12.2
982.03,16,3,Туда,0,3,0,8.9
987.09,16,4,Туда,7,2,7,14.4
992.31,16,5,Туда,1,7,1,7.8
