Время (мин),Час,Остановка,Направление,Ожидало на остановке,Высадка,Посадка,Пассажиров в салоне,Загруженность (%)
735.07,12,10,Туда,8,9,8,8,8.9
738.92,12,10,Обратно,1,1,1,8,8.9
742.34,12,9,Обратно,2,2,2,8,8.9
745.99,12,8,Обратно,0,2,0,6,6.7
749.76,12,7,Обратно,5,1,5,10,11.1
753.56,12,6,Обратно,0,3,0,7,7.8
757.19,12,5,Обратно,0,4,0,3,3.3
761.70,12,4,Обратно,2,1,2,4,4.4
764.91,12,3,Обратно,6,1,6,9,10.0
768.94,12,2,Обратно,2,4,2,7,7.8
773.30,12,1,Обратно,8,7,8,8,8.9
820.46,13,1,Туда,0,1,0,7,7.8
824.51,13,2,Туда,5,1,5,11,12.2
828.61,13,3,Туда,0,3,0,8,8.9
831.80,13,4,Туда,5,2,5,11,12.2
836.50,13,5,Туда,1,6,1,6,6.7
840.45,14,6,Туда,3,2,3,7,7.8
844.22,14,7,Туда,4,2,4,9,10.0
848.36,14,8,Туда,6,3,6,12,13.3
852.27,14,9,Туда,0,5,0,7,7.8
855.87,14,10,Туда,2,7,2,2,2.2
859.32,14,10,Обратно,2,0,2,4,4.4
862.79,14,9,Обратно,6,1,6,9,10.0
866.48,14,8,Обратно,1,2,1,8,8.9
870.44,14,7,Обратно,2,2,2,8,8.9
874.27,14,6,Обратно,1,2,1,7,7.8
877.90,14,5,Обратно,5,4,5,8,8.9
882.67,14,4,Обратно,6,3,6,11,12.2
886.15,14,3,Обратно,7,4,7,14,15.6
890.34,14,2,Обратно,2,6,2,10,11.1
894.72,14,1,Обратно,10,10,10,10,11.1
940.46,15,1,Туда,0,2,0,8,8.9
944.41,15,2,Туда,5,2,5,11,12.2
948.50,15,3,Туда,0,3,0,8,8.9
951.68,15,4,Туда,5,2,5,11,12.2
956.24,15,5,Туда,0,6,0,5,5.6
960.17,16,6,Туда,12,1,12,16,17.8
964.97,16,7,Туда,1,6,1,11,12.2
969.90,16,8,Туда,10,4,10,17,18.9
974.69,16,9,Туда,4,7,4,14,15.6
979.34,16,10,Туда,13,14,13,13,14.4
983.69,16,10,Обратно,3,2,3,14,15.6
988.03,16,9,Обратно,4,3,4,15,16.7
992.50,16,8,Обратно,3,4,3,14,15.6
997.46,16,7,Обратно,6,4,6,16,17.8
1002.34,16,6,Обратно,5,5,5,16,17.8
1007.05,16,5,Обратно,0,9,0,7,7.8
1012.73,16,4,Обратно,11,2,11,16,17.8
1016.93,16,3,Обратно,2,7,2,11,12.2
1021.82,17,2,Обратно,0,5,0,6,6.7
1031.37,17,1,Обратно,1,6,1,1,1.1
1046.46,17,1,Туда,9,0,9,10,11.1
1056.21,17,2,Туда,9,2,9,17,18.9
1065.46,17,3,Туда,10,4,10,23,25.6
1072.46,17,4,Туда,1,7,1,17,18.9
1083.36,18,5,Туда,8,9,8,16,17.8
1092.31,18,6,Туда,9,6,9,19,21.1
1101.16,18,7,Туда,14,7,14,26,28.9
1110.91,18,8,Туда,3,11,3,18,20.0
1119.11,18,9,Туда,1,8,1,11,12.2
1127.06,18,10,Туда,2,11,2,2,2.2
1130.71,18,10,Обратно,7,0,7,9,10.0
1138.56,18,9,Обратно,4,2,4,11,12.2
1146.36,19,8,Обратно,3,3,3,11,12.2
1151.31,19,7,Обратно,8,3,8,16,17.8
1155.99,19,6,Обратно,1,5,1,12,13.3
1160.47,19,5,Обратно,4,6,4,10,11.1
1166.26,19,4,Обратно,6,4,6,12,13.3
1170.26,19,3,Обратно,0,5,0,7,7.8
1174.99,19,2,Обратно,2,3,2,6,6.7
1179.84,19,1,Обратно,4,6,4,4,4.4
1197.12,19,1,Туда,3,0,3,7,7.8
1201.90,20,2,Туда,1,1,1,7,7.8
1205.05,20,3,Туда,1,2,1,6,6.7
1207.70,20,4,Туда,0,1,0,5,5.6
1211.10,20,5,Туда,0,2,0,3,3.3
1214.07,20,6,Туда,3,1,3,5,5.6
1217.13,20,7,Туда,2,2,2,5,5.6
1220.27,20,8,Туда,2,2,2,5,5.6
1223.22,20,9,Туда,1,2,1,4,4.4
1226.17,20,10,Туда,1,4,1,1,1.1
1229.42,20,10,Обратно,0,0,0,1,1.1
1232.14,20,9,Обратно,0,0,0,1,1.1
1234.92,20,8,Обратно,4,0,4,5,5.6
1238.12,20,7,Обратно,2,1,2,6,6.7
1241.09,20,6,Обратно,0,2,0,4,4.4
1244.10,20,5,Обратно,3,2,3,5,5.6
1247.73,20,4,Обратно,1,2,1,4,4.4
1250.35,20,3,Обратно,0,1,0,3,3.3
1253.41,20,2,Обратно,0,1,0,2,2.2
1256.52,20,1,Обратно,3,2,3,3,3.3
1345.12,22,1,Туда,0,0,0,3,3.3
1348.25,22,2,Туда,1,0,1,4,4.4
1351.28,22,3,Туда,0,1,0,3,3.3
1353.83,22,4,Туда,0,0,0,3,3.3
1357.14,22,5,Туда,1,1,1,3,3.3
1360.07,22,6,Туда,2,1,2,4,4.4
1363.12,22,7,Туда,0,1,0,3,3.3
1366.12,22,8,Туда,0,1,0,2,2.2
1368.97,22,9,Туда,1,0,1,3,3.3
1371.76,22,10,Туда,3,3,3,3,3.3
1375.06,22,10,Обратно,0,0,0,3,3.3
1377.78,22,9,Обратно,0,0,0,3,3.3
1380.56,23,8,Обратно,0,0,0,3,3.3
1383.10,23,7,Обратно,0,0,0,3,3.3
1385.53,23,6,Обратно,0,1,0,2,2.2
1388.00,23,5,Обратно,0,1,0,1,1.1
1390.77,23,4,Обратно,0,0,0,1,1.1
1392.96,23,3,Обратно,0,0,0,1,1.1
1395.45,23,2,Обратно,0,0,0,1,1.1
1398.05,23,1,Обратно,0,1,0,0,0.0
