Время (мин),Час,Остановка,Направление,Ожидало на остановке,Высадка,Посадка,Пассажиров в салоне,Загруженность (%)
414.00,6,1,Туда,3,0,3,3,3.3
417.31,6,2,Туда,2,0,2,5,5.6
420.38,7,3,Туда,18,1,18,22,24.4
424.77,7,4,Туда,32,7,32,47,52.2
431.97,7,5,Туда,39,25,39,61,67.8
439.48,7,6,Туда,25,23,25,63,70.0
446.04,7,7,Туда,3,25,3,41,45.6
451.82,7,8,Туда,11,18,11,34,37.8
457.33,7,9,Туда,30,15,30,49,54.4
463.62,7,10,Туда,27,49,27,27,30.0
470.42,7,10,Обратно,6,6,6,27,30.0
474.96,7,9,Обратно,15,7,15,35,38.9
480.15,8,8,Обратно,7,10,7,32,35.6
489.70,8,7,Обратно,21,10,21,43,47.8
499.35,8,6,Обратно,28,15,28,56,62.2
509.60,8,5,Обратно,18,32,18,42,46.7
522.60,8,4,Обратно,7,17,7,32,35.6
530.10,8,3,Обратно,1,14,1,19,21.1
539.55,8,2,Обратно,23,8,23,34,37.8
550.40,9,1,Обратно,20,34,20,20,22.2
554.10,9,1,Туда,3,4,3,19,21.1
563.75,9,2,Туда,18,4,18,33,36.7
573.55,9,3,Туда,3,9,3,27,30.0
580.45,9,4,Туда,17,8,17,36,40.0
592.20,9,5,Туда,27,19,27,44,48.9
602.60,10,6,Туда,5,16,5,33,36.7
607.20,10,7,Туда,0,13,0,20,22.2
611.60,10,8,Туда,4,8,4,16,17.8
615.54,10,9,Туда,6,7,6,15,16.7
619.62,10,10,Туда,14,15,14,14,15.6
624.07,10,10,Обратно,1,3,1,12,13.3
627.65,10,9,Обратно,4,3,4,13,14.4
631.33,10,8,Обратно,0,3,0,10,11.1
635.26,10,7,Обратно,0,3,0,7,7.8
638.94,10,6,Обратно,3,2,3,8,8.9
642.80,10,5,Обратно,1,4,1,5,5.6
647.43,10,4,Обратно,7,2,7,10,11.1
650.89,10,3,Обратно,0,4,0,6,6.7
654.77,10,2,Обратно,5,2,5,9,10.0
659.14,10,1,Обратно,1,9,1,1,1.1
700.46,11,1,Туда,0,0,0,1,1.1
704.50,11,2,Туда,0,0,0,1,1.1
708.35,11,3,Туда,0,0,0,1,1.1
711.34,11,4,Туда,8,0,8,9,10.0
715.96,11,5,Туда,1,4,1,6,6.7
719.68,11,6,Туда,7,2,7,11,12.2
723.62,12,7,Туда,0,4,0,7,7.8
727.46,12,8,Туда,6,3,6,10,11.1
731.35,12,9,Туда,3,4,3,9,10.0
