Время (мин),Час,Остановка,Направление,Ожидало на остановке,Высадка,Посадка,Пассажиров в салоне,Загруженность (%)
486.00,8,1,Туда,17,0,17,17,18.9
496.15,8,2,Туда,24,4,24,37,41.1
506.25,8,3,Туда,34,10,34,61,67.8
514.75,8,4,Туда,62,19,48,90,100.0
528.60,8,5,Туда,29,49,29,70,77.8
540.60,9,6,Туда,3,26,3,47,52.2
550.15,9,7,Туда,17,19,17,45,50.0
560.65,9,8,Туда,0,19,0,26,28.9
569.10,9,9,Туда,0,12,0,14,15.6
577.20,9,10,Туда,1,14,1,1,1.1
580.95,9,10,Обратно,0,0,0,1,1.1
588.45,9,9,Обратно,0,0,0,1,1.1
595.95,9,8,Обратно,18,0,18,19,21.1
605.55,10,7,Обратно,0,6,0,13,14.4
609.34,10,6,Обратно,0,4,0,9,10.0
613.05,10,5,Обратно,0,5,0,4,4.4
617.55,10,4,Обратно,0,1,0,3,3.3
620.64,10,3,Обратно,2,1,2,4,4.4
624.58,10,2,Обратно,4,1,4,7,7.8
628.68,10,1,Обратно,2,7,2,2,2.2
655.46,10,1,Туда,6,0,6,8,8.9
659.80,10,2,Туда,1,2,1,7,7.8
663.73,11,3,Туда,8,2,8,13,14.4
667.29,11,4,Туда,2,4,2,11,12.2
671.79,11,5,Туда,2,6,2,7,7.8
675.75,11,6,Туда,7,2,7,12,13.3
679.69,11,7,Туда,5,4,5,13,14.4
683.90,11,8,Туда,6,5,6,14,15.6
687.77,11,9,Туда,3,6,3,11,12.2
691.64,11,10,Туда,3,11,3,3,3.3
695.34,11,10,Обратно,2,0,2,5,5.6
698.88,11,9,Обратно,6,1,6,10,11.1
702.58,11,8,Обратно,1,2,1,9,10.0
706.44,11,7,Обратно,8,2,8,15,16.7
710.54,11,6,Обратно,2,5,2,12,13.3
714.49,11,5,Обратно,9,6,9,15,16.7
719.69,11,4,Обратно,7,6,7,16,17.8
723.28,12,3,Обратно,8,7,8,17,18.9
727.74,12,2,Обратно,6,7,6,16,17.8
732.42,12,1,Обратно,0,16,0,0,0.0
775.46,12,1,Туда,1,0,1,1,1.1
779.38,12,2,Туда,5,0,5,6,6.7
783.34,13,3,Туда,10,1,10,15,16.7
786.97,13,4,Туда,6,4,6,17,18.9
791.65,13,5,Туда,0,9,0,8,8.9
795.64,13,6,Туда,4,3,4,9,10.0
799.64,13,7,Туда,3,3,3,9,10.0
803.73,13,8,Туда,4,3,4,10,11.1
807.49,13,9,Туда,4,4,4,10,11.1
811.37,13,10,Туда,4,10,4,4,4.4
815.07,13,10,Обратно,3,0,3,7,7.8
818.67,13,9,Обратно,6,1,6,12,13.3
822.32,13,8,Обратно,3,3,3,12,13.3
826.40,13,7,Обратно,9,3,9,18,20.0
830.66,13,6,Обратно,4,6,4,16,17.8
834.62,13,5,Обратно,10,9,10,17,18.9
839.95,13,4,Обратно,3,6,3,14,15.6
843.46,14,3,Обратно,10,6,10,18,20.0
848.04,14,2,Обратно,4,8,4,14,15.6
852.50,14,1,Обратно,1,14,1,1,1.1
895.46,14,1,Туда,1,0,1,2,2.2
899.50,14,2,Туда,6,0,6,8,8.9
903.66,15,3,Туда,0,2,0,6,6.7
906.81,15,4,Туда,5,1,5,10,11.1
911.36,15,5,Туда,1,5,1,6,6.7
915.20,15,6,Туда,3,2,3,7,7.8
918.97,15,7,Туда,0,2,0,5,5.6
922.93,15,8,Туда,8,2,8,11,12.2
926.82,15,9,Туда,3,5,3,9,10.0
930.56,15,10,Туда,7,9,7,7,7.8
934.36,15,10,Обратно,0,1,0,6,6.7
937.70,15,9,Обратно,4,1,4,9,10.0
941.30,15,8,Обратно,2,2,2,9,10.0
945.26,15,7,Обратно,6,2,6,13,14.4
949.13,15,6,Обратно,1,4,1,10,11.1
952.96,15,5,Обратно,7,5,7,12,13.3
957.98,15,4,Обратно,5,4,5,13,14.4
961.44,16,3,Обратно,8,5,8,16,17.8
966.52,16,2,Обратно,2,7,2,11,12.2
971.74,16,1,Обратно,1,11,1,1,1.1
1015.46,16,1,Туда,6,0,6,7,7.8
1020.68,17,2,Туда,19,1,19,25,27.8
1030.38,17,3,Туда,18,7,18,36,40.0
1037.93,17,4,Туда,29,11,29,54,60.0
1050.43,17,5,Туда,32,29,32,57,63.3
1061.58,17,6,Туда,15,21,15,51,56.7
1071.48,17,7,Туда,3,20,3,34,37.8
1081.33,18,8,Туда,35,14,35,55,61.1
1091.28,18,9,Туда,6,25,6,36,40.0
1100.33,18,10,Туда,44,36,44,44,48.9
1107.33,18,10,Обратно,6,10,6,40,44.4
1115.63,18,9,Обратно,4,10,4,34,37.8
1123.83,18,8,Обратно,25,9,25,50,55.6
1134.23,18,7,Обратно,8,16,8,42,46.7
1143.53,19,6,Обратно,15,14,15,43,47.8
1149.16,19,5,Обратно,7,24,7,26,28.9
1156.02,19,4,Обратно,0,10,0,16,17.8
1160.02,19,3,Обратно,5,7,5,14,15.6
1165.17,19,2,Обратно,12,6,12,20,22.2
1170.97,19,1,Обратно,3,20,3,3,3.3
1173.12,19,1,Туда,1,0,1,4,4.4
1177.95,19,2,Туда,1,1,1,4,4.4
1182.59,19,3,Туда,3,1,3,6,6.7
1186.36,19,4,Туда,10,1,10,15,16.7
1192.32,19,5,Туда,13,8,13,20,22.2
1197.52,19,6,Туда,8,7,8,21,23.3
1202.43,20,7,Туда,5,8,5,18,20.0
1206.11,20,8,Туда,2,7,2,13,14.4
1209.30,20,9,Туда,1,6,1,8,8.9
1212.37,20,10,Туда,1,8,1,1,1.1
1215.82,20,10,Обратно,0,0,0,1,1.1
1218.55,20,9,Обратно,0,0,0,1,1.1
1221.33,20,8,Обратно,0,0,0,1,1.1
1224.35,20,7,Обратно,0,0,0,1,1.1
1227.17,20,6,Обратно,0,0,0,1,1.1
1229.99,20,5,Обратно,2,0,2,3,3.3
1233.54,20,4,Обратно,2,1,2,4,4.4
1236.21,20,3,Обратно,4,1,4,7,7.8
1239.43,20,2,Обратно,1,3,1,5,5.6
1242.80,20,1,Обратно,3,5,3,3,3.3
1285.12,21,1,Туда,0,0,0,3,3.3
1288.21,21,2,Туда,1,0,1,4,4.4
1291.29,21,3,Туда,1,1,1,4,4.4
1293.94,21,4,Туда,6,1,6,9,10.0
1297.69,21,5,Туда,3,4,3,8,8.9
1300.95,21,6,Туда,3,3,3,8,8.9
1304.10,21,7,Туда,6,3,6,11,12.2
1307.57,21,8,Туда,1,4,1,8,8.9
1310.58,21,9,Туда,0,3,0,5,5.6
1313.45,21,10,Туда,1,5,1,1,1.1
1316.75,21,10,Обратно,1,0,1,2,2.2
1319.60,21,9,Обратно,0,0,0,2,2.2
1322.33,22,8,Обратно,0,0,0,2,2.2
1325.39,22,7,Обратно,0,0,0,2,2.2
1328.30,22,6,Обратно,0,0,0,2,2.2
1331.25,22,5,Обратно,1,1,1,2,2.2
1334.79,22,4,Обратно,0,0,0,2,2.2
1337.28,22,3,Обратно,0,0,0,2,2.2
1340.26,22,2,Обратно,1,0,1,3,3.3
1343.39,22,1,Обратно,3,3,3,3,3.3
