Время (мин),Час,Остановка,Направление,Ожидало на остановке,Высадка,Посадка,Пассажиров в салоне,Загруженность (%)
468.00,7,1,Туда,25,0,25,25,27.8
473.95,7,2,Туда,8,6,8,27,30.0
479.05,7,3,Туда,17,7,17,37,41.1
486.55,8,4,Туда,37,11,37,63,70.0
499.45,8,5,Туда,29,34,29,58,64.4
510.70,8,6,Туда,17,22,17,53,58.9
520.75,8,7,Туда,46,21,46,78,86.7
532.80,8,8,Туда,17,34,17,61,67.8
542.85,9,9,Туда,3,28,3,36,40.0
551.90,9,10,Туда,14,36,14,14,15.6
557.40,9,10,Обратно,0,3,0,11,12.2
565.05,9,9,Обратно,10,2,10,19,21.1
573.15,9,8,Обратно,9,5,9,23,25.6
582.55,9,7,Обратно,10,7,10,26,28.9
591.50,9,6,Обратно,18,9,18,35,38.9
600.95,10,5,Обратно,7,20,7,22,24.4
606.56,10,4,Обратно,19,9,19,32,35.6
610.97,10,3,Обратно,3,14,3,21,23.3
615.59,10,2,Обратно,1,9,1,13,14.4
620.13,10,1,Обратно,3,13,3,3,3.3
625.46,10,1,Туда,4,0,4,7,7.8
629.52,10,2,Туда,0,1,0,6,6.7
633.33,10,3,Туда,2,1,2,7,7.8
636.47,10,4,Туда,8,2,8,13,14.4
641.37,10,5,Туда,6,7,6,12,13.3
645.62,10,6,Туда,5,4,5,13,14.4
649.63,10,7,Туда,7,5,7,15,16.7
653.98,10,8,Туда,2,6,2,11,12.2
657.68,10,9,Туда,4,5,4,10,11.1
661.57,11,10,Туда,0,10,0,0,0.0
665.07,11,10,Обратно,0,0,0,0,0.0
668.39,11,9,Обратно,2,0,2,2,2.2
671.88,11,8,Обратно,0,0,0,2,2.2
675.67,11,7,Обратно,8,0,8,10,11.1
679.68,11,6,Обратно,0,3,0,7,7.8
683.39,11,5,Обратно,7,4,7,10,11.1
688.38,11,4,Обратно,0,4,0,6,6.7
691.54,11,3,Обратно,8,2,8,12,13.3
695.80,11,2,Обратно,2,5,2,9,10.0
700.09,11,1,Обратно,7,9,7,7,7.8
745.46,12,1,Туда,0,1,0,6,6.7
749.40,12,2,Туда,4,1,4,9,10.0
