Время (мин),Час,Остановка,Направление,Ожидало на остановке,Высадка,Посадка,Пассажиров в салоне,Загруженность (%)
450.00,7,1,Туда,20,0,20,20,22.2
455.79,7,2,Туда,21,5,21,36,40.0
461.66,7,3,Туда,29,10,29,55,61.1
467.06,7,4,Туда,13,17,13,51,56.7
473.82,7,5,Туда,14,28,14,37,41.1
480.11,8,6,Туда,22,14,22,45,50.0
490.01,8,7,Туда,0,18,0,27,30.0
499.61,8,8,Туда,40,11,40,56,62.2
509.66,8,9,Туда,4,26,4,34,37.8
518.66,8,10,Туда,28,34,28,28,31.1
524.76,8,10,Обратно,9,6,9,31,34.4
533.01,8,9,Обратно,32,8,32,55,61.1
542.51,9,8,Обратно,1,15,1,41,45.6
552.01,9,7,Обратно,0,13,0,28,31.1
560.76,9,6,Обратно,0,9,0,19,21.1
569.31,9,5,Обратно,12,11,12,20,22.2
580.96,9,4,Обратно,0,8,0,12,13.3
587.66,9,3,Обратно,13,5,13,20,22.2
597.26,9,2,Обратно,15,9,15,26,28.9
607.76,10,1,Обратно,8,26,8,8,8.9
610.46,10,1,Туда,0,1,0,7,7.8
614.46,10,2,Туда,5,1,5,11,12.2
618.58,10,3,Туда,3,3,3,11,12.2
621.96,10,4,Туда,0,3,0,8,8.9
626.39,10,5,Туда,0,4,0,4,4.4
630.24,10,6,Туда,5,1,5,8,8.9
634.09,10,7,Туда,6,3,6,11,12.2
638.33,10,8,Туда,1,4,1,8,8.9
642.01,10,9,Туда,3,3,3,8,8.9
645.69,10,10,Туда,4,8,4,4,4.4
649.29,10,10,Обратно,0,0,0,4,4.4
652.73,10,9,Обратно,4,1,4,7,7.8
656.31,10,8,Обратно,0,2,0,5,5.6
660.07,11,7,Обратно,4,1,4,8,8.9
663.96,11,6,Обратно,0,2,0,6,6.7
667.54,11,5,Обратно,5,3,5,8,8.9
672.28,11,4,Обратно,4,3,4,9,10.0
675.59,11,3,Обратно,7,3,7,13,14.4
679.78,11,2,Обратно,1,6,1,8,8.9
684.07,11,1,Обратно,4,8,4,4,4.4
730.46,12,1,Туда,9,0,9,13,14.4
734.97,12,2,Туда,4,3,4,14,15.6
738.98,12,3,Туда,4,4,4,14,15.6
742.46,12,4,Туда,6,4,6,16,17.8
747.35,12,5,Туда,2,8,2,10,11.1
751.40,12,6,Туда,7,3,7,14,15.6
755.50,12,7,Туда,6,5,6,15,16.7
759.72,12,8,Туда,9,6,9,18,20.0
763.77,12,9,Туда,2,8,2,12,13.3
767.56,12,10,Туда,3,12,3,3,3.3
771.31,12,10,Обратно,3,0,3,6,6.7
774.86,12,9,Обратно,1,1,1,6,6.7
778.39,12,8,Обратно,0,1,0,5,5.6
782.09,13,7,Обратно,6,1,6,10,11.1
786.10,13,6,Обратно,3,3,3,10,11.1
789.92,13,5,Обратно,12,5,12,17,18.9
794.97,13,4,Обратно,3,6,3,14,15.6
798.39,13,3,Обратно,6,6,6,14,15.6
802.68,13,2,Обратно,2,6,2,10,11.1
807.05,13,1,Обратно,1,10,1,1,1.1
850.46,14,1,Туда,5,0,5,6,6.7
854.69,14,2,Туда,5,1,5,10,11.1
858.68,14,3,Туда,2,2,2,10,11.1
861.88,14,4,Туда,3,3,3,10,11.1
866.42,14,5,Туда,0,5,0,5,5.6
870.31,14,6,Туда,3,1,3,7,7.8
874.10,14,7,Туда,1,2,1,6,6.7
877.93,14,8,Туда,0,2,0,4,4.4
881.48,14,9,Туда,2,1,2,5,5.6
885.07,14,10,Туда,2,5,2,2,2.2
888.42,14,10,Обратно,0,0,0,2,2.2
891.76,14,9,Обратно,4,0,4,6,6.7
895.27,14,8,Обратно,3,1,3,8,8.9
899.28,14,7,Обратно,8,2,8,14,15.6
903.42,15,6,Обратно,1,4,1,11,12.2
907.23,15,5,Обратно,5,6,5,10,11.1
912.05,15,4,Обратно,1,4,1,7,7.8
915.35,15,3,Обратно,5,3,5,9,10.0
919.43,15,2,Обратно,3,4,3,8,8.9
923.72,15,1,Обратно,5,8,5,5,5.6
970.46,16,1,Туда,8,1,8,12,13.3
975.56,16,2,Туда,3,3,3,12,13.3
980.22,16,3,Туда,14,3,14,23,25.6
984.50,16,4,Туда,5,7,5,21,23.3
990.23,16,5,Туда,1,11,1,11,12.2
995.16,16,6,Туда,12,4,12,19,21.1
1000.34,16,7,Туда,2,7,2,14,15.6
1005.26,16,8,Туда,12,6,12,20,22.2
1010.16,16,9,Туда,0,9,0,11,12.2
1014.68,16,10,Туда,6,11,6,6,6.7
1018.53,16,10,Обратно,2,1,2,7,7.8
1022.65,17,9,Обратно,14,1,14,20,22.2
1030.90,17,8,Обратно,10,5,10,25,27.8
1040.35,17,7,Обратно,0,8,0,17,18.9
1048.85,17,6,Обратно,35,5,35,47,52.2
1058.95,17,5,Обратно,11,27,11,31,34.4
1071.35,17,4,Обратно,14,12,14,33,36.7
1078.95,17,3,Обратно,22,14,22,41,45.6
1089.45,18,2,Обратно,15,19,15,37,41.1
1100.45,18,1,Обратно,50,37,50,50,55.6
1105.80,18,1,Туда,12,11,12,51,56.7
1116.25,18,2,Туда,45,13,45,83,92.2
1127.85,18,3,Туда,25,24,25,84,93.3
1136.60,18,4,Туда,55,26,32,90,100.0
1144.93,19,5,Туда,28,49,28,69,76.7
1153.17,19,6,Туда,5,26,5,48,53.3
