Время (мин),Час,Остановка,Направление,Ожидало на остановке,Высадка,Посадка,Пассажиров в салоне,Загруженность (%)
378.00,6,1,Туда,2,0,2,2,2.2
381.28,6,2,Туда,9,0,9,11,12.2
384.77,6,3,Туда,29,3,29,37,41.1
388.92,6,4,Туда,36,11,36,62,68.9
394.66,6,5,Туда,17,34,17,45,50.0
400.10,6,6,Туда,41,17,41,69,76.7
405.88,6,7,Туда,29,28,29,70,77.8
411.76,6,8,Туда,22,30,22,62,68.9
417.11,6,9,Туда,15,29,15,48,53.3
423.37,7,10,Туда,5,48,5,5,5.6
429.02,7,10,Обратно,0,1,0,4,4.4
432.97,7,9,Обратно,1,1,1,4,4.4
437.20,7,8,Обратно,0,1,0,3,3.3
441.68,7,7,Обратно,26,0,26,29,32.2
447.16,7,6,Обратно,7,10,7,26,28.9
452.23,7,5,Обратно,1,15,1,12,13.3
458.19,7,4,Обратно,0,4,0,8,8.9
461.80,7,3,Обратно,0,3,0,5,5.6
466.31,7,2,Обратно,12,2,12,15,16.7
471.63,7,1,Обратно,2,15,2,2,2.2
502.00,8,1,Туда,7,0,7,9,10.0
511.65,8,2,Туда,11,2,11,18,20.0
521.00,8,3,Туда,11,5,11,24,26.7
528.10,8,4,Туда,7,7,7,24,26.7
539.30,8,5,Туда,13,13,13,24,26.7
548.70,9,6,Туда,3,9,3,18,20.0
557.40,9,7,Туда,1,7,1,12,13.3
566.50,9,8,Туда,0,5,0,7,7.8
574.25,9,9,Туда,5,3,5,9,10.0
582.15,9,10,Туда,1,9,1,1,1.1
585.65,9,10,Обратно,1,0,1,2,2.2
593.20,9,9,Обратно,4,0,4,6,6.7
600.90,10,8,Обратно,3,1,3,8,8.9
604.86,10,7,Обратно,13,2,13,19,21.1
609.23,10,6,Обратно,0,6,0,13,14.4
613.10,10,5,Обратно,0,7,0,6,6.7
617.88,10,4,Обратно,0,2,0,4,4.4
620.91,10,3,Обратно,0,1,0,3,3.3
624.81,10,2,Обратно,0,1,0,2,2.2
628.92,10,1,Обратно,0,2,0,0,0.0
640.46,10,1,Туда,4,0,4,4,4.4
644.55,10,2,Туда,10,1,10,13,14.4
648.92,10,3,Туда,13,3,13,23,25.6
652.66,10,4,Туда,1,7,1,17,18.9
657.28,10,5,Туда,5,9,5,13,14.4
661.60,11,6,Туда,2,4,2,11,12.2
665.44,11,7,Туда,2,4,2,9,10.0
669.47,11,8,Туда,6,3,6,12,13.3
673.25,11,9,Туда,1,5,1,8,8.9
676.91,11,10,Туда,7,8,7,7,7.8
680.66,11,10,Обратно,0,1,0,6,6.7
684.18,11,9,Обратно,8,1,8,13,14.4
688.00,11,8,Обратно,1,3,1,11,12.2
691.90,11,7,Обратно,3,3,3,11,12.2
695.82,11,6,Обратно,3,3,3,11,12.2
699.65,11,5,Обратно,6,6,6,11,12.2
704.60,11,4,Обратно,2,4,2,9,10.0
707.87,11,3,Обратно,9,3,9,15,16.7
712.23,11,2,Обратно,3,7,3,11,12.2
716.78,11,1,Обратно,1,11,1,1,1.1
760.46,12,1,Туда,0,0,0,1,1.1
764.40,12,2,Туда,2,0,2,3,3.3
768.33,12,3,Туда,4,0,4,7,7.8
771.56,12,4,Туда,7,2,7,12,13.3
776.31,12,5,Туда,3,6,3,9,10.0
780.41,13,6,Туда,7,3,7,13,14.4
784.48,13,7,Туда,1,5,1,9,10.0
788.50,13,8,Туда,3,3,3,9,10.0
792.20,13,9,Туда,1,4,1,6,6.7
795.90,13,10,Туда,9,6,9,9,10.0
799.65,13,10,Обратно,2,2,2,9,10.0
803.23,13,9,Обратно,4,2,4,11,12.2
806.92,13,8,Обратно,3,3,3,11,12.2
811.06,13,7,Обратно,5,3,5,13,14.4
815.04,13,6,Обратно,2,4,2,11,12.2
818.91,13,5,Обратно,9,6,9,14,15.6
824.01,13,4,Обратно,6,5,6,15,16.7
827.62,13,3,Обратно,10,6,10,19,21.1
832.20,13,2,Обратно,6,8,6,17,18.9
836.80,13,1,Обратно,1,17,1,1,1.1
880.46,14,1,Туда,0,0,0,1,1.1
884.30,14,2,Туда,1,0,1,2,2.2
888.10,14,3,Туда,1,0,1,3,3.3
