Время (мин),Час,Остановка,Направление,Ожидало на остановке,Высадка,Посадка,Пассажиров в салоне,Загруженность (%)
360.00,6,1,Туда,51,0,51,51,56.7
365.73,6,2,Туда,61,13,52,90,100.0
371.92,6,3,Туда,54,26,26,90,100.0
377.04,6,4,Туда,62,28,28,90,100.0
383.22,6,5,Туда,66,49,49,90,100.0
390.98,6,6,Туда,73,34,34,90,100.0
397.26,6,7,Туда,62,36,36,90,100.0
403.79,6,8,Туда,61,39,39,90,100.0
410.44,6,9,Туда,55,42,42,90,100.0
417.42,6,10,Туда,72,90,72,72,80.0
428.52,7,10,Обратно,1,16,1,57,63.3
433.38,7,9,Обратно,0,14,0,43,47.8
438.11,7,8,Обратно,1,12,1,32,35.6
443.12,7,7,Обратно,0,10,0,22,24.4
447.87,7,6,Обратно,0,7,0,15,16.7
452.37,7,5,Обратно,0,8,0,7,7.8
457.97,7,4,Обратно,10,2,10,15,16.7
462.07,7,3,Обратно,0,6,0,9,10.0
467.01,7,2,Обратно,2,4,2,7,7.8
472.11,7,1,Обратно,0,7,0,0,0.0
494.00,8,1,Туда,17,0,17,17,18.9
504.15,8,2,Туда,14,4,14,27,30.0
513.75,8,3,Туда,11,7,11,31,34.4
520.95,8,4,Туда,29,9,29,51,56.7
533.35,8,5,Туда,0,28,0,23,25.6
542.85,9,6,Туда,0,8,0,15,16.7
551.35,9,7,Туда,1,6,1,10,11.1
560.40,9,8,Туда,13,4,13,19,21.1
568.75,9,9,Туда,0,8,0,11,12.2
576.65,9,10,Туда,9,11,9,9,10.0
580.65,9,10,Обратно,3,2,3,10,11.1
588.40,9,9,Обратно,3,2,3,11,12.2
596.15,9,8,Обратно,0,3,0,8,8.9
605.00,10,7,Обратно,0,2,0,6,6.7
608.77,10,6,Обратно,0,2,0,4,4.4
612.42,10,5,Обратно,10,2,10,12,13.3
617.45,10,4,Обратно,3,4,3,11,12.2
620.80,10,3,Обратно,0,4,0,7,7.8
624.86,10,2,Обратно,0,3,0,4,4.4
629.05,10,1,Обратно,0,4,0,0,0.0
670.46,11,1,Туда,4,0,4,4,4.4
674.61,11,2,Туда,1,1,1,4,4.4
678.37,11,3,Туда,2,1,2,5,5.6
681.59,11,4,Туда,4,1,4,8,8.9
686.04,11,5,Туда,0,4,0,4,4.4
689.88,11,6,Туда,5,1,5,8,8.9
693.72,11,7,Туда,2,3,2,7,7.8
697.68,11,8,Туда,7,3,7,11,12.2
701.56,11,9,Туда,1,5,1,7,7.8
705.20,11,10,Туда,4,7,4,4,4.4
708.75,11,10,Обратно,1,0,1,5,5.6
712.15,11,9,Обратно,2,1,2,6,6.7
715.60,11,8,Обратно,0,1,0,5,5.6
719.48,11,7,Обратно,9,1,9,13,14.4
723.52,12,6,Обратно,4,4,4,13,14.4
727.49,12,5,Обратно,6,7,6,12,13.3
732.47,12,4,Обратно,5,4,5,13,14.4
735.93,12,3,Обратно,9,5,9,17,18.9
740.47,12,2,Обратно,2,7,2,12,13.3
744.84,12,1,Обратно,5,12,5,5,5.6
790.46,13,1,Туда,3,1,3,7,7.8
794.54,13,2,Туда,3,1,3,9,10.0
798.56,13,3,Туда,0,2,0,7,7.8
801.65,13,4,Туда,0,2,0,5,5.6
806.07,13,5,Туда,0,2,0,3,3.3
809.74,13,6,Туда,6,1,6,8,8.9
813.70,13,7,Туда,0,3,0,5,5.6
817.70,13,8,Туда,4,2,4,7,7.8
821.29,13,9,Туда,0,3,0,4,4.4
824.85,13,10,Туда,1,4,1,1,1.1
828.10,13,10,Обратно,2,0,2,3,3.3
831.53,13,9,Обратно,3,0,3,6,6.7
835.03,13,8,Обратно,0,1,0,5,5.6
838.75,13,7,Обратно,4,1,4,8,8.9
842.54,14,6,Обратно,0,2,0,6,6.7
846.25,14,5,Обратно,3,3,3,6,6.7
850.85,14,4,Обратно,0,2,0,4,4.4
853.98,14,3,Обратно,2,1,2,5,5.6
857.88,14,2,Обратно,1,2,1,4,4.4
861.88,14,1,Обратно,5,4,5,5,5.6
910.46,15,1,Туда,0,1,0,4,4.4
914.54,15,2,Туда,4,1,4,7,7.8
918.65,15,3,Туда,3,2,3,8,8.9
921.83,15,4,Туда,3,2,3,9,10.0
926.36,15,5,Туда,0,4,0,5,5.6
930.04,15,6,Туда,8,1,8,12,13.3
933.96,15,7,Туда,3,4,3,11,12.2
938.11,15,8,Туда,2,4,2,9,10.0
941.77,15,9,Туда,4,4,4,9,10.0
945.64,15,10,Туда,6,9,6,6,6.7
949.39,15,10,Обратно,4,1,4,9,10.0
953.07,15,9,Обратно,1,2,1,8,8.9
956.63,15,8,Обратно,3,2,3,9,10.0
960.64,16,7,Обратно,5,2,5,12,13.3
965.31,16,6,Обратно,4,4,4,12,13.3
969.95,16,5,Обратно,15,6,15,21,23.3
976.36,16,4,Обратно,7,8,7,20,22.2
980.69,16,3,Обратно,0,8,0,12,13.3
985.68,16,2,Обратно,7,5,7,14,15.6
991.14,16,1,Обратно,2,14,2,2,2.2
1030.46,17,1,Туда,16,0,16,18,20.0
1040.56,17,2,Туда,20,4,20,34,37.8
1050.46,17,3,Туда,5,9,5,30,33.3
1057.46,17,4,Туда,27,9,27,48,53.3
1069.76,17,5,Туда,18,26,18,40,44.4
1080.06,18,6,Туда,2,15,2,27,30.0
1089.01,18,7,Туда,21,11,21,37,41.1
1099.31,18,8,Туда,7,16,7,28,31.1
1107.96,18,9,Туда,22,13,22,37,41.1
1117.21,18,10,Туда,18,37,18,18,20.0
1122.96,18,10,Обратно,3,4,3,17,18.9
1130.81,18,9,Обратно,18,4,18,31,34.4
1139.41,18,8,Обратно,25,8,25,48,53.3
1145.50,19,7,Обратно,0,15,0,33,36.7
1150.37,19,6,Обратно,0,11,0,22,24.4
1155.14,19,5,Обратно,2,12,2,12,13.3
1160.98,19,4,Обратно,3,4,3,11,12.2
1164.87,19,3,Обратно,1,4,1,8,8.9
1169.71,19,2,Обратно,1,3,1,6,6.7
1174.79,19,1,Обратно,1,6,1,1,1.1
1189.12,19,1,Туда,6,0,6,7,7.8
1194.02,19,2,Туда,9,1,9,15,16.7
1198.95,19,3,Туда,8,4,8,19,21.1
