Время (мин),Час,Остановка,Направление,Ожидало на остановке,Высадка,Посадка,Пассажиров в салоне,Загруженность (%)
432.00,7,1,Туда,18,0,18,18,20.0
437.58,7,2,Туда,23,4,23,37,41.1
443.29,7,3,Туда,29,10,29,56,62.2
448.70,7,4,Туда,30,17,30,69,76.7
456.45,7,5,Туда,4,37,4,36,40.0
462.80,7,6,Туда,27,13,27,50,55.6
469.12,7,7,Туда,29,20,29,59,65.6
476.08,7,8,Туда,30,25,30,64,71.1
482.80,8,9,Туда,12,30,12,46,51.1
492.40,8,10,Туда,24,46,24,24,26.7
498.90,8,10,Обратно,8,5,8,27,30.0
507.05,8,9,Обратно,21,7,21,41,45.6
515.95,8,8,Обратно,25,11,25,55,61.1
526.45,8,7,Обратно,7,17,7,45,50.0
535.75,8,6,Обратно,38,15,38,68,75.6
546.50,9,5,Обратно,8,39,8,37,41.1
559.35,9,4,Обратно,19,15,19,41,45.6
567.35,9,3,Обратно,31,18,31,54,60.0
578.50,9,2,Обратно,13,25,13,42,46.7
589.70,9,1,Обратно,23,42,23,23,25.6
593.95,9,1,Туда,3,5,3,21,23.3
603.65,10,2,Туда,2,5,2,18,20.0
607.70,10,3,Туда,12,5,12,25,27.8
611.53,10,4,Туда,2,8,2,19,21.1
616.47,10,5,Туда,0,10,0,9,10.0
620.51,10,6,Туда,6,3,6,12,13.3
624.51,10,7,Туда,9,4,9,17,18.9
628.97,10,8,Туда,7,7,7,17,18.9
633.10,10,9,Туда,1,7,1,11,12.2
636.90,10,10,Туда,6,11,6,6,6.7
640.75,10,10,Обратно,2,1,2,7,7.8
644.27,10,9,Обратно,1,1,1,7,7.8
647.69,10,8,Обратно,4,2,4,9,10.0
651.68,10,7,Обратно,3,2,3,10,11.1
655.44,10,6,Обратно,7,3,7,14,15.6
659.53,10,5,Обратно,2,8,2,8,8.9
664.28,11,4,Обратно,5,3,5,10,11.1
667.68,11,3,Обратно,0,4,0,6,6.7
671.57,11,2,Обратно,2,2,2,6,6.7
675.65,11,1,Обратно,0,6,0,0,0.0
715.46,11,1,Туда,5,0,5,5,5.6
719.68,11,2,Туда,2,1,2,6,6.7
723.68,12,3,Туда,0,1,0,5,5.6
726.73,12,4,Туда,4,1,4,8,8.9
731.29,12,5,Туда,3,4,3,7,7.8
735.21,12,6,Туда,10,2,10,15,16.7
739.47,12,7,Туда,5,6,5,14,15.6
743.86,12,8,Туда,4,6,4,12,13.3
747.75,12,9,Туда,2,5,2,9,10.0
751.44,12,10,Туда,4,9,4,4,4.4
755.09,12,10,Обратно,3,0,3,7,7.8
758.68,12,9,Обратно,10,1,10,16,17.8
762.56,12,8,Обратно,0,4,0,12,13.3
766.59,12,7,Обратно,7,3,7,16,17.8
770.71,12,6,Обратно,4,5,4,15,16.7
774.70,12,5,Обратно,11,8,11,18,20.0
779.97,12,4,Обратно,5,7,5,16,17.8
783.55,13,3,Обратно,0,7,0,9,10.0
787.74,13,2,Обратно,4,4,4,9,10.0
791.96,13,1,Обратно,0,9,0,0,0.0
835.46,13,1,Туда,7,0,7,7,7.8
839.74,13,2,Туда,4,1,4,10,11.1
843.85,14,3,Туда,0,2,0,8,8.9
846.90,14,4,Туда,4,2,4,10,11.1
851.45,14,5,Туда,2,5,2,7,7.8
855.33,14,6,Туда,7,2,7,12,13.3
859.42,14,7,Туда,0,4,0,8,8.9
863.31,14,8,Туда,4,3,4,9,10.0
867.00,14,9,Туда,1,4,1,6,6.7
870.56,14,10,Туда,5,6,5,5,5.6
874.11,14,10,Обратно,1,1,1,5,5.6
877.61,14,9,Обратно,3,1,3,7,7.8
881.24,14,8,Обратно,0,2,0,5,5.6
885.00,14,7,Обратно,7,1,7,11,12.2
889.05,14,6,Обратно,2,3,2,10,11.1
892.76,14,5,Обратно,1,5,1,6,6.7
897.49,14,4,Обратно,6,2,6,10,11.1
900.84,15,3,Обратно,6,4,6,12,13.3
905.21,15,2,Обратно,1,5,1,8,8.9
909.47,15,1,Обратно,4,8,4,4,4.4
955.46,15,1,Туда,1,0,1,5,5.6
959.55,15,2,Туда,9,1,9,13,14.4
964.42,16,3,Туда,3,3,3,13,14.4
968.28,16,4,Туда,11,4,11,20,22.2
974.21,16,5,Туда,2,11,2,11,12.2
978.99,16,6,Туда,10,4,10,17,18.9
983.86,16,7,Туда,3,6,3,14,15.6
988.68,16,8,Туда,8,6,8,16,17.8
993.26,16,9,Туда,1,7,1,10,11.1
997.64,16,10,Туда,7,10,7,7,7.8
1001.49,16,10,Обратно,0,1,0,6,6.7
1005.47,16,9,Обратно,7,1,7,12,13.3
1009.77,16,8,Обратно,4,3,4,13,14.4
1014.65,16,7,Обратно,9,4,9,18,20.0
1019.57,16,6,Обратно,3,6,3,15,16.7
1028.12,17,5,Обратно,12,8,12,19,21.1
1039.62,17,4,Обратно,3,7,3,15,16.7
1046.42,17,3,Обратно,26,6,26,35,38.9
1056.72,17,2,Обратно,0,16,0,19,21.1
1066.82,17,1,Обратно,14,19,14,14,15.6
1069.47,17,1,Туда,0,3,0,11,12.2
1078.92,17,2,Туда,20,2,20,29,32.2
1088.72,18,3,Туда,8,8,8,29,32.2
1095.82,18,4,Туда,40,9,40,60,66.7
1108.77,18,5,Туда,35,33,35,62,68.9
1120.27,18,6,Туда,10,23,10,49,54.4
1130.02,18,7,Туда,36,20,36,65,72.2
1141.52,19,8,Туда,2,28,2,39,43.3
1147.11,19,9,Туда,0,18,0,21,23.3
1152.02,19,10,Туда,16,21,16,16,17.8
1156.87,19,10,Обратно,5,3,5,18,20.0
1161.20,19,9,Обратно,10,4,10,24,26.7
1165.81,19,8,Обратно,0,6,0,18,20.0
1170.67,19,7,Обратно,9,5,9,22,24.4
1175.74,19,6,Обратно,9,7,9,24,26.7
1180.93,19,5,Обратно,3,13,3,14,15.6
1186.91,19,4,Обратно,0,5,0,9,10.0
1190.61,19,3,Обратно,4,3,4,10,11.1
1195.49,19,2,Обратно,0,4,0,6,6.7
1200.39,20,1,Обратно,0,6,0,0,0.0
1205.12,20,1,Туда,3,0,3,3,3.3
1208.39,20,2,Туда,3,0,3,6,6.7
1211.59,20,3,Туда,0,1,0,5,5.6
1214.15,20,4,Туда,0,1,0,4,4.4
1217.63,20,5,Туда,5,2,5,7,7.8
1220.91,20,6,Туда,0,2,0,5,5.6
1223.92,20,7,Туда,3,2,3,6,6.7
1227.18,20,8,Туда,0,2,0,4,4.4
1230.02,20,9,Туда,0,1,0,3,3.3
1232.88,20,10,Туда,2,3,2,2,2.2
1236.13,20,10,Обратно,2,0,2,4,4.4
1238.99,20,9,Обратно,4,1,4,7,7.8
1242.00,20,8,Обратно,4,2,4,9,10.0
1245.28,20,7,Обратно,1,2,1,8,8.9
1248.25,20,6,Обратно,2,2,2,8,8.9
1251.32,20,5,Обратно,3,4,3,7,7.8
1255.01,20,4,Обратно,0,2,0,5,5.6
1257.65,20,3,Обратно,0,2,0,3,3.3
1260.80,21,2,Обратно,4,1,4,6,6.7
1264.13,21,1,Обратно,1,6,1,1,1.1
1365.12,22,1,Туда,0,0,0,1,1.1
1368.21,22,2,Туда,1,0,1,2,2.2
1371.28,22,3,Туда,1,0,1,3,3.3
1373.84,22,4,Туда,0,0,0,3,3.3
1377.18,22,5,Туда,1,1,1,3,3.3
1380.20,23,6,Туда,0,1,0,2,2.2
1382.68,23,7,Туда,0,0,0,2,2.2
1385.23,23,8,Туда,0,0,0,2,2.2
1387.57,23,9,Туда,0,0,0,2,2.2
1389.90,23,10,Туда,0,2,0,0,0.0
1393.00,23,10,Обратно,0,0,0,0,0.0
1395.37,23,9,Обратно,0,0,0,0,0.0
1397.73,23,8,Обратно,0,0,0,0,0.0
1400.25,23,7,Обратно,0,0,0,0,0.0
1402.65,23,6,Обратно,0,0,0,0,0.0
1405.07,23,5,Обратно,0,0,0,0,0.0
1407.88,23,4,Обратно,0,0,0,0,0.0
1410.06,23,3,Обратно,0,0,0,0,0.0
1412.54,23,2,Обратно,0,0,0,0,0.0
1415.08,23,1,Обратно,0,0,0,0,0.0
