Время (мин),Час,Остановка,Направление,Ожидало на остановке,Высадка,Посадка,Пассажиров в салоне,Загруженность (%)
396.00,6,1,Туда,3,0,3,3,3.3
399.27,6,2,Туда,0,0,0,3,3.3
402.31,6,3,Туда,1,0,1,4,4.4
404.89,6,4,Туда,3,1,3,6,6.7
408.42,6,5,Туда,4,3,4,7,7.8
411.63,6,6,Туда,3,2,3,8,8.9
414.78,6,7,Туда,2,3,2,7,7.8
418.09,6,8,Туда,0,3,0,4,4.4
420.97,7,9,Туда,1,1,1,4,4.4
425.07,7,10,Туда,0,4,0,0,0.0
428.27,7,10,Обратно,0,0,0,0,0.0
432.34,7,9,Обратно,9,0,9,9,10.0
436.77,7,8,Обратно,24,2,24,31,34.4
442.61,7,7,Обратно,0,9,0,22,24.4
447.30,7,6,Обратно,0,7,0,15,16.7
451.81,7,5,Обратно,28,8,28,35,38.9
458.78,7,4,Обратно,2,14,2,23,25.6
463.15,7,3,Обратно,1,10,1,14,15.6
468.10,7,2,Обратно,1,6,1,9,10.0
473.27,7,1,Обратно,0,9,0,0,0.0
510.00,8,1,Туда,8,0,8,8,8.9
519.70,8,2,Туда,11,2,11,17,18.9
529.05,8,3,Туда,16,4,16,29,32.2
536.35,8,4,Туда,6,9,6,26,28.9
547.60,9,5,Туда,2,14,2,14,15.6
556.50,9,6,Туда,4,5,4,13,14.4
565.05,9,7,Туда,8,5,8,16,17.8
574.40,9,8,Туда,0,7,0,9,10.0
582.25,9,9,Туда,5,4,5,10,11.1
590.20,9,10,Туда,3,10,3,3,3.3
593.85,9,10,Обратно,5,0,5,8,8.9
601.60,10,9,Обратно,0,2,0,6,6.7
605.15,10,8,Обратно,0,1,0,5,5.6
609.03,10,7,Обратно,2,1,2,6,6.7
612.82,10,6,Обратно,1,2,1,5,5.6
616.50,10,5,Обратно,0,2,0,3,3.3
620.98,10,4,Обратно,1,1,1,3,3.3
624.15,10,3,Обратно,0,1,0,2,2.2
627.94,10,2,Обратно,1,0,1,3,3.3
632.02,10,1,Обратно,0,3,0,0,0.0
685.46,11,1,Туда,0,0,0,0,0.0
689.47,11,2,Туда,2,0,2,2,2.2
693.27,11,3,Туда,0,0,0,2,2.2
696.22,11,4,Туда,9,0,9,11,12.2
700.89,11,5,Туда,0,6,0,5,5.6
704.77,11,6,Туда,4,1,4,8,8.9
708.48,11,7,Туда,0,3,0,5,5.6
712.35,11,8,Туда,4,2,4,7,7.8
715.97,11,9,Туда,1,3,1,5,5.6
719.48,11,10,Туда,5,5,5,5,5.6
722.98,12,10,Обратно,3,1,3,7,7.8
