ID трамвая,Всего рейсов,Обслужено пассажиров,Средняя загруженность (%),Макс загруженность (%),Всего остановок посещено
1,8,1030,17.5,100.0,160
2,8,1076,17.1,78.9,160
3,8,582,10.0,38.9,160
4,8,807,13.5,70.0,160
5,8,1021,16.9,76.7,160
6,8,994,17.0,100.0,160
7,8,913,16.1,86.7,150
8,7,832,15.7,100.0,140
