Время (мин),Час,Остановка,Направление,Ожидало на остановке,Высадка,Посадка,Пассажиров в салоне,Загруженность (%)
468.00,7,1,Туда,28,0,28,28,31.1
474.50,7,2,Туда,20,7,20,41,45.6
480.48,8,3,Туда,35,11,35,65,72.2
492.08,8,4,Туда,40,20,40,85,94.4
504.38,8,5,Туда,22,46,22,61,67.8
517.68,8,6,Туда,39,23,39,77,85.6
528.28,8,7,Туда,20,31,20,66,73.3
537.13,8,8,Туда,17,29,17,54,60.0
545.73,9,9,Туда,18,25,18,47,52.2
557.18,9,10,Туда,11,47,11,11,12.2
563.08,9,10,Обратно,2,2,2,11,12.2
572.58,9,9,Обратно,4,2,4,13,14.4
579.18,9,8,Обратно,11,3,11,21,23.3
586.18,9,7,Обратно,11,6,11,26,28.9
594.53,9,6,Обратно,2,9,2,19,21.1
604.98,10,5,Обратно,4,11,4,12,13.3
609.60,10,4,Обратно,1,4,1,9,10.0
613.79,10,3,Обратно,3,3,3,9,10.0
617.94,10,2,Обратно,0,4,0,5,5.6
622.25,10,1,Обратно,3,5,3,3,3.3
627.65,10,1,Туда,0,0,0,3,3.3
631.77,10,2,Туда,3,0,3,6,6.7
635.74,10,3,Туда,4,1,4,9,10.0
639.84,10,4,Туда,0,2,0,7,7.8
643.83,10,5,Туда,0,3,0,4,4.4
648.05,10,6,Туда,0,1,0,3,3.3
651.43,10,7,Туда,0,1,0,2,2.2
654.48,10,8,Туда,7,0,7,9,10.0
657.79,10,9,Туда,1,4,1,6,6.7
661.97,11,10,Туда,3,6,3,3,3.3
665.42,11,10,Обратно,3,0,3,6,6.7
669.54,11,9,Обратно,6,1,6,11,12.2
672.87,11,8,Обратно,0,3,0,8,8.9
675.96,11,7,Обратно,6,2,6,12,13.3
679.78,11,6,Обратно,0,4,0,8,8.9
684.18,11,5,Обратно,6,4,6,10,11.1
688.72,11,4,Обратно,5,4,5,11,12.2
693.12,11,3,Обратно,4,4,4,11,12.2
697.34,11,2,Обратно,4,5,4,10,11.1
701.97,11,1,Обратно,1,10,1,1,1.1
747.65,12,1,Туда,9,0,9,10,11.1
752.16,12,2,Туда,6,2,6,14,15.6
756.22,12,3,Туда,0,4,0,10,11.1
760.39,12,4,Туда,6,3,6,13,14.4
764.84,12,5,Туда,2,7,2,8,8.9
769.34,12,6,Туда,6,3,6,11,12.2
773.24,12,7,Туда,3,4,3,10,11.1
776.62,12,8,Туда,10,4,10,16,17.8
780.39,13,9,Туда,2,7,2,11,12.2
784.69,13,10,Туда,8,11,8,8,8.9
788.64,13,10,Обратно,0,1,0,7,7.8
792.70,13,9,Обратно,8,1,8,14,15.6
796.22,13,8,Обратно,3,4,3,13,14.4
799.55,13,7,Обратно,8,4,8,17,18.9
803.45,13,6,Обратно,4,5,4,16,17.8
807.97,13,5,Обратно,3,9,3,10,11.1
812.48,13,4,Обратно,6,4,6,12,13.3
816.88,13,3,Обратно,0,5,0,7,7.8
820.92,13,2,Обратно,6,3,6,10,11.1
825.50,13,1,Обратно,0,10,0,0,0.0
867.65,14,1,Туда,1,0,1,1,1.1
871.80,14,2,Туда,0,0,0,1,1.1
875.47,14,3,Туда,10,0,10,11,12.2
879.83,14,4,Туда,3,3,3,11,12.2
883.97,14,5,Туда,1,6,1,6,6.7
888.40,14,6,Туда,5,2,5,9,10.0
892.21,14,7,Туда,4,3,4,10,11.1
895.61,14,8,Туда,0,4,0,6,6.7
898.85,14,9,Туда,2,2,2,6,6.7
903.00,15,10,Туда,7,6,7,7,7.8
906.65,15,10,Обратно,0,1,0,6,6.7
910.69,15,9,Обратно,10,1,10,15,16.7
914.18,15,8,Обратно,1,4,1,12,13.3
917.49,15,7,Обратно,7,3,7,16,17.8
921.33,15,6,Обратно,2,5,2,13,14.4
925.78,15,5,Обратно,9,7,9,15,16.7
930.43,15,4,Обратно,0,6,0,9,10.0
934.57,15,3,Обратно,9,3,9,15,16.7
938.95,15,2,Обратно,6,7,6,14,15.6
943.83,15,1,Обратно,1,14,1,1,1.1
987.65,16,1,Туда,3,0,3,4,4.4
992.92,16,2,Туда,5,1,5,8,8.9
997.77,16,3,Туда,9,2,9,15,16.7
1003.20,16,4,Туда,7,4,7,18,20.0
1008.50,16,5,Туда,7,9,7,16,17.8
1014.14,16,6,Туда,11,6,11,21,23.3
1019.10,16,7,Туда,16,8,16,29,32.2
1026.60,17,8,Туда,11,12,11,28,31.1
1034.05,17,9,Туда,1,13,1,16,17.8
1044.05,17,10,Туда,26,16,26,26,28.9
1049.15,17,10,Обратно,7,5,7,28,31.1
1059.05,17,9,Обратно,3,7,3,24,26.7
1065.85,17,8,Обратно,26,6,26,44,48.9
1073.75,17,7,Обратно,39,14,39,69,76.7
1083.90,18,6,Обратно,29,24,29,74,82.2
1096.45,18,5,Обратно,11,42,11,43,47.8
1108.40,18,4,Обратно,49,17,49,75,83.3
1121.00,18,3,Обратно,25,33,25,67,74.4
1132.60,18,2,Обратно,9,31,9,45,50.0
1144.50,19,1,Обратно,14,45,14,14,15.6
1148.45,19,1,Туда,3,3,3,14,15.6
1153.74,19,2,Туда,0,3,0,11,12.2
1158.41,19,3,Туда,15,3,15,23,25.6
1164.05,19,4,Туда,0,7,0,16,17.8
1169.07,19,5,Туда,4,8,4,12,13.3
1174.73,19,6,Туда,13,4,13,21,23.3
1179.64,19,7,Туда,13,8,13,26,28.9
1184.16,19,8,Туда,0,11,0,15,16.7
1188.22,19,9,Туда,0,7,0,8,8.9
1193.23,19,10,Туда,11,8,11,11,12.2
1197.18,19,10,Обратно,1,2,1,10,11.1
1202.08,20,9,Обратно,4,2,4,12,13.3
1204.90,20,8,Обратно,1,3,1,10,11.1
1207.64,20,7,Обратно,5,3,5,12,13.3
1210.83,20,6,Обратно,0,4,0,8,8.9
1214.27,20,5,Обратно,1,4,1,5,5.6
1217.66,20,4,Обратно,0,2,0,3,3.3
1220.96,20,3,Обратно,5,1,5,7,7.8
1224.25,20,2,Обратно,3,3,3,7,7.8
1227.84,20,1,Обратно,2,7,2,2,2.2
1263.47,21,1,Туда,0,0,0,2,2.2
1266.69,21,2,Туда,4,0,4,6,6.7
1269.86,21,3,Туда,4,1,4,9,10.0
1273.23,21,4,Туда,5,2,5,12,13.3
1276.65,21,5,Туда,4,6,4,10,11.1
1280.49,21,6,Туда,7,3,7,14,15.6
1283.78,21,7,Туда,4,5,4,13,14.4
1286.70,21,8,Туда,4,5,4,12,13.3
1289.64,21,9,Туда,1,5,1,8,8.9
1293.12,21,10,Туда,6,8,6,6,6.7
1296.82,21,10,Обратно,0,1,0,5,5.6
1299.94,21,9,Обратно,5,1,5,9,10.0
1302.79,21,8,Обратно,5,2,5,12,13.3
1305.62,21,7,Обратно,0,3,0,9,10.0
1308.56,21,6,Обратно,0,3,0,6,6.7
1311.90,21,5,Обратно,4,3,4,7,7.8
1315.46,21,4,Обратно,0,2,0,5,5.6
1318.68,21,3,Обратно,3,2,3,6,6.7
1321.92,22,2,Обратно,0,2,0,4,4.4
1325.27,22,1,Обратно,0,4,0,0,0.0
