Время (мин),Час,Остановка,Направление,Ожидало на остановке,Высадка,Посадка,Пассажиров в салоне,Загруженность (%)
868.98,14,9,Туда,1,4,1,7,7.8
873.07,14,10,Туда,3,7,3,3,3.3
876.57,14,10,Обратно,0,0,0,3,3.3
880.54,14,9,Обратно,6,0,6,9,10.0
883.86,14,8,Обратно,0,2,0,7,7.8
887.02,14,7,Обратно,3,2,3,8,8.9
890.71,14,6,Обратно,0,2,0,6,6.7
894.88,14,5,Обратно,7,3,7,10,11.1
899.25,14,4,Обратно,1,4,1,7,7.8
903.49,15,3,Обратно,5,3,5,9,10.0
907.54,15,2,Обратно,1,4,1,6,6.7
911.99,15,1,Обратно,2,6,2,2,2.2
957.65,15,1,Туда,5,0,5,7,7.8
962.10,16,2,Туда,5,1,5,11,12.2
966.89,16,3,Туда,2,3,2,10,11.1
971.75,16,4,Туда,10,3,10,17,18.9
977.29,16,5,Туда,6,9,6,14,15.6
982.94,16,6,Туда,14,5,14,23,25.6
987.80,16,7,Туда,9,9,9,23,25.6
992.16,16,8,Туда,13,10,13,26,28.9
996.74,16,9,Туда,3,12,3,17,18.9
1002.34,16,10,Туда,11,17,11,11,12.2
1006.74,16,10,Обратно,1,2,1,10,11.1
1011.63,16,9,Обратно,17,2,17,25,27.8
1016.04,16,8,Обратно,4,7,4,22,24.4
1020.19,17,7,Обратно,0,7,0,15,16.7
1028.04,17,6,Обратно,23,5,23,33,36.7
1039.34,17,5,Обратно,34,19,34,48,53.3
1051.29,17,4,Обратно,11,19,11,40,44.4
1062.09,17,3,Обратно,2,17,2,25,27.8
1071.74,17,2,Обратно,19,11,19,33,36.7
1083.14,18,1,Обратно,48,33,48,48,53.3
1088.19,18,1,Туда,5,11,5,42,46.7
1098.89,18,2,Туда,0,10,0,32,35.6
1108.09,18,3,Туда,33,9,33,56,62.2
1119.49,18,4,Туда,26,17,26,65,72.2
1130.94,18,5,Туда,22,35,22,52,57.8
1143.69,19,6,Туда,36,19,36,69,76.7
1150.52,19,7,Туда,3,28,3,44,48.9
1155.56,19,8,Туда,8,19,8,33,36.7
1160.35,19,9,Туда,14,15,14,32,35.6
1166.67,19,10,Туда,27,32,27,27,30.0
1172.62,19,10,Обратно,6,6,6,27,30.0
1178.01,19,9,Обратно,2,7,2,22,24.4
1181.99,19,8,Обратно,15,6,15,31,34.4
1186.54,19,7,Обратно,3,9,3,25,27.8
1191.20,19,6,Обратно,1,8,1,18,20.0
1196.80,19,5,Обратно,12,10,12,20,22.2
1202.67,20,4,Обратно,1,8,1,13,14.4
1206.20,20,3,Обратно,2,5,2,10,11.1
1209.49,20,2,Обратно,0,4,0,6,6.7
1212.89,20,1,Обратно,6,6,6,6,6.7
1223.47,20,1,Туда,2,1,2,7,7.8
1226.92,20,2,Туда,0,1,0,6,6.7
1229.90,20,3,Туда,6,1,6,11,12.2
1233.44,20,4,Туда,1,3,1,9,10.0
1236.77,20,5,Туда,0,4,0,5,5.6
1240.16,20,6,Туда,1,1,1,5,5.6
1243.08,20,7,Туда,1,2,1,4,4.4
1245.77,20,8,Туда,5,1,5,8,8.9
1248.58,20,9,Туда,6,3,6,11,12.2
1252.18,20,10,Туда,2,11,2,2,2.2
1255.83,20,10,Обратно,2,0,2,4,4.4
1259.11,20,9,Обратно,3,1,3,6,6.7
1261.77,21,8,Обратно,7,1,7,12,13.3
1264.64,21,7,Обратно,0,3,0,9,10.0
1267.59,21,6,Обратно,3,3,3,9,10.0
1271.17,21,5,Обратно,4,5,4,8,8.9
1274.81,21,4,Обратно,0,3,0,5,5.6
1278.03,21,3,Обратно,4,2,4,7,7.8
1281.32,21,2,Обратно,0,3,0,4,4.4
1284.76,21,1,Обратно,0,4,0,0,0.0
1383.47,23,1,Туда,0,0,0,0,0.0
1386.09,23,2,Туда,0,0,0,0,0.0
1388.57,23,3,Туда,0,0,0,0,0.0
1391.20,23,4,Туда,0,0,0,0,0.0
1393.74,23,5,Туда,0,0,0,0,0.0
1396.46,23,6,Туда,0,0,0,0,0.0
1398.78,23,7,Туда,0,0,0,0,0.0
1400.96,23,8,Туда,0,0,0,0,0.0
1403.13,23,9,Туда,0,0,0,0,0.0
1405.72,23,10,Туда,0,0,0,0,0.0
1408.72,23,10,Обратно,0,0,0,0,0.0
1411.30,23,9,Обратно,0,0,0,0,0.0
1413.45,23,8,Обратно,0,0,0,0,0.0
1415.63,23,7,Обратно,0,0,0,0,0.0
1417.97,23,6,Обратно,0,0,0,0,0.0
1420.64,23,5,Обратно,0,0,0,0,0.0
1423.22,23,4,Обратно,0,0,0,0,0.0
1425.80,23,3,Обратно,0,0,0,0,0.0
1428.33,23,2,Обратно,0,0,0,0,0.0
1431.03,23,1,Обратно,0,0,0,0,0.0
