Время (мин),Час,Остановка,Направление,Ожидало на остановке,Высадка,Посадка,Пассажиров в салоне,Загруженность (%)
432.00,7,1,Туда,18,0,18,18,20.0
438.05,7,2,Туда,23,4,23,37,41.1
443.88,7,3,Туда,114,10,63,90,100.0
452.23,7,4,Туда,98,28,28,90,100.0
459.81,7,5,Туда,61,49,49,90,100.0
469.64,7,6,Туда,118,34,34,90,100.0
476.94,7,7,Туда,44,36,36,90,100.0
486.84,8,8,Туда,10,39,10,61,67.8
495.59,8,9,Туда,0,28,0,33,36.7
506.29,8,10,Туда,28,33,28,28,31.1
512.34,8,10,Обратно,9,6,9,31,34.4
522.39,8,9,Обратно,4,8,4,27,30.0
529.29,8,8,Обратно,21,7,21,41,45.6
536.99,8,7,Обратно,10,13,10,38,42.2
545.64,9,6,Обратно,3,13,3,28,31.1
556.34,9,5,Обратно,1,16,1,13,14.4
566.49,9,4,Обратно,18,5,18,26,28.9
576.94,9,3,Обратно,3,11,3,18,20.0
586.34,9,2,Обратно,1,8,1,11,12.2
596.69,9,1,Обратно,13,11,13,13,14.4
598.89,9,1,Туда,3,2,3,14,15.6
603.21,10,2,Туда,4,3,4,15,16.7
607.28,10,3,Туда,2,4,2,13,14.4
611.42,10,4,Туда,2,4,2,11,12.2
615.64,10,5,Туда,1,6,1,6,6.7
620.15,10,6,Туда,0,2,0,4,4.4
623.58,10,7,Туда,1,1,1,4,4.4
626.60,10,8,Туда,0,1,0,3,3.3
629.59,10,9,Туда,0,1,0,2,2.2
633.58,10,10,Туда,1,2,1,1,1.1
636.73,10,10,Обратно,0,0,0,1,1.1
640.61,10,9,Обратно,0,0,0,1,1.1
643.57,10,8,Обратно,0,0,0,1,1.1
646.54,10,7,Обратно,1,0,1,2,2.2
650.00,10,6,Обратно,3,0,3,5,5.6
654.25,10,5,Обратно,0,2,0,3,3.3
658.20,10,4,Обратно,0,1,0,2,2.2
662.09,11,3,Обратно,0,0,0,2,2.2
665.80,11,2,Обратно,0,0,0,2,2.2
669.87,11,1,Обратно,0,2,0,0,0.0
717.65,11,1,Туда,0,0,0,0,0.0
721.81,12,2,Туда,5,0,5,5,5.6
725.76,12,3,Туда,0,1,0,4,4.4
729.72,12,4,Туда,5,1,5,8,8.9
734.09,12,5,Туда,4,4,4,8,8.9
738.49,12,6,Туда,7,3,7,12,13.3
742.31,12,7,Туда,3,4,3,11,12.2
745.72,12,8,Туда,6,4,6,13,14.4
749.22,12,9,Туда,1,6,1,8,8.9
753.49,12,10,Туда,9,8,9,9,10.0
757.34,12,10,Обратно,1,2,1,8,8.9
761.39,12,9,Обратно,5,2,5,11,12.2
764.78,12,8,Обратно,3,3,3,11,12.2
768.13,12,7,Обратно,8,3,8,16,17.8
772.05,12,6,Обратно,1,5,1,12,13.3
776.39,12,5,Обратно,6,6,6,12,13.3
780.95,13,4,Обратно,2,4,2,10,11.1
785.20,13,3,Обратно,4,4,4,10,11.1
789.26,13,2,Обратно,2,4,2,8,8.9
793.68,13,1,Обратно,1,8,1,1,1.1
837.65,13,1,Туда,7,0,7,8,8.9
842.09,14,2,Туда,3,2,3,9,10.0
846.04,14,3,Туда,0,2,0,7,7.8
850.15,14,4,Туда,6,2,6,11,12.2
854.39,14,5,Туда,1,6,1,6,6.7
858.83,14,6,Туда,4,2,4,8,8.9
862.45,14,7,Туда,1,3,1,6,6.7
865.59,14,8,Туда,6,2,6,10,11.1
