Время (мин),Час,Остановка,Направление,Ожидало на остановке,Высадка,Посадка,Пассажиров в салоне,Загруженность (%)
378.00,6,1,Туда,72,0,72,72,80.0
384.80,6,2,Туда,168,18,36,90,100.0
390.54,6,3,Туда,164,26,26,90,100.0
396.30,6,4,Туда,144,28,28,90,100.0
402.16,6,5,Туда,156,49,49,90,100.0
410.35,6,6,Туда,175,34,34,90,100.0
416.53,6,7,Туда,136,36,36,90,100.0
423.53,7,8,Туда,164,39,39,90,100.0
430.86,7,9,Туда,142,42,42,90,100.0
439.90,7,10,Туда,76,90,76,76,84.4
451.20,7,10,Обратно,9,17,9,68,75.6
457.17,7,9,Обратно,63,17,39,90,100.0
463.58,7,8,Обратно,106,26,26,90,100.0
469.69,7,7,Обратно,61,28,28,90,100.0
476.60,7,6,Обратно,96,31,31,90,100.0
489.60,8,5,Обратно,23,52,23,61,67.8
502.65,8,4,Обратно,14,25,14,50,55.6
513.90,8,3,Обратно,11,22,11,39,43.3
524.25,8,2,Обратно,7,18,7,28,31.1
535.40,8,1,Обратно,27,28,27,27,30.0
539.15,8,1,Туда,4,6,4,25,27.8
549.55,9,2,Туда,1,6,1,20,22.2
558.60,9,3,Туда,2,5,2,17,18.9
568.25,9,4,Туда,0,5,0,12,13.3
577.80,9,5,Туда,15,6,15,21,23.3
588.75,9,6,Туда,11,7,11,25,27.8
597.15,9,7,Туда,5,10,5,20,22.2
604.20,10,8,Туда,1,8,1,13,14.4
607.61,10,9,Туда,0,6,0,7,7.8
611.80,10,10,Туда,6,7,6,6,6.7
615.45,10,10,Обратно,0,1,0,5,5.6
619.34,10,9,Обратно,4,1,4,8,8.9
622.63,10,8,Обратно,1,2,1,7,7.8
625.77,10,7,Обратно,2,2,2,7,7.8
629.27,10,6,Обратно,5,2,5,10,11.1
633.72,10,5,Обратно,1,5,1,6,6.7
637.91,10,4,Обратно,5,2,5,9,10.0
642.09,10,3,Обратно,0,3,0,6,6.7
646.05,10,2,Обратно,11,2,11,15,16.7
650.91,10,1,Обратно,2,15,2,2,2.2
672.65,11,1,Туда,2,0,2,4,4.4
676.99,11,2,Туда,3,1,3,6,6.7
680.97,11,3,Туда,4,1,4,9,10.0
685.20,11,4,Туда,6,2,6,13,14.4
689.64,11,5,Туда,1,7,1,7,7.8
694.19,11,6,Туда,8,2,8,13,14.4
698.16,11,7,Туда,0,5,0,8,8.9
701.34,11,8,Туда,3,3,3,8,8.9
704.71,11,9,Туда,1,3,1,6,6.7
708.80,11,10,Туда,4,6,4,4,4.4
712.30,11,10,Обратно,1,0,1,5,5.6
716.35,11,9,Обратно,0,1,0,4,4.4
719.36,11,8,Обратно,0,1,0,3,3.3
722.47,12,7,Обратно,7,0,7,10,11.1
726.24,12,6,Обратно,1,3,1,8,8.9
730.55,12,5,Обратно,6,4,6,10,11.1
735.10,12,4,Обратно,2,4,2,8,8.9
739.31,12,3,Обратно,4,3,4,9,10.0
743.49,12,2,Обратно,3,4,3,8,8.9
748.08,12,1,Обратно,0,8,0,0,0.0
792.65,13,1,Туда,6,0,6,6,6.7
797.20,13,2,Туда,4,1,4,9,10.0
801.13,13,3,Туда,1,2,1,8,8.9
805.18,13,4,Туда,3,2,3,9,10.0
809.26,13,5,Туда,0,4,0,5,5.6
813.57,13,6,Туда,3,1,3,7,7.8
817.19,13,7,Туда,2,2,2,7,7.8
820.39,13,8,Туда,4,3,4,8,8.9
823.68,13,9,Туда,2,3,2,7,7.8
827.87,13,10,Туда,4,7,4,4,4.4
831.42,13,10,Обратно,1,0,1,5,5.6
835.48,13,9,Обратно,1,1,1,5,5.6
838.64,13,8,Обратно,0,1,0,4,4.4
841.64,14,7,Обратно,3,1,3,6,6.7
845.21,14,6,Обратно,0,2,0,4,4.4
849.31,14,5,Обратно,5,2,5,7,7.8
853.51,14,4,Обратно,3,2,3,8,8.9
857.82,14,3,Обратно,3,3,3,8,8.9
861.87,14,2,Обратно,0,3,0,5,5.6
866.18,14,1,Обратно,3,5,3,3,3.3
912.65,15,1,Туда,0,0,0,3,3.3
916.80,15,2,Туда,5,0,5,8,8.9
920.76,15,3,Туда,2,2,2,8,8.9
924.87,15,4,Туда,4,2,4,10,11.1
929.01,15,5,Туда,1,5,1,6,6.7
933.50,15,6,Туда,7,2,7,11,12.2
937.33,15,7,Туда,4,4,4,11,12.2
940.71,15,8,Туда,2,4,2,9,10.0
943.97,15,9,Туда,1,4,1,6,6.7
948.20,15,10,Туда,6,6,6,6,6.7
951.80,15,10,Обратно,2,1,2,7,7.8
955.86,15,9,Обратно,9,1,9,15,16.7
959.33,15,8,Обратно,2,4,2,13,14.4
963.12,16,7,Обратно,8,4,8,17,18.9
967.77,16,6,Обратно,2,5,2,14,15.6
973.18,16,5,Обратно,12,8,12,18,20.0
978.92,16,4,Обратно,1,7,1,12,13.3
983.92,16,3,Обратно,1,5,1,8,8.9
988.67,16,2,Обратно,6,3,6,11,12.2
994.14,16,1,Обратно,0,11,0,0,0.0
1032.65,17,1,Туда,21,0,21,21,23.3
1043.60,17,2,Туда,17,5,17,33,36.7
1053.40,17,3,Туда,26,9,26,50,55.6
1064.45,17,4,Туда,9,16,9,43,47.8
1075.00,17,5,Туда,11,23,11,31,34.4
1086.60,18,6,Туда,6,11,6,26,28.9
1094.95,18,7,Туда,32,10,32,48,53.3
1103.35,18,8,Туда,11,21,11,38,42.2
1111.25,18,9,Туда,20,17,20,41,45.6
1122.40,18,10,Туда,0,41,0,0,0.0
1127.45,18,10,Обратно,1,0,1,1,1.1
1136.80,18,9,Обратно,0,0,0,1,1.1
1143.10,19,8,Обратно,21,0,21,22,24.4
1147.72,19,7,Обратно,14,7,14,29,32.2
1152.86,19,6,Обратно,0,10,0,19,21.1
1158.31,19,5,Обратно,1,11,1,9,10.0
1163.54,19,4,Обратно,0,3,0,6,6.7
