Время (мин),Час,Остановка,Направление,Ожидало на остановке,Высадка,Посадка,Пассажиров в салоне,Загруженность (%)
1268.30,21,9,Туда,1,3,1,5,5.6
1271.69,21,10,Туда,4,5,4,4,4.4
1275.14,21,10,Обратно,2,0,2,6,6.7
1278.32,21,9,Обратно,3,1,3,8,8.9
1280.99,21,8,Обратно,5,2,5,11,12.2
1283.83,21,7,Обратно,0,3,0,8,8.9
1286.72,21,6,Обратно,1,2,1,7,7.8
1290.05,21,5,Обратно,0,4,0,3,3.3
1293.40,21,4,Обратно,10,1,10,12,13.3
1297.10,21,3,Обратно,2,5,2,9,10.0
1300.47,21,2,Обратно,2,4,2,7,7.8
1304.08,21,1,Обратно,0,7,0,0,0.0
1413.47,23,1,Туда,0,0,0,0,0.0
1416.12,23,2,Туда,0,0,0,0,0.0
1418.58,23,3,Туда,0,0,0,0,0.0
1421.15,23,4,Туда,0,0,0,0,0.0
1423.75,23,5,Туда,0,0,0,0,0.0
1426.43,23,6,Туда,0,0,0,0,0.0
1428.76,23,7,Туда,0,0,0,0,0.0
1430.90,23,8,Туда,0,0,0,0,0.0
1433.04,23,9,Туда,0,0,0,0,0.0
1435.66,23,10,Туда,0,0,0,0,0.0
1438.66,23,10,Обратно,0,0,0,0,0.0
