Время (мин),Час,Остановка,Направление,Ожидало на остановке,Высадка,Посадка,Пассажиров в салоне,Загруженность (%)
450.00,7,1,Туда,17,0,17,17,18.9
455.81,7,2,Туда,21,4,21,34,37.8
461.54,7,3,Туда,74,9,65,90,100.0
470.00,7,4,Туда,91,28,28,90,100.0
477.42,7,5,Туда,15,49,15,56,62.2
490.52,8,6,Туда,89,21,55,90,100.0
501.82,8,7,Туда,21,36,21,75,83.3
510.97,8,8,Туда,17,33,17,59,65.6
519.77,8,9,Туда,38,27,38,70,77.8
532.32,8,10,Туда,25,70,25,25,27.8
540.07,9,10,Обратно,3,5,3,23,25.6
549.77,9,9,Обратно,3,5,3,21,23.3
556.47,9,8,Обратно,8,6,8,23,25.6
563.47,9,7,Обратно,9,7,9,25,27.8
571.77,9,6,Обратно,5,8,5,22,24.4
582.32,9,5,Обратно,5,12,5,15,16.7
592.47,9,4,Обратно,1,6,1,10,11.1
602.12,10,3,Обратно,6,4,6,12,13.3
606.43,10,2,Обратно,0,5,0,7,7.8
610.80,10,1,Обратно,10,7,10,10,11.1
612.65,10,1,Туда,0,2,0,8,8.9
616.95,10,2,Туда,9,2,9,15,16.7
621.32,10,3,Туда,3,4,3,14,15.6
625.63,10,4,Туда,2,4,2,12,13.3
629.76,10,5,Туда,5,6,5,11,12.2
634.51,10,6,Туда,5,4,5,12,13.3
638.37,10,7,Туда,0,4,0,8,8.9
641.59,10,8,Туда,0,3,0,5,5.6
644.73,10,9,Туда,1,2,1,4,4.4
648.93,10,10,Туда,9,4,9,9,10.0
652.58,10,10,Обратно,0,2,0,7,7.8
656.58,10,9,Обратно,8,1,8,14,15.6
660.10,11,8,Обратно,4,4,4,14,15.6
663.48,11,7,Обратно,12,4,12,22,24.4
667.58,11,6,Обратно,0,7,0,15,16.7
672.14,11,5,Обратно,10,8,10,17,18.9
677.04,11,4,Обратно,3,6,3,14,15.6
681.51,11,3,Обратно,1,6,1,9,10.0
685.65,11,2,Обратно,3,4,3,8,8.9
690.21,11,1,Обратно,1,8,1,1,1.1
732.65,12,1,Туда,5,0,5,6,6.7
736.93,12,2,Туда,1,1,1,6,6.7
740.73,12,3,Туда,0,1,0,5,5.6
744.75,12,4,Туда,8,1,8,12,13.3
749.10,12,5,Туда,0,6,0,6,6.7
753.61,12,6,Туда,7,2,7,11,12.2
757.47,12,7,Туда,2,4,2,9,10.0
760.75,12,8,Туда,4,3,4,10,11.1
764.15,12,9,Туда,1,4,1,7,7.8
768.45,12,10,Туда,4,7,4,4,4.4
772.00,12,10,Обратно,0,0,0,4,4.4
775.97,12,9,Обратно,2,1,2,5,5.6
779.19,12,8,Обратно,1,1,1,5,5.6
782.32,13,7,Обратно,8,1,8,12,13.3
786.16,13,6,Обратно,2,4,2,10,11.1
790.58,13,5,Обратно,8,5,8,13,14.4
795.12,13,4,Обратно,3,5,3,11,12.2
799.51,13,3,Обратно,15,4,15,22,24.4
804.22,13,2,Обратно,4,10,4,16,17.8
809.15,13,1,Обратно,2,16,2,2,2.2
852.65,14,1,Туда,3,0,3,5,5.6
857.00,14,2,Туда,0,1,0,4,4.4
860.73,14,3,Туда,0,1,0,3,3.3
864.76,14,4,Туда,6,0,6,9,10.0
869.00,14,5,Туда,0,4,0,5,5.6
873.27,14,6,Туда,9,1,9,13,14.4
877.19,14,7,Туда,3,5,3,11,12.2
880.67,14,8,Туда,2,4,2,9,10.0
884.00,14,9,Туда,0,4,0,5,5.6
888.07,14,10,Туда,5,5,5,5,5.6
891.57,14,10,Обратно,2,1,2,6,6.7
895.73,14,9,Обратно,7,1,7,12,13.3
899.14,14,8,Обратно,1,3,1,10,11.1
902.31,15,7,Обратно,2,3,2,9,10.0
905.93,15,6,Обратно,1,3,1,7,7.8
910.35,15,5,Обратно,6,4,6,9,10.0
914.84,15,4,Обратно,5,3,5,11,12.2
919.24,15,3,Обратно,11,4,11,18,20.0
923.73,15,2,Обратно,3,8,3,13,14.4
928.45,15,1,Обратно,0,13,0,0,0.0
972.65,16,1,Туда,9,0,9,9,10.0
977.96,16,2,Туда,3,2,3,10,11.1
982.66,16,3,Туда,13,2,13,21,23.3
988.22,16,4,Туда,9,6,9,24,26.7
993.64,16,5,Туда,0,13,0,11,12.2
999.44,16,6,Туда,11,4,11,18,20.0
1004.27,16,7,Туда,1,7,1,12,13.3
1008.08,16,8,Туда,7,5,7,14,15.6
1012.16,16,9,Туда,0,6,0,8,8.9
1017.17,16,10,Туда,2,8,2,2,2.2
1020.67,17,10,Обратно,8,0,8,10,11.1
1030.37,17,9,Обратно,28,2,28,36,40.0
1038.17,17,8,Обратно,15,10,15,41,45.6
1045.72,17,7,Обратно,6,13,6,34,37.8
1054.17,17,6,Обратно,23,11,23,46,51.1
1065.77,17,5,Обратно,11,26,11,31,34.4
1076.92,17,4,Обратно,8,12,8,27,30.0
1087.22,18,3,Обратно,29,11,29,45,50.0
1097.92,18,2,Обратно,34,21,34,58,64.4
1110.57,18,1,Обратно,35,58,35,35,38.9
1116.22,18,1,Туда,12,8,12,39,43.3
1127.12,18,2,Туда,48,10,48,77,85.6
1138.72,18,3,Туда,30,22,30,85,94.4
1145.94,19,4,Туда,10,27,10,68,75.6
1152.61,19,5,Туда,0,37,0,31,34.4
1159.59,19,6,Туда,3,11,3,23,25.6
1164.26,19,7,Туда,6,9,6,20,22.2
1168.47,19,8,Туда,15,8,15,27,30.0
1173.21,19,9,Туда,6,12,6,21,23.3
1178.79,19,10,Туда,1,21,1,1,1.1
1182.89,19,10,Обратно,3,0,3,4,4.4
1187.91,19,9,Обратно,6,1,6,9,10.0
1191.84,19,8,Обратно,8,2,8,15,16.7
1195.91,19,7,Обратно,1,4,1,12,13.3
1200.09,20,6,Обратно,6,4,6,14,15.6
1203.79,20,5,Обратно,1,8,1,7,7.8
1207.39,20,4,Обратно,0,2,0,5,5.6
1210.68,20,3,Обратно,0,2,0,3,3.3
1213.72,20,2,Обратно,3,1,3,5,5.6
1217.23,20,1,Обратно,1,5,1,1,1.1
1243.47,20,1,Туда,2,0,2,3,3.3
1246.77,20,2,Туда,0,0,0,3,3.3
1249.70,20,3,Туда,1,0,1,4,4.4
1252.96,20,4,Туда,1,1,1,4,4.4
1256.13,20,5,Туда,2,2,2,4,4.4
1259.59,20,6,Туда,5,1,5,8,8.9
1262.64,21,7,Туда,6,3,6,11,12.2
1265.59,21,8,Туда,0,4,0,7,7.8
