Время (мин),Час,Остановка,Направление,Ожидало на остановке,Высадка,Посадка,Пассажиров в салоне,Загруженность (%)
396.00,6,1,Туда,9,0,9,9,10.0
399.77,6,2,Туда,139,2,83,90,100.0
406.96,6,3,Туда,146,26,26,90,100.0
412.74,6,4,Туда,124,28,28,90,100.0
418.60,6,5,Туда,111,49,49,90,100.0
428.44,7,6,Туда,163,34,34,90,100.0
435.75,7,7,Туда,123,36,36,90,100.0
442.76,7,8,Туда,149,39,39,90,100.0
450.24,7,9,Туда,97,42,42,90,100.0
459.13,7,10,Туда,9,90,9,9,10.0
467.08,7,10,Обратно,6,2,6,13,14.4
472.17,7,9,Обратно,34,3,34,44,48.9
477.46,7,8,Обратно,48,12,48,80,88.9
486.76,8,7,Обратно,26,25,26,81,90.0
496.81,8,6,Обратно,46,28,37,90,100.0
509.96,8,5,Обратно,12,52,12,50,55.6
522.46,8,4,Обратно,3,20,3,33,36.7
532.91,8,3,Обратно,2,14,2,21,23.3
542.41,9,2,Обратно,12,9,12,24,26.7
553.36,9,1,Обратно,12,24,12,12,13.3
556.16,9,1,Туда,2,2,2,12,13.3
566.26,9,2,Туда,0,3,0,9,10.0
575.11,9,3,Туда,10,2,10,17,18.9
585.01,9,4,Туда,7,5,7,19,21.1
594.91,9,5,Туда,8,10,8,17,18.9
605.71,10,6,Туда,6,6,6,17,18.9
609.77,10,7,Туда,4,6,4,15,16.7
613.24,10,8,Туда,1,6,1,10,11.1
616.55,10,9,Туда,3,4,3,9,10.0
620.72,10,10,Туда,3,9,3,3,3.3
624.32,10,10,Обратно,2,0,2,5,5.6
628.45,10,9,Обратно,0,1,0,4,4.4
631.51,10,8,Обратно,1,1,1,4,4.4
634.59,10,7,Обратно,3,1,3,6,6.7
638.12,10,6,Обратно,0,2,0,4,4.4
642.37,10,5,Обратно,0,2,0,2,2.2
646.42,10,4,Обратно,4,0,4,6,6.7
650.46,10,3,Обратно,7,2,7,11,12.2
654.70,10,2,Обратно,3,5,3,9,10.0
659.29,10,1,Обратно,0,9,0,0,0.0
687.65,11,1,Туда,6,0,6,6,6.7
692.05,11,2,Туда,4,1,4,9,10.0
696.01,11,3,Туда,1,2,1,8,8.9
700.10,11,4,Туда,7,2,7,13,14.4
704.56,11,5,Туда,3,7,3,9,10.0
709.08,11,6,Туда,8,3,8,14,15.6
712.93,11,7,Туда,3,5,3,12,13.3
716.40,11,8,Туда,8,5,8,15,16.7
720.04,12,9,Туда,2,7,2,10,11.1
724.35,12,10,Туда,4,10,4,4,4.4
728.05,12,10,Обратно,1,0,1,5,5.6
731.98,12,9,Обратно,8,1,8,12,13.3
735.36,12,8,Обратно,2,3,2,11,12.2
738.56,12,7,Обратно,6,3,6,14,15.6
742.40,12,6,Обратно,3,4,3,13,14.4
746.93,12,5,Обратно,12,7,12,18,20.0
751.80,12,4,Обратно,0,7,0,11,12.2
756.06,12,3,Обратно,9,4,9,16,17.8
760.39,12,2,Обратно,2,7,2,11,12.2
764.99,12,1,Обратно,0,11,0,0,0.0
807.65,13,1,Туда,4,0,4,4,4.4
812.06,13,2,Туда,4,1,4,7,7.8
816.10,13,3,Туда,10,2,10,15,16.7
820.56,13,4,Туда,6,4,6,17,18.9
825.04,13,5,Туда,1,9,1,9,10.0
829.58,13,6,Туда,12,3,12,18,20.0
833.70,13,7,Туда,5,7,5,16,17.8
837.25,13,8,Туда,7,7,7,16,17.8
840.98,14,9,Туда,0,7,0,9,10.0
845.29,14,10,Туда,4,9,4,4,4.4
848.94,14,10,Обратно,1,0,1,5,5.6
852.90,14,9,Обратно,6,1,6,10,11.1
856.22,14,8,Обратно,1,2,1,9,10.0
859.45,14,7,Обратно,5,2,5,12,13.3
863.18,14,6,Обратно,3,4,3,11,12.2
867.61,14,5,Обратно,8,6,8,13,14.4
872.29,14,4,Обратно,1,5,1,9,10.0
876.61,14,3,Обратно,0,3,0,6,6.7
880.41,14,2,Обратно,5,2,5,9,10.0
884.95,14,1,Обратно,0,9,0,0,0.0
927.65,15,1,Туда,7,0,7,7,7.8
932.01,15,2,Туда,2,1,2,8,8.9
936.02,15,3,Туда,0,2,0,6,6.7
939.97,15,4,Туда,5,1,5,10,11.1
944.21,15,5,Туда,0,5,0,5,5.6
948.49,15,6,Туда,6,1,6,10,11.1
952.17,15,7,Туда,1,4,1,7,7.8
955.49,15,8,Туда,7,3,7,11,12.2
959.01,15,9,Туда,0,5,0,6,6.7
964.09,16,10,Туда,9,6,9,9,10.0
967.84,16,10,Обратно,3,2,3,10,11.1
973.00,16,9,Обратно,7,2,7,15,16.7
976.87,16,8,Обратно,0,4,0,11,12.2
980.62,16,7,Обратно,12,3,12,20,22.2
985.30,16,6,Обратно,1,7,1,14,15.6
990.60,16,5,Обратно,11,8,11,17,18.9
996.19,16,4,Обратно,0,6,0,11,12.2
1001.34,16,3,Обратно,3,4,3,10,11.1
1006.09,16,2,Обратно,9,4,9,15,16.7
1011.61,16,1,Обратно,1,15,1,1,1.1
1040.65,17,1,Туда,0,0,0,1,1.1
1050.55,17,2,Туда,8,0,8,9,10.0
1059.65,17,3,Туда,9,2,9,16,17.8
1069.50,17,4,Туда,10,5,10,21,23.3
1079.55,17,5,Туда,6,11,6,16,17.8
1090.30,18,6,Туда,12,6,12,22,24.4
1098.70,18,7,Туда,4,9,4,17,18.9
1105.65,18,8,Туда,4,7,4,14,15.6
1112.50,18,9,Туда,3,6,3,11,12.2
1122.25,18,10,Туда,15,11,15,15,16.7
1126.55,18,10,Обратно,7,3,7,19,21.1
1136.35,18,9,Обратно,21,4,21,36,40.0
1143.90,19,8,Обратно,1,10,1,27,30.0
1147.88,19,7,Обратно,0,8,0,19,21.1
1152.28,19,6,Обратно,3,6,3,16,17.8
1157.88,19,5,Обратно,7,9,7,14,15.6
1163.35,19,4,Обратно,2,5,2,11,12.2
1168.53,19,3,Обратно,0,4,0,7,7.8
1173.22,19,2,Обратно,0,3,0,4,4.4
1178.53,19,1,Обратно,0,4,0,0,0.0
1195.47,19,1,Туда,5,0,5,5,5.6
1200.73,20,2,Туда,1,1,1,5,5.6
1203.90,20,3,Туда,4,1,4,8,8.9
