Время (мин),Час,Остановка,Направление,Ожидало на остановке,Высадка,Посадка,Пассажиров в салоне,Загруженность (%)
1207.28,20,4,Туда,5,2,5,11,12.2
1210.75,20,5,Туда,0,6,0,5,5.6
1214.25,20,6,Туда,2,1,2,6,6.7
1217.16,20,7,Туда,3,2,3,7,7.8
1219.94,20,8,Туда,2,3,2,6,6.7
1222.72,20,9,Туда,2,2,2,6,6.7
1226.02,20,10,Туда,1,6,1,1,1.1
1229.37,20,10,Обратно,0,0,0,1,1.1
1232.50,20,9,Обратно,0,0,0,1,1.1
1235.02,20,8,Обратно,2,0,2,3,3.3
1237.60,20,7,Обратно,0,0,0,3,3.3
1240.36,20,6,Обратно,0,1,0,2,2.2
1243.61,20,5,Обратно,3,1,3,4,4.4
1246.89,20,4,Обратно,4,1,4,7,7.8
1250.20,20,3,Обратно,0,3,0,4,4.4
1253.39,20,2,Обратно,4,1,4,7,7.8
1256.91,20,1,Обратно,1,7,1,1,1.1
1343.47,22,1,Туда,0,0,0,1,1.1
1346.64,22,2,Туда,0,0,0,1,1.1
1349.71,22,3,Туда,0,0,0,1,1.1
1352.86,22,4,Туда,0,0,0,1,1.1
1356.00,22,5,Туда,3,0,3,4,4.4
1359.38,22,6,Туда,0,1,0,3,3.3
1362.15,22,7,Туда,3,1,3,5,5.6
1364.91,22,8,Туда,0,2,0,3,3.3
1367.49,22,9,Туда,0,1,0,2,2.2
1370.64,22,10,Туда,2,2,2,2,2.2
1373.84,22,10,Обратно,0,0,0,2,2.2
1377.00,22,9,Обратно,0,0,0,2,2.2
1379.56,22,8,Обратно,1,0,1,3,3.3
1381.80,23,7,Обратно,1,0,1,4,4.4
1384.21,23,6,Обратно,0,1,0,3,3.3
1386.93,23,5,Обратно,0,1,0,2,2.2
1389.56,23,4,Обратно,0,0,0,2,2.2
1392.20,23,3,Обратно,0,0,0,2,2.2
1394.74,23,2,Обратно,0,0,0,2,2.2
1397.44,23,1,Обратно,0,2,0,0,0.0
