Время (мин),Час,Остановка,Направление,Ожидало на остановке,Высадка,Посадка,Пассажиров в салоне,Загруженность (%)
414.00,6,1,Туда,6,0,6,6,6.7
417.52,6,2,Туда,64,1,64,69,76.7
425.17,7,3,Туда,138,20,41,90,100.0
433.06,7,4,Туда,110,28,28,90,100.0
440.78,7,5,Туда,94,49,49,90,100.0
450.64,7,6,Туда,160,34,34,90,100.0
458.11,7,7,Туда,84,36,36,90,100.0
465.21,7,8,Туда,81,39,39,90,100.0
472.53,7,9,Туда,0,42,0,48,53.3
479.38,7,10,Туда,17,48,17,17,18.9
485.63,8,10,Обратно,7,3,7,21,23.3
495.43,8,9,Обратно,30,5,30,46,51.1
503.48,8,8,Обратно,29,13,29,62,68.9
511.88,8,7,Обратно,12,19,12,55,61.1
520.93,8,6,Обратно,0,19,0,36,40.0
531.78,8,5,Обратно,2,20,2,18,20.0
542.18,9,4,Обратно,21,7,21,32,35.6
552.88,9,3,Обратно,10,14,10,28,31.1
562.78,9,2,Обратно,7,13,7,22,24.4
573.68,9,1,Обратно,20,22,20,20,22.2
576.78,9,1,Туда,3,4,3,19,21.1
587.03,9,2,Туда,0,4,0,15,16.7
595.93,9,3,Туда,13,4,13,24,26.7
606.08,10,4,Туда,8,7,8,25,27.8
610.80,10,5,Туда,4,13,4,16,17.8
615.70,10,6,Туда,2,6,2,12,13.3
619.46,10,7,Туда,1,4,1,9,10.0
622.79,10,8,Туда,0,3,0,6,6.7
625.95,10,9,Туда,7,2,7,11,12.2
630.28,10,10,Туда,0,11,0,0,0.0
633.83,10,10,Обратно,0,0,0,0,0.0
637.77,10,9,Обратно,3,0,3,3,3.3
640.99,10,8,Обратно,4,0,4,7,7.8
644.13,10,7,Обратно,2,2,2,7,7.8
647.72,10,6,Обратно,2,2,2,7,7.8
652.18,10,5,Обратно,6,4,6,9,10.0
656.56,10,4,Обратно,0,3,0,6,6.7
660.64,11,3,Обратно,5,2,5,9,10.0
664.74,11,2,Обратно,1,4,1,6,6.7
669.14,11,1,Обратно,6,6,6,6,6.7
702.65,11,1,Туда,0,1,0,5,5.6
706.76,11,2,Туда,4,1,4,8,8.9
710.67,11,3,Туда,0,2,0,6,6.7
714.77,11,4,Туда,6,1,6,11,12.2
719.14,11,5,Туда,1,6,1,6,6.7
723.71,12,6,Туда,6,2,6,10,11.1
727.40,12,7,Туда,0,4,0,6,6.7
730.63,12,8,Туда,4,2,4,8,8.9
733.97,12,9,Туда,0,3,0,5,5.6
738.04,12,10,Туда,3,5,3,3,3.3
741.44,12,10,Обратно,1,0,1,4,4.4
745.32,12,9,Обратно,6,1,6,9,10.0
748.63,12,8,Обратно,4,2,4,11,12.2
751.97,12,7,Обратно,5,3,5,13,14.4
755.75,12,6,Обратно,1,4,1,10,11.1
760.26,12,5,Обратно,9,5,9,14,15.6
764.79,12,4,Обратно,3,5,3,12,13.3
769.20,12,3,Обратно,8,5,8,15,16.7
773.69,12,2,Обратно,3,7,3,11,12.2
778.31,12,1,Обратно,0,11,0,0,0.0
822.65,13,1,Туда,9,0,9,9,10.0
827.29,13,2,Туда,4,2,4,11,12.2
831.30,13,3,Туда,1,3,1,9,10.0
835.47,13,4,Туда,8,2,8,15,16.7
839.84,13,5,Туда,1,8,1,8,8.9
844.40,14,6,Туда,4,3,4,9,10.0
848.18,14,7,Туда,3,3,3,9,10.0
851.47,14,8,Туда,8,3,8,14,15.6
855.01,14,9,Туда,1,6,1,9,10.0
859.27,14,10,Туда,4,9,4,4,4.4
862.92,14,10,Обратно,2,0,2,6,6.7
867.00,14,9,Обратно,4,1,4,9,10.0
870.20,14,8,Обратно,3,2,3,10,11.1
873.38,14,7,Обратно,3,3,3,10,11.1
877.06,14,6,Обратно,0,3,0,7,7.8
881.36,14,5,Обратно,8,4,8,11,12.2
885.98,14,4,Обратно,4,4,4,11,12.2
890.29,14,3,Обратно,8,4,8,15,16.7
894.65,14,2,Обратно,4,7,4,12,13.3
899.22,14,1,Обратно,1,12,1,1,1.1
942.65,15,1,Туда,8,0,8,9,10.0
947.22,15,2,Туда,3,2,3,10,11.1
951.25,15,3,Туда,0,2,0,8,8.9
955.18,15,4,Туда,6,2,6,12,13.3
959.62,15,5,Туда,2,6,2,8,8.9
964.98,16,6,Туда,7,3,7,12,13.3
969.42,16,7,Туда,0,4,0,8,8.9
973.06,16,8,Туда,10,3,10,15,16.7
977.12,16,9,Туда,2,7,2,10,11.1
982.47,16,10,Туда,8,10,8,8,8.9
986.37,16,10,Обратно,3,1,3,10,11.1
991.48,16,9,Обратно,11,2,11,19,21.1
995.60,16,8,Обратно,1,5,1,15,16.7
999.45,16,7,Обратно,4,4,4,15,16.7
1003.89,16,6,Обратно,5,5,5,15,16.7
1009.25,16,5,Обратно,0,8,0,7,7.8
1014.35,16,4,Обратно,9,2,9,14,15.6
1019.65,16,3,Обратно,5,6,5,13,14.4
1028.90,17,2,Обратно,6,6,6,13,14.4
1039.40,17,1,Обратно,7,13,7,7,7.8
1048.65,17,1,Туда,12,1,12,18,20.0
1059.20,17,2,Туда,18,4,18,32,35.6
1069.00,17,3,Туда,11,9,11,34,37.8
1079.30,17,4,Туда,4,10,4,28,31.1
1089.30,18,5,Туда,16,15,16,29,32.2
1100.75,18,6,Туда,14,11,14,32,35.6
1109.50,18,7,Туда,7,13,7,26,28.9
1116.80,18,8,Туда,18,11,18,33,36.7
1124.55,18,9,Туда,7,15,7,25,27.8
1134.95,18,10,Туда,3,25,3,3,3.3
1139.35,18,10,Обратно,6,0,6,9,10.0
1144.37,19,9,Обратно,9,2,9,16,17.8
