Время (мин),Час,Остановка,Направление,Ожидало на остановке,Высадка,Посадка,Пассажиров в салоне,Загруженность (%)
486.00,8,1,Туда,23,0,23,23,25.6
497.05,8,2,Туда,6,5,6,24,26.7
506.30,8,3,Туда,36,6,36,54,60.0
517.70,8,4,Туда,25,17,25,62,68.9
529.10,8,5,Туда,32,34,32,60,66.7
542.30,9,6,Туда,18,22,18,56,62.2
551.80,9,7,Туда,8,22,8,42,46.7
559.60,9,8,Туда,1,18,1,25,27.8
566.85,9,9,Туда,14,11,14,28,31.1
577.40,9,10,Туда,7,28,7,7,7.8
582.15,9,10,Обратно,1,1,1,7,7.8
591.55,9,9,Обратно,0,1,0,6,6.7
597.90,9,8,Обратно,9,1,9,14,15.6
604.70,10,7,Обратно,7,4,7,17,18.9
608.63,10,6,Обратно,1,5,1,13,14.4
612.98,10,5,Обратно,2,7,2,8,8.9
617.34,10,4,Обратно,0,3,0,5,5.6
621.49,10,3,Обратно,0,2,0,3,3.3
625.35,10,2,Обратно,4,1,4,6,6.7
629.68,10,1,Обратно,1,6,1,1,1.1
642.65,10,1,Туда,1,0,1,2,2.2
646.82,10,2,Туда,0,0,0,2,2.2
650.53,10,3,Туда,0,0,0,2,2.2
654.56,10,4,Туда,4,0,4,6,6.7
658.69,10,5,Туда,0,3,0,3,3.3
662.93,11,6,Туда,4,1,4,6,6.7
666.59,11,7,Туда,2,2,2,6,6.7
669.80,11,8,Туда,3,2,3,7,7.8
673.06,11,9,Туда,2,3,2,6,6.7
677.26,11,10,Туда,7,6,7,7,7.8
680.91,11,10,Обратно,2,1,2,8,8.9
685.01,11,9,Обратно,4,2,4,10,11.1
688.33,11,8,Обратно,0,2,0,8,8.9
691.47,11,7,Обратно,7,2,7,13,14.4
695.23,11,6,Обратно,0,4,0,9,10.0
699.60,11,5,Обратно,5,5,5,9,10.0
704.15,11,4,Обратно,2,3,2,8,8.9
708.31,11,3,Обратно,0,3,0,5,5.6
712.25,11,2,Обратно,3,2,3,6,6.7
716.71,11,1,Обратно,4,6,4,4,4.4
762.65,12,1,Туда,3,0,3,7,7.8
766.80,12,2,Туда,4,1,4,10,11.1
770.83,12,3,Туда,1,2,1,9,10.0
774.93,12,4,Туда,4,2,4,11,12.2
779.13,12,5,Туда,1,6,1,6,6.7
783.65,13,6,Туда,6,2,6,10,11.1
787.36,13,7,Туда,3,4,3,9,10.0
790.67,13,8,Туда,4,3,4,10,11.1
794.01,13,9,Туда,0,4,0,6,6.7
798.05,13,10,Туда,6,6,6,6,6.7
801.65,13,10,Обратно,0,1,0,5,5.6
805.59,13,9,Обратно,2,1,2,6,6.7
808.79,13,8,Обратно,4,1,4,9,10.0
812.03,13,7,Обратно,10,2,10,17,18.9
815.94,13,6,Обратно,0,5,0,12,13.3
820.21,13,5,Обратно,5,6,5,11,12.2
824.82,13,4,Обратно,1,4,1,8,8.9
829.07,13,3,Обратно,4,3,4,9,10.0
833.28,13,2,Обратно,4,4,4,9,10.0
837.84,13,1,Обратно,0,9,0,0,0.0
882.65,14,1,Туда,4,0,4,4,4.4
887.04,14,2,Туда,4,1,4,7,7.8
891.12,14,3,Туда,0,2,0,5,5.6
895.25,14,4,Туда,1,1,1,5,5.6
899.38,14,5,Туда,3,2,3,6,6.7
903.73,15,6,Туда,5,2,5,9,10.0
907.43,15,7,Туда,4,3,4,10,11.1
910.78,15,8,Туда,2,4,2,8,8.9
914.08,15,9,Туда,2,3,2,7,7.8
918.21,15,10,Туда,3,7,3,3,3.3
