ID трамвая,Всего рейсов,Обслужено пассажиров,Средняя загруженность (%),Макс загруженность (%),Всего остановок посещено
1,8,1475,24.8,100.0,160
2,8,1207,20.1,100.0,160
3,8,1028,16.7,100.0,160
4,8,962,16.0,100.0,160
5,8,1026,17.4,100.0,160
6,8,1030,17.8,100.0,151
7,7,957,17.9,94.4,140
8,7,817,15.5,70.0,140
